from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,689,0.93234100135318,Bear,Bear
0,1,50,0.06765899864682003,Bear,Bull
1,0,50,0.09057971014492754,Bull,Bear
1,1,502,0.9094202898550725,Bull,Bull
