trade_date,active_return,lowvol_return,market_return,state,state_name
2021-02-05,0.0186339361205872,0.0203339361205872,0.0017,1,Bull
2021-02-08,-0.005701070064406,0.009098929935594,0.0148,1,Bull
2021-02-09,-0.0341825049609297,-0.0122825049609297,0.0219,0,Bear
2021-02-10,-0.0226678298526322,-0.0012678298526322,0.0214,0,Bear
2021-02-18,0.0016702163480389,-0.0051297836519611,-0.0068,0,Bear
2021-02-19,-0.0043630896397399,-0.0025630896397399,0.0018,0,Bear
2021-02-22,0.0356030223575936,0.0042030223575936,-0.0314,0,Bear
2021-02-23,0.0099777971127127,0.0067777971127127,-0.0032,1,Bull
2021-02-24,0.0200752249663812,-0.0054247750336188,-0.0255,1,Bull
2021-02-25,0.0069557995558649,0.012855799555865,0.0059,1,Bull
2021-02-26,0.0225100432896983,-0.0017899567103017,-0.0243,1,Bull
2021-03-01,-0.029297246262759,-0.013897246262759,0.0154,1,Bull
2021-03-02,0.0160694104170585,0.0032694104170585,-0.0128,1,Bull
2021-03-03,-0.0177074720527239,0.001492527947276,0.0192,1,Bull
2021-03-04,0.0472450736669089,0.0157450736669089,-0.0315,1,Bull
2021-03-05,-0.0038332044441519,-0.0072332044441519,-0.0034,1,Bull
2021-03-08,0.0532963417350064,0.0185963417350064,-0.0347,1,Bull
2021-03-09,0.0468122248942143,0.0253122248942143,-0.0215,1,Bull
2021-03-10,-0.0080639127703404,-0.0014639127703404,0.0066,1,Bull
2021-03-11,-0.0318180607855526,-0.0069180607855526,0.0249,1,Bull
2021-03-12,0.0104049458404348,0.0139049458404348,0.0034999999999999,1,Bull
2021-03-15,0.0377600416593128,0.0162600416593128,-0.0215,1,Bull
2021-03-16,-0.012286840842048,-0.003586840842048,0.0087,1,Bull
2021-03-17,-0.0224248462453977,-0.0182248462453978,0.0042,1,Bull
2021-03-18,-0.0066914175996457,0.0013085824003543,0.008,1,Bull
2021-03-19,0.0286028575675281,0.0024028575675281,-0.0262,1,Bull
2021-03-22,-0.0087482293471073,0.0012517706528927,0.01,1,Bull
2021-03-23,0.0168914312351078,0.0073914312351078,-0.0095,1,Bull
2021-03-24,0.0255465006942458,0.0094465006942458,-0.0161,1,Bull
2021-03-25,-0.0019859081171281,-0.0024859081171281,-0.0005,1,Bull
2021-03-26,-0.0321458703504836,-0.0094458703504836,0.0227,1,Bull
2021-03-29,0.0031266673612663,0.0049266673612663,0.0018,1,Bull
2021-03-30,-0.0076190864381787,0.0018809135618213,0.0095,1,Bull
2021-03-31,0.0203535935705827,0.0112535935705827,-0.0091,1,Bull
2021-04-01,-0.0144060914066204,-0.0020060914066204,0.0124,1,Bull
2021-04-02,-0.0215249465756658,-0.0116249465756658,0.0098999999999999,0,Bear
2021-04-06,-0.0040834378538554,-0.0081834378538554,-0.0040999999999999,0,Bear
2021-04-07,0.006996503050201,-0.000103496949799,-0.0070999999999999,0,Bear
2021-04-08,-0.0024720085149924,-0.0007720085149924,0.0017,0,Bear
2021-04-09,0.019507645978091,0.0045076459780911,-0.015,1,Bull
2021-04-12,0.0351594917873466,0.0177594917873466,-0.0174,1,Bull
2021-04-13,-0.0009497393204775,-0.0025497393204776,-0.0016,1,Bull
2021-04-14,-0.0143127575800407,-0.0060127575800408,0.0083,1,Bull
2021-04-15,0.0119909129167889,0.0055909129167889,-0.0064,1,Bull
2021-04-16,-0.0049056907915322,-0.0014056907915322,0.0034999999999999,1,Bull
2021-04-19,-0.0406616316795048,-0.0163616316795048,0.0243,0,Bear
2021-04-20,0.0008225716673283,0.0001225716673283,-0.0007,0,Bear
2021-04-21,-0.0033324336293788,-0.0003324336293788,0.003,0,Bear
2021-04-22,-0.002560163471522,-0.004460163471522,-0.0019,0,Bear
2021-04-23,-0.0129245810156186,-0.0038245810156186,0.0091,0,Bear
2021-04-26,0.0098219561876998,-0.0014780438123001,-0.0113,0,Bear
2021-04-27,0.0021333025730207,0.0047333025730207,0.0026,0,Bear
2021-04-28,-0.0039654379785169,0.0016345620214831,0.0056,0,Bear
2021-04-29,0.0006976737053144,0.0094976737053144,0.0088,0,Bear
2021-04-30,0.0092561563594197,0.0013561563594197,-0.0079,0,Bear
2021-05-06,0.0144972101839687,0.0022972101839687,-0.0121999999999999,1,Bull
2021-05-07,0.0260715681507694,0.0131715681507694,-0.0129,1,Bull
2021-05-10,-0.0008029047238448,-0.0015029047238448,-0.0007,1,Bull
2021-05-11,-0.0001459875418807,0.0059540124581192,0.0060999999999999,1,Bull
2021-05-12,-0.0100407875121954,-0.0057407875121954,0.0043,1,Bull
2021-05-13,0.0137367690848698,0.0035367690848698,-0.0102,1,Bull
2021-05-14,-0.0302698526654918,-0.0066698526654919,0.0236,0,Bear
2021-05-17,-0.0199449448065284,-0.0053449448065284,0.0146,0,Bear
2021-05-18,-0.0013312322460412,-0.0008312322460412,0.0005,0,Bear
2021-05-19,-0.0043183209490318,-0.0073183209490318,-0.003,0,Bear
2021-05-20,-0.0064382594485035,-0.0037382594485035,0.0027,0,Bear
2021-05-21,0.0133437043166781,0.0032437043166782,-0.0101,0,Bear
2021-05-24,-0.0039754997663275,0.0002245002336725,0.0042,0,Bear
2021-05-25,-0.0370805672558387,-0.0054805672558387,0.0316,0,Bear
2021-05-26,-0.003588251735271,-0.003188251735271,0.0004,0,Bear
2021-05-27,-0.0109781892816272,-0.0076781892816272,0.0033,0,Bear
2021-05-28,0.0030339268320952,-0.0001660731679048,-0.0032,0,Bear
2021-05-31,-0.0218190645058315,-0.0198190645058316,0.002,0,Bear
