日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2023-10-24,SZ000005,ST星源,1.41,5802900,1057946706,1058536842,149253.694722
2023-10-24,SH600654,中安科,2.03,5124435,2282022162,2863320000,581253.96
2023-10-24,SH600651,飞乐音响,3.26,8042236,1396864378,2507028015,817291.13289
2023-10-24,SH600602,云赛智联,12.38,40625850,1074302990,1367673455,1693179.73729
2023-10-24,SH600601,方正科技,3.02,37873176,4170293287,4170293287,1259428.572674
2023-10-24,SH600653,申华控股,1.83,10585100,1946380317,1946380317,356187.598011
2023-10-24,SZ000004,*ST国华,17.07,13260900,126288093,132380282,225973.141374
2023-10-24,SZ000002,万  科Ａ,11.66,52835953,9716667215,11930709471,13911207.243186
2023-10-24,SZ000001,平安银行,10.55,76065269,19405546950,19405918198,20473243.69889
2023-10-24,SZ000009,中国宝安,10.04,17503833,2551430324,2579213965,2589530.82086
2023-10-24,SH600603,广汇物流,6.69,16284883,1230550151,1230550151,823238.051019
2023-10-24,SZ000012,南  玻Ａ,5.17,9763378,1956966398,3070692107,1587547.819319
2023-10-24,SZ000016,深康佳Ａ,3.98,12741100,1596567800,2407945408,958362.272384
2023-10-24,SH600605,汇通能源,18.82,1878349,206282429,206282429,388223.531378
2023-10-24,SH600608,*ST沪科,3.92,900800,318371441,328861441,128913.684872
2023-10-24,SH600604,市北高新,4.6,6018029,1407454804,1873304804,861720.20984
2023-10-24,SH600606,绿地控股,2.52,47848263,14054218314,14054218314,3541663.015128
2023-10-24,SZ000011,深物业A,9.28,4177100,526475543,595979092,553068.597376
2023-10-24,SZ000017,深中华A,4.12,4588300,302984965,689184933,283944.192396
2023-10-24,SZ000007,全新好,4.98,3686962,308948044,346448044,172531.125912
2023-10-24,SZ000006,深振业Ａ,4.27,13986874,1349987396,1349995046,576447.884642
2023-10-24,SZ000020,深华发Ａ,11.15,1639300,181165391,283161227,315724.768105
2023-10-24,SZ000008,神州高铁,2.32,15841258,2686674473,2716377683,630199.622456
2023-10-24,SZ000014,沙河股份,11.28,6642900,242046224,242046224,273028.140672
2023-10-24,SH600609,金杯汽车,4.51,6687299,1311200558,1311200558,591351.451658
2023-10-24,SH600611,大众交通,2.92,12872900,1563316364,2364122864,690323.876288
2023-10-24,SH600612,老凤祥,57.13,1282545,317109630,523117764,2988571.785732
2023-10-24,SH600655,豫园股份,6.92,8987448,3883081115,3894945653,2695302.391876
2023-10-24,SH600616,金枫酒业,6.02,3745400,669004950,669004950,402740.9799
2023-10-24,SZ000019,深粮控股,6.83,2631616,416216407,1152535254,787181.578482
2023-10-24,SH600618,氯碱化工,8.4,2920754,749839976,1156399976,971375.97984
2023-10-24,SH600619,海立股份,6.79,33437163,789174798,1083279406,735546.716674
2023-10-24,SH600620,天宸股份,10.32,16505207,686677113,686677113,708650.780616
2023-10-24,SZ000501,武商集团,8.47,4903952,768073142,768992731,651336.843157
2023-10-24,SZ000503,国新健康,10.02,8048135,898779932,903762868,905570.393736
2023-10-24,SH600621,华鑫股份,12.35,44996891,1060899292,1060899292,1310210.62562
2023-10-24,SH600622,光大嘉宝,2.7,18648557,1499685402,1499685402,404915.05854
2023-10-24,SH600623,华谊集团,6.12,7205000,1862196763,2131449598,1304447.153976
2023-10-24,SZ000504,*ST生物,10.41,1345800,310673201,311573901,324348.430941
2023-10-24,SZ000505,京粮控股,7.01,3961784,631105336,726950251,509592.125951
2023-10-24,SH600624,ST复华,5.43,4046767,684712010,684712010,371798.62143
2023-10-24,SH600626,申达股份,3.45,5731415,852291316,1320744667,455656.910115
2023-10-24,SH600628,新世界,6.91,2697800,646875384,646875384,446990.890344
2023-10-24,SH600630,龙头股份,8.04,67726939,424861597,424861597,341588.723988
2023-10-24,SH600635,大众公用,3.12,14918100,2418791675,2952434675,921159.6186
2023-10-24,SH600637,东方明珠,7.08,16762159,3414500201,3414500201,2417466.142308
2023-10-24,SH600636,*ST国化,9.27,5675901,440449035,440449035,408296.255445
2023-10-24,SH600638,新黄浦,5.64,4337262,673396786,673396786,379795.787304
2023-10-24,SH600639,浦东金桥,11.19,3772135,850236703,1122412893,1255980.027267
2023-10-24,SZ000507,珠海港,5.17,5443068,902337753,919734895,475502.940715
2023-10-24,SH600641,先导基电,14.88,11092804,930629920,930629920,1384777.32096
2023-10-24,SH600640,国脉文化,9.66,3241600,795695940,795695940,768642.27804
2023-10-24,SH600642,申能股份,5.94,18365746,4864938286,4909428286,2916200.401884
2023-10-24,SH600644,乐山电力,6.25,2841635,538400659,538400659,336500.411875
2023-10-24,SH600643,爱建集团,5.23,7998418,1619103390,1621922452,848265.442396
2023-10-24,SZ000023,*ST深天,5.95,758303,138756240,138756240,82559.9628
2023-10-24,SH600647,退市同达,11.59,1077601,139143550,139143550,161267.37445
2023-10-24,SH600648,外高桥,11.01,2754607,934791624,1135349124,1250019.385524
2023-10-24,SH600645,中源协和,18.46,6252994,467770165,467948890,863833.65094
2023-10-24,SZ000509,华塑控股,3.67,13573000,1073112808,1073128052,393837.995084
2023-10-24,SZ000510,新金路,4.67,9217421,567242232,609182254,284488.112618
2023-10-24,SH600649,城投控股,4.12,13791419,2529575634,2529575634,1042185.161208
2023-10-24,SH600657,信达地产,3.96,23844568,2851878595,2851878595,1129343.92362
2023-10-24,SH600658,电子城,4.4,10080148,1118585045,1118585045,492177.4198
2023-10-24,SZ000026,飞亚达,10.19,7765477,362553413,415266730,423156.79787
2023-10-24,SH600650,锦江在线,9.07,957800,390560075,551610107,500310.367049
2023-10-24,SH600660,福耀玻璃,36.6,9757241,2002986332,2609743532,9551661.32712
2023-10-24,SH600662,外服控股,5.13,6004855,1053362191,2283711650,1171544.07645
2023-10-24,SH600661,昂立教育,8.14,2846178,286548830,286548830,233250.74762
2023-10-24,SZ000025,特  力Ａ,14.81,2919771,392778320,431058320,638397.37192
2023-10-24,SH600663,陆家嘴,8.98,5186468,2933461440,4812931457,4322012.448386
2023-10-24,SH600664,哈药股份,3.32,29298821,2518138876,2520907976,836941.448032
2023-10-24,SH600665,天地源,3.83,11824324,864122521,864122521,330958.925543
2023-10-24,SH600666,奥瑞德,2.16,28978641,2419752935,2763512843,596918.774088
2023-10-24,SZ000514,渝 开 发,4.36,36357129,843770965,843770965,367884.14074
2023-10-24,SH600668,尖峰集团,10.78,1876108,344083828,344083828,370922.366584
2023-10-24,SH600667,太极实业,6.24,35053395,2106190178,2106190178,1314262.671072
2023-10-24,SZ000516,国际医学,8.66,18911415,1899545570,2260809518,1957861.042588
2023-10-24,SZ000028,国药一致,28.47,4462868,478053712,556565077,1584540.774219
2023-10-24,SH600671,天目药业,10.4,1470409,121720533,121778885,126650.0404
2023-10-24,SH600600,青岛啤酒,78.5,10440663,704698414,1364232790,10709227.4015
2023-10-24,SZ000027,深圳能源,5.98,13964000,4757389916,4757389916,2844919.169768
2023-10-24,SZ000029,深深房Ａ,10.83,3170000,891660000,1011660000,1095627.78
2023-10-24,SH600673,东阳光,6.11,7636500,2997264327,3013874259,1841477.172249
2023-10-24,SH600675,中华企业,3.47,10348926,6096135252,6096135252,2115358.932444
2023-10-24,SH600674,川投能源,14.55,10589627,4460821579,4460821579,6490495.397445
2023-10-24,SH600676,交运股份,3.97,4633449,1028492944,1028492944,408311.698768
2023-10-24,SZ000030,富奥股份,5.14,6613750,1692209461,1741643085,895204.54569
2023-10-24,SZ000031,大悦城,3.48,16337228,4002887169,4286313339,1491637.041972
2023-10-24,SH600678,四川金顶,5.3,6017534,348990000,348990000,184964.7
2023-10-24,SZ000519,中兵红箭,13.5,12242529,1391500582,1392558982,1879954.6257
2023-10-24,SH600679,上海凤凰,8.12,2576701,299434330,515294257,418418.936684
2023-10-24,SH600682,南京新百,7.44,4839100,1165060275,1346132221,1001522.372424
2023-10-24,SZ000521,长虹美菱,5.67,22312434,875312459,1029923715,583966.746405
2023-10-24,SH600683,京投发展,5.59,30382556,740777597,740777597,414094.676723
2023-10-24,SH600684,珠江股份,3.61,23020573,853460723,853460723,308099.321003
2023-10-24,SH600685,中船防务,22.3,3572700,821435181,1413506378,3152119.22294
2023-10-24,SZ000513,丽珠集团,34.76,5456185,605860369,935552687,3251981.140012
2023-10-24,SZ000525,红太阳,7.68,4452615,580617168,580772873,446033.566464
2023-10-24,SZ000032,深桑达Ａ,20.02,16832726,644763811,1137959234,2278194.386468
2023-10-24,SZ000526,学大教育,34.84,3807792,117762709,122124709,425482.486156
2023-10-24,SH600688,上海石化,2.87,24836880,7328813500,10799285500,3099394.9385
2023-10-24,SH600686,金龙汽车,7.78,86631291,717047417,717047417,557862.890426
2023-10-24,SH600689,上海三毛,9.83,5368600,152204143,200991343,197574.490169
2023-10-24,SZ000523,红棉股份,3.09,7319321,1376840942,1835468461,567159.754449
2023-10-24,SZ000524,岭南控股,8.12,5368500,670081621,670208597,544209.380764
2023-10-24,SZ000528,柳    工,6.41,7477944,1412932824,1951205775,1250722.901775
2023-10-24,SH600692,亚通股份,5.6,4633333,255010517,351764064,196987.87584
2023-10-24,SH600690,海尔智家,22.08,23187805,6308552654,9438114893,20839357.683744
2023-10-24,SH600691,潞化科技,2.94,11475682,2375585952,2375981952,698538.693888
2023-10-24,SH600693,东百集团,3.81,6921753,868864692,869846246,331411.419726
2023-10-24,SH600694,大商股份,16.86,2317250,293718653,293718653,495209.648958
2023-10-24,SZ000541,佛山照明,7.56,152296707,1056501050,1361994647,1029667.953132
2023-10-24,SZ000539,粤电力Ａ,5.39,20482320,2553911699,5250283986,2829903.068454
2023-10-24,SZ000547,航天发展,8.22,12659005,1588350696,1598468269,1313940.917118
2023-10-24,SZ000550,江铃汽车,16.18,5894500,518463160,863214000,1396680.252
2023-10-24,SZ000553,安道麦A,7.31,2317919,2177067461,2329811766,1703092.400946
2023-10-24,SH600699,均胜电子,18.14,38162832,1368084624,1408701543,2555384.599002
2023-10-24,SH600696,*ST岩石,20.19,1589601,334469431,334469431,675293.781189
2023-10-24,SH600697,欧亚集团,12.6,2397700,155376015,159088075,200450.9745
2023-10-24,SH600800,渤海化学,3.37,5190476,794337361,1185787580,399610.41446
2023-10-24,SZ000544,中原环保,7.11,5064133,974684488,974684488,693000.670968
2023-10-24,SZ000530,冰山冷热,5.04,10705211,600041613,843212507,424979.103528
2023-10-24,SZ000537,绿发电力,10.54,7306101,1862520720,1862520720,1963096.83888
2023-10-24,SZ000554,泰山石油,6.02,28684211,362647685,480793318,289437.577436
2023-10-24,SZ000538,云南白药,49.34,7113953,1784917191,1796862549,8865719.816766
2023-10-24,SZ000543,皖能电力,5.69,12009764,2266863331,2266863331,1289845.235339
2023-10-24,SZ000548,湖南投资,4.97,6342786,499188811,499215811,248110.258067
2023-10-24,SH600805,悦达投资,4.09,5945008,850275368,850894494,348015.848046
2023-10-24,SZ000533,顺钠股份,3.91,6985701,684902400,690816000,270109.056
2023-10-24,SH600804,退市鹏博,3.71,19125251,1392629959,1657463906,614919.109126
2023-10-24,SH600803,新奥股份,16.93,4978456,2831908568,3098397607,5245587.148651
2023-10-24,SH600802,福建水泥,5.06,5964340,458248400,458248400,231873.6904
2023-10-24,SH600801,华新建材,13.82,5853584,1344275649,2078995649,2873171.986918
2023-10-24,SZ000532,华金资本,10.35,2824900,343549746,344708340,356773.1319
2023-10-24,SH600807,济高发展,3.06,10783280,787018464,884634731,270698.227686
2023-10-24,SZ000551,创元科技,9.16,2407300,400080405,403984805,370050.08138
2023-10-24,SZ000531,穗恒运Ａ,6.39,6557848,822099384,822099384,525321.506376
2023-10-24,SH600808,马钢股份,2.52,18874924,5967751186,7769787186,1957986.370872
2023-10-24,SH600809,山西汾酒,230.08,4612102,1219964222,1219964222,28068936.819776
2023-10-24,SH600810,神马股份,7.62,5179692,1044177811,1044177811,795663.491982
2023-10-24,SH600811,*ST东方,2.23,34594228,3658744935,3658744935,815900.120505
2023-10-24,SZ000564,供销大集,1.2,73679103,15181371403,19163777335,2299653.2802
2023-10-24,SZ000563,陕国投Ａ,2.99,36375313,5113970358,5113970358,1529077.137042
2023-10-24,SZ000534,万泽股份,12.45,3204432,494403196,509037396,633751.55802
2023-10-24,SZ000559,万向钱潮,5.04,12293469,2753037624,3303791344,1665110.837376
2023-10-24,SH600812,华北制药,5.38,8917900,1630804729,1715730370,923062.93906
2023-10-24,SH600814,杭州解百,7.1,12298300,715026758,735729238,522367.75898
2023-10-24,SH600816,建元信托,2.49,19425648,5264290520,9844448254,2451267.615246
2023-10-24,SH600815,厦工股份,2.56,4305680,1774094480,1774094480,454168.18688
2023-10-24,SH600820,隧道股份,5.44,15204426,3144096094,3144096094,1710388.275136
2023-10-24,SH600819,耀皮玻璃,4.59,3746461,747416067,934916069,429126.475671
2023-10-24,SH600821,金开新能,6.51,18735993,1997263453,1997263453,1300218.507903
2023-10-24,SZ000021,深科技,15.97,24183368,1560017152,1560587588,2492258.378036
2023-10-24,SH600825,新华传媒,4.18,9304200,1044887850,1044887850,436763.1213
2023-10-24,SH600824,益民集团,3.52,7382341,1054027073,1054027073,371017.529696
2023-10-24,SH600822,上海物贸,10.64,4842244,396147908,495972914,527715.180496
2023-10-24,SH600823,*ST世茂,1.3,26355049,3751168261,3751168261,487651.87393
2023-10-24,SH600827,百联股份,10.22,8105624,1604449920,1784168117,1823419.815574
2023-10-24,SH600826,兰生股份,9.4,3690782,417482448,528623958,496906.52052
2023-10-24,SH600834,申通地铁,7.81,1610200,477381905,477381905,372835.267805
2023-10-24,SH600829,人民同泰,7.28,7382901,579888597,579888597,422158.898616
2023-10-24,SH600831,广电网络,5.33,6630891,710514640,710514640,378704.30312
2023-10-24,SH600830,香溢融通,6.17,9709900,454322747,454322747,280317.134899
2023-10-24,SH600835,上海机电,13.08,3803255,806504300,1022739308,1337743.014864
2023-10-24,SH600836,*ST易连,3.81,15269700,665243072,668953072,254871.120432
2023-10-24,SH600828,茂业商业,3.58,5002242,1731360181,1731982546,620049.751468
2023-10-24,SH600838,上海九百,7.25,15371831,400881981,400881981,290639.436225
2023-10-24,SH600843,上工申贝,5.47,4296900,469222730,713166480,390102.06456
2023-10-24,SH600846,同济科技,8.37,9002576,624761516,624761516,522925.388892
2023-10-24,SH600841,动力新科,5.59,4559215,920144118,1387821784,775792.377256
2023-10-24,SH600839,四川长虹,6.39,953921727,4614958631,4616244222,2949780.057858
2023-10-24,SH600848,上海临港,10.55,5148120,2393912273,2522487004,2661223.78922
2023-10-24,SH600850,电科数字,22.32,6934087,603967373,685074346,1529085.940272
2023-10-24,SH600847,万里股份,10.53,1720600,153287400,153287400,161411.6322
2023-10-24,SH600851,海欣股份,6.42,6342807,738206110,1207056692,774930.396264
2023-10-24,SZ000555,神州信息,10.86,11869103,980191563,983653713,1068247.932318
2023-10-24,SZ000039,中集集团,6.33,17872314,2301407141,5392520385,3413465.403705
2023-10-24,SZ000035,中国天楹,5.73,13227200,2453345376,2523777297,1446124.391181
2023-10-24,SZ000565,渝三峡Ａ,5.63,2928000,433592220,433592220,244112.41986
2023-10-24,SH600857,宁波中百,9.01,2503970,224319919,224319919,202112.247019
2023-10-24,SH600859,王府井,17.95,7641149,1093469526,1135049451,2037413.764545
2023-10-24,SH600860,京城股份,11.34,5453823,428196883,542265988,614929.630392
2023-10-24,SZ000558,天府文旅,2.73,12555615,1288684608,1289223949,351958.138077
2023-10-24,SZ000034,神州数码,26.97,34265139,550051720,669580180,1805857.74546
2023-10-24,SZ000568,泸州老窖,198.8,5649912,1464519180,1471987769,29263116.84772
2023-10-24,SH600861,北京人力,22.71,1851738,316804949,566112718,1285641.982578
2023-10-24,SH600863,内蒙华电,3.4,40838910,6526887811,6526887811,2219141.85574
2023-10-24,SZ000566,海南海药,4.35,10611000,1165386641,1297365126,564353.82981
2023-10-24,SZ000567,海德股份,11.35,5832141,1344779697,1347994590,1529973.85965
2023-10-24,SZ000571,新大洲A,2.37,15807586,814036325,814064000,192933.168
2023-10-24,SZ000036,华联控股,3.64,8399950,1479675252,1483934025,540151.9851
2023-10-24,SZ000570,苏常柴Ａ,5.33,7043788,498874326,705692507,376134.106231
2023-10-24,SZ000037,深南电A,8.1,5063558,338890825,602762596,488237.70276
2023-10-24,SZ000040,*ST旭蓝,3.79,10358558,1060340670,1486873870,563525.19673
2023-10-24,SZ000572,海马汽车,4.06,24202100,1642155224,1644636426,667722.388956
2023-10-24,SH600864,哈投股份,5.88,72181524,2080570520,2080570520,1223375.46576
2023-10-24,SH600865,百大集团,7.79,2130888,376240316,376240316,293091.206164
2023-10-24,SZ000045,深纺织Ａ,10.91,7057600,457021849,506521849,552615.337259
2023-10-24,SZ000573,粤宏远Ａ,3.35,12628266,632918427,638280604,213824.00234
2023-10-24,SH600866,星湖科技,4.8,7573770,739019166,1661472616,797506.85568
2023-10-24,SH600867,通化东宝,10.58,12273930,1991734053,1993617453,2109247.265274
2023-10-24,SZ000576,甘化科工,8.96,4052121,430479489,442631734,396598.033664
2023-10-24,SH600868,梅雁吉祥,2.57,10916234,1898148679,1898148679,487824.210503
2023-10-24,SZ000046,*ST泛海,1.64,216776704,5173541431,5196200656,852176.907584
2023-10-24,SZ000042,中洲控股,6.32,4763901,663989377,664831139,420173.279848
2023-10-24,SZ000048,京基智农,18.63,6360356,523239250,523239250,974794.72275
2023-10-24,SH600872,中炬高新,32.22,4397563,785375950,785375950,2530481.3109
2023-10-24,SH600869,远东股份,4.46,10144800,2219352746,2219352746,989831.324716
2023-10-24,SZ000050,深天马Ａ,9.73,15311915,2375794164,2457747661,2391388.474153
2023-10-24,SZ000049,德赛电池,30.12,2804640,299278116,299386862,901753.228344
2023-10-24,SH600871,石化油服,1.93,46429879,13569378551,18984340033,3663977.626369
2023-10-24,SH600874,创业环保,5.6,8035984,1230418085,1570418085,879434.1276
2023-10-24,SH600875,东方电气,14.57,8418158,2015134163,3118533797,4543703.742229
2023-10-24,SH600877,电科芯片,15.17,29493195,921979452,1184167119,1796381.519523
2023-10-24,SZ000010,美丽生态,3.94,66509358,522171498,1058692292,417124.763048
2023-10-24,SH600876,凯盛新能,13.21,1763529,382445239,645674963,852936.626123
2023-10-24,SZ000582,北部湾港,7.29,7121370,1409716150,1771983637,1291776.071373
2023-10-24,SH600879,航天电子,7.15,21806774,2719271284,3299299334,2358999.02381
2023-10-24,SH600880,博瑞传播,4.69,16750451,1093030175,1093332092,512772.751148
2023-10-24,SH600881,亚泰集团,2.07,14341488,3248913588,3248913588,672525.112716
2023-10-24,SZ000584,工智退,4.01,10626600,749228302,760937577,305135.968377
2023-10-24,SH600882,妙可蓝多,16.52,4809340,512053647,513791647,848783.800844
2023-10-24,SH600883,博闻科技,7.71,2381700,236088000,236088000,182023.848
2023-10-24,SZ000586,汇源通信,13.51,3576200,193440000,193440000,261337.44
2023-10-24,SH600886,国投电力,11.85,21438855,6965873347,7454179797,8833203.059445
2023-10-24,SZ000590,古汉医药,8.3,3878700,239376227,239471267,198761.15161
2023-10-24,SH600884,杉杉股份,14,14581621,1757236492,2258992633,3162589.6862
2023-10-24,SH600885,宏发股份,30.6,3786324,1042675674,1042675674,3190587.56244
2023-10-24,SZ000591,太阳能,5.5,25295340,3595164818,3909227441,2150075.09255
2023-10-24,SH600888,新疆众和,7.28,12513685,1332337255,1350024855,982818.09444
2023-10-24,SZ000589,贵州轮胎,6.18,14991314,1164543930,1198214430,740496.51774
2023-10-24,SH600889,南京化纤,4.97,4627800,366346010,366346010,182073.96697
2023-10-24,SZ000593,德龙汇能,7.9,63566229,358456319,358631009,283318.49711
2023-10-24,SH600887,伊利股份,25.61,29221404,6275520559,6366305105,16304107.373905
2023-10-24,SH600894,广日股份,7.1,4835600,859946895,859946895,610562.29545
2023-10-24,SH600893,航发动力,34.37,7916250,2665124758,2665594238,9161647.396006
2023-10-24,SZ000055,方大集团,4.6,7496165,675854429,1073874227,493982.14442
2023-10-24,SZ000595,*ST宝实,4.87,5572400,1138217668,1138656366,554525.650242
2023-10-24,SH600895,张江高科,22.27,136369228,1548689550,1548689550,3448931.62785
2023-10-24,SZ000599,青岛双星,4.23,8659200,816725739,816758987,345489.051501
2023-10-24,SH600706,曲江文旅,13.43,10927441,254030185,255059785,342545.291255
2023-10-24,SH600707,彩虹股份,5.62,16485700,3587669732,3588389732,2016675.029384
2023-10-24,SZ000597,东北制药,4.89,10954433,1374030261,1434316265,701380.653585
2023-10-24,SH600702,舍得酒业,105.6,6246125,331896179,333195979,3518549.53824
2023-10-24,SZ000598,兴蓉环境,5.09,13932047,2968576321,2985566321,1519653.257389
2023-10-24,SH600711,盛屯矿业,4.33,23422700,3122669280,3131641380,1356000.71754
