日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2022-08-03,SZ000005,ST星源,1.72,8181402,1057946242,1058536842,182068.336824
2022-08-03,SH600654,中安科,2.44,7665101,755043154,1283020992,313057.122048
2022-08-03,SH600651,飞乐音响,3.43,15325253,1241584875,2507028015,859910.609145
2022-08-03,SH600602,云赛智联,7.01,31494345,1074302990,1367673455,958739.091955
2022-08-03,SH600601,方正科技,2.4,17736641,2194891204,2194891204,526773.88896
2022-08-03,SH600653,申华控股,2.16,44636077,1946380317,1946380317,420418.148472
2022-08-03,SZ000004,*ST国华,8.83,2222814,116328474,132848008,117304.791064
2022-08-03,SZ000002,万  科Ａ,16.06,81500417,9717553265,11625383375,18670365.70025
2022-08-03,SZ000001,平安银行,12.03,74613653,19405521950,19405918198,23345319.592194
2022-08-03,SZ000009,中国宝安,13.76,137883911,2551430324,2579213965,3548998.41584
2022-08-03,SH600603,广汇物流,9.96,61018494,1254820847,1254820847,1249801.563612
2022-08-03,SZ000012,南  玻Ａ,6.68,138697440,1956586251,3070692107,2051222.327476
2022-08-03,SZ000016,深康佳Ａ,5.07,16403061,1596574300,2407945408,1220828.321856
2022-08-03,SH600605,汇通能源,8.16,1294521,206282429,206282429,168326.462064
2022-08-03,SH600608,*ST沪科,4.32,2161600,318371441,328861441,142068.142512
2022-08-03,SH600604,市北高新,4.98,8630446,1407454804,1873304804,932905.792392
2022-08-03,SH600606,绿地控股,2.99,60526923,14054218314,14054218314,4202211.275886
2022-08-03,SZ000011,深物业A,9.95,4581000,526475543,595979092,592999.19654
2022-08-03,SZ000017,深中华A,4.07,7370300,302981008,551347947,224398.614429
2022-08-03,SZ000007,全新好,7.75,18617350,308948044.5,346448044,268497.2341
2022-08-03,SZ000006,深振业Ａ,4,9511919,1349995046,1349995046,539998.0184
2022-08-03,SZ000020,深华发Ａ,9.06,1973891,181165391,283161227,256544.071662
2022-08-03,SZ000008,神州高铁,2.34,28243200,2693934188,2780795346,650706.110964
2022-08-03,SZ000014,沙河股份,7.79,4773180,242046224,242046224,188554.008496
2022-08-03,SH600609,金杯汽车,5,16656881,1092667132,1311200558,655600.279
2022-08-03,SH600611,大众交通,3.05,5225025,1563316364,2364122864,721057.47352
2022-08-03,SH600612,老凤祥,36.9,1174700,317109630,523117764,1930304.54916
2022-08-03,SH600655,豫园股份,7.95,7053004,3884603814,3891102974,3093426.86433
2022-08-03,SH600616,金枫酒业,6.23,11168032,669004950,669004950,416790.08385
2022-08-03,SZ000019,深粮控股,7.94,25381099,416184832,1152535254,915112.991676
2022-08-03,SH600618,氯碱化工,10.79,9722897,749839976,1156399976,1247755.574104
2022-08-03,SH600619,海立股份,8.37,72310237,712180384,1084419906,907659.461322
2022-08-03,SH600620,天宸股份,10.54,5454600,686677113,686677113,723757.677102
2022-08-03,SZ000501,武商集团,10.07,9271890,768073142,768992731,774375.680117
2022-08-03,SZ000503,国新健康,8.83,13708612,898779932,907215204,801071.025132
2022-08-03,SH600621,华鑫股份,11.58,14456501,1060899292,1060899292,1228521.380136
2022-08-03,SH600622,光大嘉宝,3.03,31361294,1499685402,1499685402,454404.676806
2022-08-03,SH600623,华谊集团,7.13,6674779,1862196763,2131449598,1519723.563374
2022-08-03,SZ000504,*ST生物,14.42,1685200,310673201,311573901,449289.565242
