日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2022-08-29,SZ000005,ST星源,1.84,5078101,1057946242,1058536842,194770.778928
2022-08-29,SH600654,中安科,2.82,4959900,755043154,1283020992,361811.919744
2022-08-29,SH600651,飞乐音响,3.89,15859086,1241584875,2507028015,975233.897835
2022-08-29,SH600602,云赛智联,6.54,9523047,1074302990,1367673455,894458.43957
2022-08-29,SH600601,方正科技,2.6,13835197,2194891204,2194891204,570671.71304
2022-08-29,SH600653,申华控股,2.22,20799723,1946380317,1946380317,432096.430374
2022-08-29,SZ000004,*ST国华,9.35,1136600,116328474,132848008,124212.88748
2022-08-29,SZ000002,万  科Ａ,15.57,67140780,9717360740,11630709471,18109014.646347
2022-08-29,SZ000001,平安银行,12.42,92449065,19405546950,19405918198,24102150.401916
2022-08-29,SZ000009,中国宝安,15.1,57368499,2551430324,2579213965,3894613.08715
2022-08-29,SH600603,广汇物流,11.98,38357251,1254820847,1254820847,1503275.374706
2022-08-29,SZ000012,南  玻Ａ,6.51,23327349,1956586251,3070692107,1999020.561657
2022-08-29,SZ000016,深康佳Ａ,5.53,25735086,1596567800,2407945408,1331593.810624
2022-08-29,SH600605,汇通能源,9.17,1133700,206282429,206282429,189160.987393
2022-08-29,SH600608,*ST沪科,4.75,1752284,318371441,328861441,156209.184475
2022-08-29,SH600604,市北高新,5.03,11460795,1407454804,1873304804,942272.316412
2022-08-29,SH600606,绿地控股,3.09,39447310,14054218314,14054218314,4342753.459026
2022-08-29,SZ000011,深物业A,10.13,3292539,526475543,595979092,603726.820196
2022-08-29,SZ000017,深中华A,4.37,7042301,302981008,551347947,240939.052839
2022-08-29,SZ000007,全新好,7.7,37595100,308948044.5,346448044,266764.99388
2022-08-29,SZ000006,深振业Ａ,4.2,8144500,1349995046,1349995046,566997.91932
2022-08-29,SZ000020,深华发Ａ,10.23,12107923,181165391,283161227,289673.935221
2022-08-29,SZ000008,神州高铁,2.42,11316274,2693934188,2780795346,672952.473732
2022-08-29,SZ000014,沙河股份,8.31,4879383,242046224,242046224,201140.412144
2022-08-29,SH600609,金杯汽车,4.96,8329168,1092667132,1311200558,650355.476768
2022-08-29,SH600611,大众交通,3.09,3103151,1563316364,2364122864,730513.964976
2022-08-29,SH600612,老凤祥,36.21,960325,317109630,523117764,1894209.423444
2022-08-29,SH600655,豫园股份,8,7318571,3884603814,3891102974,3112882.3792
2022-08-29,SH600616,金枫酒业,6.75,12625831,669004950,669004950,451578.34125
2022-08-29,SZ000019,深粮控股,8.09,11727070,416184832,1152535254,932401.020486
2022-08-29,SH600618,氯碱化工,11.61,7643668,749839976,1156399976,1342580.372136
2022-08-29,SH600619,海立股份,7.26,15380001,712180384,1084419906,787288.851756
2022-08-29,SH600620,天宸股份,12.25,10248082,686677113,686677113,841179.463425
2022-08-29,SZ000501,武商集团,10.22,7026699,768073142,768992731,785910.571082
2022-08-29,SZ000503,国新健康,11.1,14106479,898779932,907215204,1007008.87644
2022-08-29,SH600621,华鑫股份,12.74,14411582,1060899292,1060899292,1351585.698008
2022-08-29,SH600622,光大嘉宝,3.09,15734037,1499685402,1499685402,463402.789218
2022-08-29,SH600623,华谊集团,7.58,6843512,1862196763,2131449598,1615638.795284
2022-08-29,SZ000504,*ST生物,13.28,2049800,310673201,311573901,413770.140528
2022-08-29,SZ000505,京粮控股,9.14,16286145,620815364,726950251,664432.529414
2022-08-29,SH600624,ST复华,6.05,4899307,684712010,684712010,414250.76605
2022-08-29,SH600626,申达股份,3.92,5510336,852291316,1107978710,434327.65432
2022-08-29,SH600628,新世界,7,1767876,646875384,646875384,452812.7688
2022-08-29,SH600630,龙头股份,6.42,15899248,424861597,424861597,272761.145274
2022-08-29,SH600635,大众公用,3.33,15290903,2418791675,2952434675,983160.746775
2022-08-29,SH600637,东方明珠,6.62,9773015,3414500201,3414500201,2260399.133062
2022-08-29,SH600636,*ST国化,7.58,3879288,440449035,446936885,338778.15883
2022-08-29,SH600638,新黄浦,5.44,2009282,673396786,673396786,366327.851584
2022-08-29,SH600639,浦东金桥,12.03,4871925,850236703,1122412893,1350262.710279
2022-08-29,SZ000507,珠海港,5.91,64986472,902337753,919734895,543563.322945
2022-08-29,SH600641,先导基电,23.85,20309905,957930404,957930404,2284664.01354
2022-08-29,SH600640,国脉文化,10.29,4075201,795695940,795695940,818771.12226
2022-08-29,SH600642,申能股份,6.15,15344374,4867231316,4912038316,3020903.56434
2022-08-29,SH600644,乐山电力,7.74,25908516,538400659,538400659,416722.110066
2022-08-29,SH600643,爱建集团,5.81,6879951,1619103390,1621922452,942336.944612
2022-08-29,SZ000023,*ST深天,10.51,1082309,138752021,138756240,145832.80824
2022-08-29,SH600647,退市同达,16.37,3562299,139143550,139143550,227777.99135
2022-08-29,SH600648,外高桥,12.2,3543557,934791624,1135349124,1385125.93128
2022-08-29,SH600645,中源协和,18.18,2330600,467770165,467948890,850731.08202
2022-08-29,SZ000509,华塑控股,3.98,7128406,1073109808,1073128052,427104.964696
2022-08-29,SZ000510,新金路,6.65,32028153,568475282,609182254,405106.19891
2022-08-29,SH600649,城投控股,3.94,25181851,2529575634,2529575634,996652.799796
2022-08-29,SH600657,信达地产,5.2,22377370,2851878595,2851878595,1482976.8694
2022-08-29,SH600658,电子城,4.77,9600584,1118585045,1118585045,533565.066465
2022-08-29,SZ000026,飞亚达,10.07,2151600,359437883,425615177,428594.483239
2022-08-29,SH600650,锦江在线,11.07,7327606,390560075,551610107,610632.388449
2022-08-29,SH600660,福耀玻璃,38.48,11872769,2002986332,2609743532,10042293.111136
2022-08-29,SH600662,外服控股,6.08,7963847,1053362191,2283296750,1388244.424
2022-08-29,SH600661,昂立教育,9.06,4839128,286548830,286548830,259613.23998
2022-08-29,SZ000025,特  力Ａ,19.57,4295454,392778320,431058320,843581.13224
2022-08-29,SH600663,陆家嘴,9.91,2167992,2933461440,4034197440,3997889.66304
2022-08-29,SH600664,哈药股份,2.81,10520590,2514220176,2523288376,709044.033656
2022-08-29,SH600665,天地源,3.24,6763900,864122521,864122521,279975.696804
2022-08-29,SH600666,奥瑞德,1.55,7122285,883566332,1227326240,190235.5672
2022-08-29,SZ000514,渝 开 发,4.13,10855551,843770965,843770965,348477.408545
2022-08-29,SH600668,尖峰集团,12.31,5422150,344083828,344083828,423567.192268
2022-08-29,SH600667,太极实业,6.46,15398243,2106190178,2106190178,1360598.854988
2022-08-29,SZ000516,国际医学,10.1,17450460,1907237577,2275255232,2298007.78432
2022-08-29,SZ000028,国药一致,29.36,1183132,367733625,428126983,1256980.822088
2022-08-29,SH600671,天目药业,8.65,919985,121720533,121778885,105338.735525
2022-08-29,SH600600,青岛啤酒,108.5,6687955,700273045,1364354793,14803249.50405
2022-08-29,SZ000027,深圳能源,6.61,18763397,4757389916,4757389916,3144634.734476
2022-08-29,SZ000029,深深房Ａ,8.8,3719253,891660000,1011660000,890260.8
2022-08-29,SH600673,东阳光,11.15,21382803,3005900127,3013897259,3360495.443785
2022-08-29,SH600675,中华企业,2.71,6733532,6096135252,6096135252,1652052.653292
2022-08-29,SH600674,川投能源,13.34,13633862,4406156524,4406156524,5877812.803016
2022-08-29,SH600676,交运股份,4.01,3455387,1028492944,1028492944,412425.670544
2022-08-29,SZ000030,富奥股份,5.14,3832794,1761118487,1810552111,930623.785054
2022-08-29,SZ000031,大悦城,3.52,9844383,4002887169,4286313339,1508782.295328
2022-08-29,SH600678,四川金顶,5.82,3388307,348990000,348990000,203112.18
2022-08-29,SZ000519,中兵红箭,31.95,23981719,1391500582,1392558982,4449225.94749
2022-08-29,SH600679,上海凤凰,9.42,1003101,286873170,515294257,485407.190094
2022-08-29,SH600682,南京新百,9.13,2709002,1165060275,1346132221,1229018.717773
2022-08-29,SZ000521,长虹美菱,4.11,19007175,875808809,1029923715,423298.646865
2022-08-29,SH600683,京投发展,4.34,4097744,740777597,740777597,321497.477098
2022-08-29,SH600684,珠江股份,3.35,12091317,853460723,853460723,285909.342205
2022-08-29,SH600685,中船防务,22.9,13845347,821435181,1413506378,3236929.60562
2022-08-29,SZ000513,丽珠集团,30.65,4201075,605305633,934997951,2865768.719815
2022-08-29,SZ000525,红太阳,16.66,12356500,574514828,580772873,967567.606418
2022-08-29,SZ000032,深桑达Ａ,13.96,3963862,644763811,1137959234,1588591.090664
2022-08-29,SZ000526,学大教育,15.33,1840644,111767381,117762709,180530.232897
2022-08-29,SH600688,上海石化,3.22,17349770,7328813500,10823813500,3485267.947
2022-08-29,SH600686,金龙汽车,6.54,11320408,674575721,717047417,468949.010718
2022-08-29,SH600689,上海三毛,9.07,10974168,152204143,200991343,182299.148101
2022-08-29,SZ000523,红棉股份,3.38,6113572,1376841942,1612420134,544998.005292
2022-08-29,SZ000524,岭南控股,9.82,10690435,670081621,670208597,658144.842254
2022-08-29,SZ000528,柳    工,6.12,5263575,958637288,1955019991,1196472.234492
2022-08-29,SH600692,亚通股份,6.08,4454695,255010517,351764064,213872.550912
2022-08-29,SH600690,海尔智家,24.57,15543539,6308552654,9448705076,23215468.371732
2022-08-29,SH600691,潞化科技,4.15,31325698,2375585952,2375981952,986032.51008
2022-08-29,SH600693,东百集团,4.11,13285349,868864692,869846246,357506.807106
2022-08-29,SH600694,大商股份,17.38,1532892,293718653,293718653,510483.018914
2022-08-29,SZ000541,佛山照明,7.18,21708204,1056501050,1361994647,977912.156546
2022-08-29,SZ000539,粤电力Ａ,4.57,25335877,2553909869,5250283986,2399379.781602
2022-08-29,SZ000547,航天发展,10.85,35286690,1577147685,1603685112,1739998.34652
2022-08-29,SZ000550,江铃汽车,15.19,4634680,518463085,863214000,1311222.066
2022-08-29,SZ000553,安道麦A,11.85,16187499,2177067461,2329811766,2760826.94271
2022-08-29,SH600699,均胜电子,16.5,23282681,1368084624,1368084624,2257339.6296
2022-08-29,SH600696,*ST岩石,27.84,2196494,334469431,334469431,931162.895904
2022-08-29,SH600697,欧亚集团,12.69,559100,155156015,159088075,201882.767175
2022-08-29,SH600800,渤海化学,4.17,7006138,794337361,1185787580,494473.42086
2022-08-29,SZ000544,中原环保,6.53,10901550,974684488,974684488,636468.970664
2022-08-29,SZ000530,冰山冷热,5.94,52969245,598194679,843212507,500868.229158
2022-08-29,SZ000537,绿发电力,15.93,50359312,1862520720,1862520720,2966995.50696
2022-08-29,SZ000554,泰山石油,6.18,53581716,362647685,480793318,297130.270524
2022-08-29,SZ000538,云南白药,53.42,2961406,835880742,1796438318,9596573.494756
2022-08-29,SZ000543,皖能电力,5.24,64773527,2266863331,2266863331,1187836.385444
2022-08-29,SZ000548,湖南投资,4.64,13151467,499188811,499215811,231636.136304
2022-08-29,SH600805,悦达投资,5.2,7877800,850275368,850894494,442465.13688
2022-08-29,SZ000533,顺钠股份,4.7,41040802,684902400,690816000,324683.52
2022-08-29,SH600804,退市鹏博,3.35,21798234,1392629959,1657463906,555250.40851
2022-08-29,SH600803,新奥股份,21.29,13817492,1461039371,3098662607,6597052.690303
2022-08-29,SH600802,福建水泥,6.09,2927535,458248400,458248400,279073.2756
2022-08-29,SH600801,华新建材,16.94,9621385,1361879855,2096599855,3551640.15437
2022-08-29,SZ000532,华金资本,11.2,2283300,343549746,344708340,386073.3408
2022-08-29,SH600807,济高发展,3.56,4571120,787018464,884634731,314929.964236
2022-08-29,SZ000551,创元科技,11.77,46194191,400080405,403984805,475490.115485
2022-08-29,SZ000531,穗恒运Ａ,8.12,10305501,822099384,822099384,667544.699808
2022-08-29,SH600808,马钢股份,3.06,38915692,5967751186,7775731186,2379373.742916
2022-08-29,SH600809,山西汾酒,285.3,7300851,1217713022,1220073422,34808694.72966
2022-08-29,SH600810,神马股份,9.14,34770783,714031190,1044175874,954376.748836
2022-08-29,SH600811,*ST东方,2.87,40309150,3659150735,3659150735,1050176.260945
2022-08-29,SZ000564,供销大集,1.05,88029123,15181349333,19163777335,2012196.620175
2022-08-29,SZ000563,陕国投Ａ,3.17,20997050,3964012846,3964012846,1256592.072182
2022-08-29,SZ000534,万泽股份,14.25,6892500,492416496,500623096,713387.9118
2022-08-29,SZ000559,万向钱潮,5.64,14674602,2753037624,3303791344,1863338.318016
2022-08-29,SH600812,华北制药,6.2,9377726,1630804729,1715730370,1063752.8294
2022-08-29,SH600814,杭州解百,6.19,3895718,715026758,736476758,455879.113202
2022-08-29,SH600816,建元信托,4.35,19273838,5264290520,5469137919,2379074.994765
2022-08-29,SH600815,厦工股份,3.03,7071776,1774094480,1774094480,537550.62744
2022-08-29,SH600820,隧道股份,5.66,38881748,3144096094,3144096094,1779558.389204
2022-08-29,SH600819,耀皮玻璃,5.13,5146200,747416067,934916069,479611.943397
2022-08-29,SH600821,金开新能,7.61,33369780,1280575679,1536356503,1169167.298783
2022-08-29,SZ000021,深科技,12.32,13624578,1559998402,1560587588,1922643.908416
2022-08-29,SZ000540,*ST中天,1.54,73951056,6972817758,7005254679,1078809.220566
2022-08-29,SH600825,新华传媒,3.93,6950365,1044887850,1044887850,410640.92505
2022-08-29,SH600824,益民集团,3.51,4659514,1054027073,1054027073,369963.502623
2022-08-29,SH600822,上海物贸,7.82,851231,396147908,495972914,387850.818748
2022-08-29,SH600823,*ST世茂,2.57,14056082,3751168261,3751168261,964050.243077
2022-08-29,SH600827,百联股份,11.31,3842703,1604449920,1784168117,2017894.140327
2022-08-29,SH600826,兰生股份,8.11,825260,417482448,532761055,432069.215605
2022-08-29,SH600834,申通地铁,9.8,3989624,477381905,477381905,467834.2669
2022-08-29,SH600829,人民同泰,6.17,3751000,579888597,579888597,357791.264349
2022-08-29,SH600831,广电网络,5.73,8244342,710503531,710503531,407118.523263
2022-08-29,SH600830,香溢融通,5.82,5485476,454322747,454322747,264415.838754
2022-08-29,SH600835,上海机电,12.8,3921966,806504300,1022739308,1309106.31424
2022-08-29,SH600836,*ST易连,6.13,6549900,662753072,671053072,411355.533136
2022-08-29,SH600828,茂业商业,3.43,4975181,1731360181,1731982546,594070.013278
2022-08-29,SH600838,上海九百,6.43,3685353,400881981,400881981,257767.113783
2022-08-29,SH600843,上工申贝,5.44,3086800,469222730,713166480,387962.56512
2022-08-29,SH600846,同济科技,8.05,7169113,624761516,624761516,502933.02038
2022-08-29,SH600841,动力新科,8.19,47375262,327909410,1631535732,1336227.764508
2022-08-29,SH600839,四川长虹,2.79,40003688,4614958631,4616244222,1287932.137938
2022-08-29,SH600848,上海临港,12.53,5633478,2356891424,2522487004,3160676.216012
2022-08-29,SH600850,电科数字,18.44,2603640,554907896,554907896,1023250.160224
2022-08-29,SH600847,万里股份,21.55,1823700,153287400,153287400,330334.347
2022-08-29,SH600851,海欣股份,7.3,1603801,738206110,1207056692,881151.38516
2022-08-29,SZ000555,神州信息,10.58,4749000,969700025,979744428,1036569.604824
2022-08-29,SZ000039,中集集团,8.26,13176133,2301407142,5392520385,4454221.83801
2022-08-29,SZ000035,中国天楹,6.19,27266950,2453345376,2523777297,1562218.146843
2022-08-29,SZ000565,渝三峡Ａ,7.54,10752469,433592220,433592220,326928.53388
2022-08-29,SH600857,宁波中百,12.11,2629175,224319919,224319919,271651.421909
2022-08-29,SH600859,王府井,22.85,16612932,1093469526,1135049451,2593587.995535
2022-08-29,SH600860,京城股份,18.97,34908006,322000000,542265988,1028678.579236
2022-08-29,SZ000558,天府文旅,2.91,12903552,1288621496,1289223949,375164.169159
2022-08-29,SZ000034,神州数码,19.36,9701030,542170008,662522176,1282642.932736
2022-08-29,SZ000568,泸州老窖,224.7,16422041,1464504555,1471615076,33067190.75772
2022-08-29,SH600861,北京人力,18.55,1819700,316804949,316804949,587673.180395
2022-08-29,SH600863,内蒙华电,3.98,148295395,6526887811,6526887811,2597701.348778
2022-08-29,SZ000566,海南海药,4.29,8087509,1165390241,1297365126,556569.639054
2022-08-29,SZ000567,海德股份,15.94,5265860,927672105,929651442,1481864.398548
2022-08-29,SZ000571,新大洲A,2.56,19846328,814036325,814064000,208400.384
2022-08-29,SZ000036,华联控股,3.97,8502171,1479675252,1483934025,589121.807925
2022-08-29,SZ000570,苏常柴Ａ,5.2,8707799,498874326,705692507,366960.10364
2022-08-29,SZ000037,深南电A,9.79,17595598,338895156,602762596,590104.581484
2022-08-29,SZ000040,*ST旭蓝,4.95,212202271,1060340670,1486873870,736002.56565
2022-08-29,SZ000572,海马汽车,5.5,23508953,1642155224,1644636426,904550.0343
2022-08-29,SH600864,哈投股份,5.42,16095200,2080570520,2080570520,1127669.22184
2022-08-29,SH600865,百大集团,9.8,1994029,376240316,376240316,368715.50968
2022-08-29,SZ000045,深纺织Ａ,9.05,50644647,457021849,506521849,458402.273345
2022-08-29,SZ000573,粤宏远Ａ,3.21,9341900,632930025,638280604,204888.073884
2022-08-29,SH600866,星湖科技,6.9,21166260,739019166,739019166,509923.22454
2022-08-29,SH600867,通化东宝,9.22,12356263,2005550571,2009378571,1852647.042462
2022-08-29,SZ000576,甘化科工,14.79,13350625,429280422,442861324,654991.898196
2022-08-29,SH600868,梅雁吉祥,3.13,38723872,1898148679,1898148679,594120.536527
2022-08-29,SZ000046,*ST泛海,1.39,27607500,5193597456,5196200656,722271.891184
2022-08-29,SZ000042,中洲控股,8.79,1626600,663969764,664831139,584386.571181
2022-08-29,SZ000048,京基智农,18.7,5174507,523239250,523239250,978457.3975
2022-08-29,SH600872,中炬高新,36.35,7454483,785375950,785375950,2854841.57825
2022-08-29,SH600869,远东股份,7.08,42422251,2219352746,2219352746,1571301.744168
2022-08-29,SZ000050,深天马Ａ,9.63,6218266,2375773677,2457747661,2366810.997543
2022-08-29,SZ000049,德赛电池,55.75,18340096,298483784,300271902,1674015.85365
