日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2024-05-13,SH600654,中安科,2.34,13092641,2282022162,2863320000,670016.88
2024-05-13,SH600651,飞乐音响,3.21,15876500,2507028015,2507028015,804755.992815
2024-05-13,SH600602,云赛智联,11.94,32848312,1074302990,1367673455,1633002.10527
2024-05-13,SH600601,方正科技,2.48,28679395,4170293287,4170293287,1034232.735176
2024-05-13,SH600653,申华控股,1.43,6741018,1946380317,1946380317,278332.385331
2024-05-13,SZ000004,*ST国华,10.4,6525800,126288093,132380282,137675.49328
2024-05-13,SZ000002,万  科Ａ,7.42,229168461,9716935865,11930709471,8852586.427482
2024-05-13,SZ000001,平安银行,10.97,140249860,19405546950,19405918198,21288292.263206
2024-05-13,SZ000009,中国宝安,10.48,12638140,2551430324,2579213965,2703016.23532
2024-05-13,SH600603,广汇物流,6.49,36052160,1230550151,1230550151,798627.047999
2024-05-13,SZ000012,南  玻Ａ,5.7,14258332,1959279645,3070692107,1750294.50099
2024-05-13,SZ000016,深康佳Ａ,2.99,16244600,1596593800,2407945408,719975.676992
2024-05-13,SH600605,汇通能源,30.53,3412534,206282429,206282429,629780.255737
2024-05-13,SH600608,*ST沪科,3.25,3979276,318371441,328861441,106879.968325
2024-05-13,SH600604,市北高新,4.03,10054300,1407454804,1873304804,754941.836012
2024-05-13,SH600606,绿地控股,1.86,69919687,14054218314,14054218314,2614084.606404
2024-05-13,SZ000011,深物业A,8.59,6167477,526475543,595979092,511946.040028
2024-05-13,SZ000017,深中华A,7.07,24878732,302984965,689184933,487253.747631
2024-05-13,SZ000007,全新好,4.13,1736150,308948044,346448044,143083.042172
2024-05-13,SZ000006,深振业Ａ,3.86,15048659,1349987396,1349995046,521098.087756
2024-05-13,SZ000020,深华发Ａ,11.3,4276302,181165391,283161227,319972.18651
2024-05-13,SZ000008,神州高铁,2.29,67179814,2675949260,2716377683,622050.489407
2024-05-13,SZ000014,沙河股份,10.96,7914120,242046224,242046224,265282.661504
