trade_date,active_return,value_return,market_return,state,state_name
2021-01-21,-0.0245949703523085,-0.0083949703523085,0.0162,0,Bear
2021-01-22,-0.0170499160415637,-0.0161499160415637,0.0009,0,Bear
2021-01-25,-0.0213239853234426,-0.0112239853234426,0.0101,0,Bear
2021-01-26,0.0330509274042888,0.0129509274042888,-0.0200999999999999,0,Bear
2021-01-27,0.0014545410230268,0.0041545410230268,0.0027,0,Bear
2021-01-28,0.0457390216917619,0.0184390216917619,-0.0273,0,Bear
2021-01-29,0.0049787427306279,0.0002787427306279,-0.0046999999999999,0,Bear
2021-02-01,-0.0233038556974087,-0.0110038556974087,0.0123,0,Bear
2021-02-02,-0.0284559320589251,-0.0130559320589251,0.0154,0,Bear
2021-02-03,0.0059510725430866,0.0030510725430866,-0.0029,0,Bear
2021-02-04,0.0007770499717607,-0.0013229500282392,-0.0021,0,Bear
2021-02-05,0.0139808033912616,0.0156808033912616,0.0017,0,Bear
2021-02-08,-0.0163494671590918,-0.0015494671590918,0.0148,0,Bear
2021-02-09,-0.029201297905807,-0.007301297905807,0.0219,0,Bear
2021-02-10,-0.0295814351756888,-0.0081814351756888,0.0214,0,Bear
2021-02-18,0.0300659709435935,0.0232659709435935,-0.0068,0,Bear
2021-02-19,0.0212687560433019,0.0230687560433019,0.0018,0,Bear
2021-02-22,0.0566549392909909,0.0252549392909909,-0.0314,0,Bear
2021-02-23,0.0021418645340798,-0.0010581354659202,-0.0032,0,Bear
2021-02-24,0.0374553746789187,0.0119553746789187,-0.0255,1,Bull
2021-02-25,0.0006491441041182,0.0065491441041182,0.0059,1,Bull
2021-02-26,0.029461336899027,0.005161336899027,-0.0243,1,Bull
2021-03-01,-0.0218757102366518,-0.0064757102366518,0.0154,1,Bull
2021-03-02,0.0132570341490342,0.0004570341490342,-0.0128,1,Bull
2021-03-03,-0.0127378836216533,0.0064621163783466,0.0192,1,Bull
2021-03-04,0.0550520436476021,0.0235520436476021,-0.0315,1,Bull
2021-03-05,0.0037341822304858,0.0003341822304858,-0.0034,1,Bull
2021-03-08,0.060498607385682,0.025798607385682,-0.0347,1,Bull
2021-03-09,0.0432910766227719,0.0217910766227719,-0.0215,1,Bull
2021-03-10,-0.0194259254153469,-0.0128259254153469,0.0066,1,Bull
2021-03-11,-0.022464716818554,0.002435283181446,0.0249,1,Bull
2021-03-12,0.0086724988122747,0.0121724988122747,0.0034999999999999,1,Bull
2021-03-15,0.0453568053229879,0.0238568053229879,-0.0215,1,Bull
2021-03-16,-0.0029617402287832,0.0057382597712167,0.0087,1,Bull
2021-03-17,-0.0224012449907844,-0.0182012449907844,0.0042,1,Bull
2021-03-18,-0.0147678165249084,-0.0067678165249084,0.008,1,Bull
2021-03-19,0.030389992935046,0.004189992935046,-0.0262,1,Bull
2021-03-22,-0.0054830011718364,0.0045169988281636,0.01,1,Bull
2021-03-23,0.0060480829899955,-0.0034519170100045,-0.0095,1,Bull
2021-03-24,0.0252372589280738,0.0091372589280738,-0.0161,1,Bull
2021-03-25,-0.0085511254899646,-0.0090511254899647,-0.0005,1,Bull
2021-03-26,-0.0282667130739676,-0.0055667130739676,0.0227,1,Bull
2021-03-29,0.0026885864137107,0.0044885864137107,0.0018,1,Bull
2021-03-30,-0.0193755041828477,-0.0098755041828477,0.0095,1,Bull
2021-03-31,0.0238431200272089,0.0147431200272089,-0.0091,1,Bull
2021-04-01,-0.0196863948737508,-0.0072863948737508,0.0124,1,Bull
2021-04-02,-0.0240502424855439,-0.0141502424855439,0.0098999999999999,1,Bull
2021-04-06,0.0042673323284454,0.0001673323284454,-0.0040999999999999,1,Bull
2021-04-07,0.0175531028613408,0.0104531028613408,-0.0070999999999999,1,Bull
2021-04-08,-0.0094263963222015,-0.0077263963222015,0.0017,1,Bull
2021-04-09,0.0208291865327343,0.0058291865327343,-0.015,1,Bull
2021-04-12,0.0349534857950804,0.0175534857950804,-0.0174,1,Bull
2021-04-13,-0.0038026756588099,-0.00540267565881,-0.0016,1,Bull
2021-04-14,-0.0120445349971353,-0.0037445349971353,0.0083,1,Bull
2021-04-15,0.0086501163483385,0.0022501163483385,-0.0064,1,Bull
2021-04-16,0.0042853316469741,0.0077853316469741,0.0034999999999999,1,Bull
2021-04-19,-0.0384856775165336,-0.0141856775165336,0.0243,1,Bull
2021-04-20,-0.0021088543143283,-0.0028088543143283,-0.0007,1,Bull
2021-04-21,-0.0109631965479091,-0.0079631965479092,0.003,1,Bull
2021-04-22,-0.0033874566965175,-0.0052874566965175,-0.0019,1,Bull
2021-04-23,-0.0178247237037525,-0.0087247237037525,0.0091,1,Bull
2021-04-26,0.0114076479380621,0.0001076479380622,-0.0113,1,Bull
2021-04-27,-0.0052765268277158,-0.0026765268277159,0.0026,1,Bull
2021-04-28,-0.0042770328988626,0.0013229671011374,0.0056,1,Bull
2021-04-29,0.0031338529577878,0.0119338529577878,0.0088,1,Bull
2021-04-30,-0.0002444709241518,-0.0081444709241519,-0.0079,1,Bull
2021-05-06,0.0272765933212589,0.0150765933212589,-0.0121999999999999,1,Bull
2021-05-07,0.037064946315176,0.024164946315176,-0.0129,1,Bull
2021-05-10,0.0046610661925117,0.0039610661925117,-0.0007,1,Bull
2021-05-11,-0.0037435188648321,0.0023564811351678,0.0060999999999999,1,Bull
2021-05-12,-0.0095764578855124,-0.0052764578855124,0.0043,1,Bull
2021-05-13,0.0075939298485864,-0.0026060701514136,-0.0102,1,Bull
2021-05-14,-0.0281953899988489,-0.0045953899988489,0.0236,1,Bull
2021-05-17,-0.0272865645815908,-0.0126865645815908,0.0146,1,Bull
2021-05-18,0.0024430265780988,0.0029430265780988,0.0005,1,Bull
2021-05-19,-0.0016565889992069,-0.0046565889992069,-0.003,1,Bull
2021-05-20,-0.0098070114949367,-0.0071070114949367,0.0027,1,Bull
2021-05-21,0.0209748919579833,0.0108748919579833,-0.0101,1,Bull
2021-05-24,-0.0036410970705303,0.0005589029294696,0.0042,1,Bull
2021-05-25,-0.0419514468296118,-0.0103514468296118,0.0316,0,Bear
2021-05-26,0.0035461448958289,0.003946144895829,0.0004,0,Bear
2021-05-27,-0.0115629113728501,-0.0082629113728501,0.0033,0,Bear
2021-05-28,0.0046888746927308,0.0014888746927308,-0.0032,0,Bear
2021-05-31,-0.0212480940050768,-0.0192480940050768,0.002,0,Bear
2021-06-01,-0.0053054283624561,-0.0034054283624561,0.0019,0,Bear
2021-06-02,0.0239631101265899,0.0142631101265899,-0.0097,0,Bear
2021-06-03,0.0154325819160602,0.0088325819160602,-0.0066,0,Bear
2021-06-04,-0.0152424576008703,-0.0101424576008703,0.0051,0,Bear
2021-06-07,-0.009685884691168,-0.010585884691168,-0.0009,0,Bear
2021-06-08,0.0172659137050696,0.0086659137050697,-0.0086,0,Bear
2021-06-09,0.0018454172050383,0.0026454172050383,0.0008,0,Bear
2021-06-10,-0.0168047611387514,-0.0101047611387514,0.0067,0,Bear
2021-06-11,0.0166273251546621,0.0077273251546622,-0.0089,0,Bear
2021-06-15,0.0014394768014286,-0.0096605231985714,-0.0111,0,Bear
2021-06-16,0.0301649225829621,0.0134649225829621,-0.0167,0,Bear
2021-06-17,-0.02357123781271,-0.01937123781271,0.0042,0,Bear
2021-06-18,-0.0086114976214003,-0.0085114976214004,0.0001,0,Bear
2021-06-21,-0.0125357011143069,-0.0149357011143069,-0.0024,0,Bear
2021-06-22,-0.0017521629302782,0.0044478370697217,0.0062,0,Bear
2021-06-23,-0.0088558314239722,-0.0039558314239722,0.0049,0,Bear
2021-06-24,0.0113596887988624,0.0130596887988624,0.0017,0,Bear
2021-06-25,-0.0169468684740177,-0.0006468684740178,0.0163,0,Bear
2021-06-28,-0.0166386607318486,-0.0143386607318486,0.0023,0,Bear
2021-06-29,0.0083007731661863,-0.0033992268338136,-0.0116999999999999,0,Bear
2021-06-30,-0.0142632473292056,-0.0077632473292056,0.0065,0,Bear
2021-07-01,0.0036830334187513,0.0047830334187514,0.0011,0,Bear
2021-07-02,0.0360719979715561,0.0076719979715561,-0.0283999999999999,0,Bear
2021-07-05,-0.0093468049177838,-0.0084468049177838,0.0009,0,Bear
2021-07-06,0.0121924954069511,0.0116924954069511,-0.0005,0,Bear
2021-07-07,-0.0292851032141555,-0.0179851032141555,0.0113,0,Bear
2021-07-08,0.0011049334078796,-0.0090950665921204,-0.0102,0,Bear
2021-07-09,0.0130090072548507,0.0093090072548507,-0.0037,0,Bear
2021-07-12,-0.0290091122297611,-0.0165091122297611,0.0125,0,Bear
2021-07-13,0.0050210917218444,0.0068210917218445,0.0018,0,Bear
2021-07-14,0.0152552203493354,0.0037552203493354,-0.0115,0,Bear
2021-07-15,-0.0114248520631256,0.0020751479368744,0.0135,0,Bear
2021-07-16,0.0190999509681663,0.0080999509681663,-0.011,0,Bear
2021-07-19,-0.0064616393062341,-0.0027616393062341,0.0037,0,Bear
2021-07-20,-0.0054524741000542,-0.0063524741000542,-0.0009,0,Bear
2021-07-21,-0.024727039874464,-0.017827039874464,0.0069,0,Bear
2021-07-22,-3.672432677640013e-05,0.0014632756732236,0.0015,0,Bear
2021-07-23,0.018528578529599,0.0064285785295991,-0.0121,0,Bear
2021-07-26,0.028866875736665,-0.003333124263335,-0.0322,0,Bear
2021-07-27,0.0414307410632871,0.0061307410632872,-0.0353,0,Bear
2021-07-28,-0.0024728181043719,-0.0005728181043719,0.0019,0,Bear
2021-07-29,-0.0505661511296475,-0.0316661511296475,0.0189,0,Bear
2021-07-30,0.0084414233668896,0.0003414233668896,-0.0081,0,Bear
2021-08-02,-0.0289464861457885,-0.0034464861457886,0.0255,0,Bear
2021-08-03,0.0123938982864025,0.0124938982864025,0.0001,0,Bear
2021-08-04,-0.0275220439505881,-0.0185220439505881,0.009,0,Bear
2021-08-05,0.0086038261663748,0.0025038261663748,-0.0060999999999999,0,Bear
2021-08-06,0.0103742119865868,0.0048742119865868,-0.0055,0,Bear
2021-08-09,-0.0064123698447668,0.0065876301552332,0.013,0,Bear
2021-08-10,-0.0130717493951333,-0.0014717493951334,0.0116,0,Bear
2021-08-11,0.0136288614935121,0.0081288614935121,-0.0055,0,Bear
2021-08-12,0.0093471417502089,0.0009471417502089,-0.0084,0,Bear
2021-08-13,0.0134425305465767,0.0079425305465768,-0.0055,0,Bear
2021-08-16,0.0130166854203726,0.0120166854203726,-0.001,0,Bear
2021-08-17,0.0348780324614292,0.0138780324614292,-0.021,1,Bull
2021-08-18,-0.0030010273423557,0.0086989726576442,0.0116999999999999,1,Bull
2021-08-19,-0.0078838063891087,-0.0144838063891087,-0.0066,1,Bull
2021-08-20,0.0243118570056296,0.0052118570056296,-0.0191,1,Bull
