trade_date,value_return,market_return,market_volatility_21,market_momentum_21,market_volatility_63,market_momentum_63,volatility_ratio_21_63,market_breadth,market_breadth_ma_21,market_breadth_ma_63,active_return,active_nav,ewma_active_return_8,ewma_active_return_21,ewma_active_return_63,rsi_8,rsi_21,rsi_63,macd_8_21,macd_21_63,stoch_k_8,stoch_k_21,stoch_k_63,downside_deviation,active_beta,z_ewma_active_return_8,z_ewma_active_return_21,z_ewma_active_return_63,z_rsi_8,z_rsi_21,z_rsi_63,z_macd_8_21,z_macd_21_63,z_stoch_k_8,z_stoch_k_21,z_stoch_k_63,z_downside_deviation,z_active_beta,z_market_return,z_market_volatility_21,z_market_momentum_21,z_market_volatility_63,z_market_momentum_63,z_volatility_ratio_21_63,z_market_breadth,z_market_breadth_ma_21,z_market_breadth_ma_63
2020-10-09,-0.0088141324129315,0.0204,0.011767613806285352,-0.03360596683748507,0.014433138956096013,0.00259346457773435,0.8153190960110002,0.9388971684053651,0.43164965845281356,0.4827516429388775,-0.029214132412931502,0.8974026096874473,-0.007815792514963829,-0.0023773320947871554,-0.003314007838842873,34.01342567481848,56.50992384130409,48.527823937891405,-0.005861401395939787,0.013428323544884754,0.0,29.996777788339017,44.200497138810896,0.011208669872840594,-0.4633843005817905,-0.6201008146818929,0.26314164993665273,1.0718957568566267,-0.5699433506781538,0.8690231930624953,1.0542967956419973,-0.7489124379830914,1.2511167438689725,-1.1887072820596085,-0.9448720877577863,-0.41480199732224055,-0.9035421908192068,-0.522688543956115,1.1461903769743422,-0.6903474649556143,-1.0802886022314628,-0.07675771819825611,-3.298008572079198,-0.6756204208156934,1.7699265966314321,-1.5901120737974137,-1.7196229654678787
2020-10-12,-0.0076583578607911,0.030299999999999997,0.013533577960994051,0.0011822748791745497,0.014901526771642437,0.026811179477574498,0.9082007614648192,0.9493293591654247,0.46368433701163586,0.48885740543706496,-0.037958357860791096,0.8633386802837234,-0.014514140369592112,-0.0056119708007875135,-0.004396643777028755,20.638084072555174,49.531059983247424,48.172314803709966,-0.01206246178035781,0.009466899553182388,0.0,0.0,17.955945573366623,0.013937200679122342,-0.41533997972620024,-1.328191499279627,-0.14262644229645785,0.8999643248153011,-1.1426859886805638,-0.011710847342289946,0.883840976221015,-1.4137780755394824,0.9382964302578252,-1.1669124654121732,-2.1504171640588075,-1.5311763131516853,0.16426940030521076,-0.2993679312220091,1.7134101601643634,-0.26932844249351534,-0.6197076820365243,0.16600967917879644,-2.6972565724026176,-0.36984566408394903,1.7577179886602798,-0.8406484758933872,-1.140950932563581
2020-10-13,-0.0104828376006576,0.0033,0.01336524751996166,0.014325130148719056,0.014772896743905618,0.013776477435397227,0.9047140687201604,0.42537869381673704,0.46145036093453917,0.4824791055261423,-0.0137828376006576,0.8514394234590068,-0.01435162864316222,-0.006354776873502976,-0.004689962334017157,20.847977157719512,46.40441476396794,48.32623147255646,-0.01664928072326171,0.005412000437044796,0.0,0.0,8.788164146112988,0.014258036047384437,-0.43356720766786144,-1.2853852405997603,-0.23493176518277173,0.846025483399309,-1.1136873103808445,-0.4057033214913331,0.9186776707271854,-1.8626754388488882,0.6249140303344872,-1.1462741203497018,-2.0515812642936817,-1.8114296514583563,0.288361058878188,-0.3798629484011981,0.05153222715333548,-0.3070998979623186,-0.4434776502416933,0.09780659610900258,-2.7320547522789074,-0.37815440080321283,-0.33132588681031483,-0.8808897943781995,-1.6761238348947545
2020-10-14,-0.0003179972953262,-0.0066,0.012568538628866373,0.029349866472302866,0.014694410988049649,-0.006818981573645355,0.8553278276405799,0.27383316782522343,0.46242638364003447,0.47293061934382413,0.0062820027046738,0.8567881682200421,-0.009766377232531993,-0.005205978730032359,-0.004347088426558064,9.96855849204455,42.40803093658582,49.792987756481864,-0.017979694350430404,0.0022925201186345806,5.988455703955933,4.517988171215103,12.909104100739741,0.014258036047384437,-0.4102422706439994,-0.7783337552646643,-0.087783908708176,0.8854906013658085,-1.5527778240669508,-0.9039401388062833,1.4430635708078277,-1.939741047034164,0.38449503412899655,-0.9727384862398216,-1.7969626257943812,-1.5499716260848542,0.2857056177668448,-0.2687083649802967,-0.5568633072645359,-0.49422315472498024,-0.24342739636589872,0.05593259217690396,-2.853945004107471,-0.5361856648664497,-0.9278026562687847,-0.8478436874866667,-2.4118581019354743
2020-10-15,0.0097113398948936,-0.0017000000000000001,0.01255341422150883,0.022080735726377476,0.014515635135648816,0.009769437514034252,0.8648201821137688,0.2894736842105263,0.44486043957544197,0.47274999633804565,0.0114113398948936,0.8665652692255243,-0.005060217870881862,-0.003695313400493635,-0.0038546375415126994,18.167117348011516,42.08927373736472,50.3022419178821,-0.0166869466545592,0.00023589244591334935,16.934899944660447,12.77652894387181,20.441870754221707,0.014258036047384437,-0.4463664565231451,-0.2637151865322632,0.10549894440331561,0.9458687617136371,-1.1731091262171147,-0.9298463387170982,1.5611147556554237,-1.7496133621274548,0.22545414792683743,-0.6745092784105862,-1.4253434792425255,-1.1894704166126326,0.28312221074445326,-0.4340000903230166,-0.24981252587951264,-0.49355975332398216,-0.33732729053321747,-0.03893550131401829,-2.4735172589674814,-0.5003042424913883,-0.854450711092931,-1.2330834353059434,-2.3176579236976447
2020-10-16,0.0051851728805855,-0.0015,0.01132252185397701,0.04500062934956772,0.014275775555102864,-0.01248307212755817,0.793128317986884,0.47344913151364765,0.4591855390150762,0.46564647343540255,0.0066851728805855,0.8723584078626081,-0.002450131037222448,-0.002751632829486441,-0.0035252684658221307,18.97644506552996,32.097796783043734,51.719826595746966,-0.014268310646316099,-0.0011379080464621015,26.168690447689833,17.669888602239105,17.669888602239105,0.014258036047384437,-0.23102288388160933,0.02229980458590402,0.22590332834146587,0.9813096518371198,-1.1188476739367068,-2.111805573785552,1.9624491254739362,-1.4617324929314222,0.11879440633695118,-0.4244658692955326,-1.2041914984222428,-1.2577331586510605,0.2806076388420287,0.5778270856877177,-0.23555242719145408,-0.7837856770237659,-0.03082945339886487,-0.16629646885788968,-2.6374652962002565,-0.7314916061765906,-0.11246509701583846,-0.8909593671421038,-2.7402465791654347
2020-10-19,0.0064509700925937,-0.0076,0.011500564907746012,0.037681233306494866,0.014257874460345907,-0.010588794325481321,0.806611458091559,0.30771138110587654,0.46790854278741356,0.46500349702122973,0.0140509700925937,0.8846158897615083,0.0012167803249589178,-0.0012241234729337008,-0.002976011010871636,29.32973982318144,33.900663560658984,51.58367833240943,-0.010522442184606254,-0.0015591098411458296,45.46653701615377,34.26928379917043,28.02356235230136,0.014258036047384437,-0.24908862230420495,0.4237024254655436,0.42136326083349374,1.0477071072733173,-0.661655905366869,-1.8190996962836332,1.7959814872402777,-1.0539935516782541,0.0855390570628492,0.09282714802417495,-0.5355752316144732,-0.8098095063529714,0.27815889851040704,0.4870015981899524,-0.6146718264493064,-0.7326890921320365,-0.12842538234048084,-0.17472497141903232,-2.481811132652552,-0.6795861881106592,-0.7762051120186334,-0.6822892992689126,-2.6374596217373285
2020-10-20,-0.0077441505644193,0.008,0.0114440450803225,0.035728966405532026,0.014198436743039078,0.010360141140629775,0.806007399788787,0.6949194547707559,0.4656596469238063,0.4731494516056464,-0.0157441505644193,0.8706883640014254,-0.002552315428236242,-0.0025441259357960283,-0.0033750153719200003,27.630254292632173,34.90968279829153,50.217197355480934,-0.009126774358424121,-0.00266622559610352,41.879038687069794,21.55111768018688,16.259232691865545,0.013839265031586168,-0.23334442164344707,0.005240961963389293,0.24679702121305414,0.9755500591605639,-0.7277709618724478,-1.6443365824529714,1.2572575702806883,-0.8969360794293361,-0.0009012155226683624,-0.004123919877186559,-1.029227211039875,-1.2548568014797112,0.10524779581055412,0.5564454202984265,0.3710261187789916,-0.738766257554365,-0.153810183086047,-0.2055614931290792,-2.121195359906566,-0.674966995751319,0.7899188973981718,-0.7269835309755692,-1.9465815552433647
2020-10-21,0.0078873254694841,-0.0001,0.01142486447817528,0.030370503938802917,0.01280185014343576,0.06130802093341314,0.8924385420988122,0.21605550049554015,0.4442697376053642,0.4756820540264072,0.0079873254694841,0.8776428353471973,-0.0002101730065206108,-0.0015867212625887439,-0.0030199422206261223,40.1222513265865,39.074018408084655,46.90506075518512,-0.006849190079316882,-0.0031519648319267273,78.98192546870132,29.33734518948482,22.133549130769705,0.013305179095997752,-0.22623558085028245,0.2651180611032712,0.3701232109422646,1.0144348579742206,-0.17922821528610028,-1.1220093041084267,0.07306796774261692,-0.6520687318773828,-0.0388259713775173,0.9920541408783448,-0.7081853554150884,-0.9863706779652057,-0.11500818889902974,0.5844179177882207,-0.14425351137253606,-0.7358883493488788,-0.2252990096491548,-0.9566342548458548,-1.4312756506015774,-0.38090762143749946,-1.1446984781274658,-1.2052627135374716,-1.7099272031674395
2020-10-22,0.0038898959078176,-0.0031,0.011368103924932807,0.019024162079954277,0.012794299877189167,0.05139418271739826,0.8885288006419866,0.34744923229321445,0.43876886236444596,0.473649457134019,0.0069898959078176,0.8837774674105162,0.0013898423077767692,-0.0008070287925518035,-0.002707134779112256,64.17541977459913,43.055315846883126,47.91238385911738,-0.004234857777112331,-0.003158129855927252,97.47284010494856,36.20568047421844,27.31536212336927,0.012848009654111724,-0.21854470153180877,0.4415768059431642,0.4696588029489683,1.0463222954226519,0.8708700865147843,-0.6363831861850587,0.431015092828975,-0.3742757418305804,-0.03905729786431095,1.4629622493045025,-0.4274358022040967,-0.7570698220396065,-0.30322968787450444,0.6149793576039432,-0.3342645516764678,-0.7422507101235994,-0.37814340343599034,-0.9488337313059687,-1.5248122725028928,-0.3911906504212727,-0.6047171220347305,-1.3092802305727627,-1.8086326091515954
