from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,506,0.9806201550387597,Bear,Bear
0,1,10,0.01937984496124031,Bear,Bull
1,0,10,0.011123470522803115,Bull,Bear
1,1,889,0.9888765294771968,Bull,Bull
