trade_date,size_return,market_return,market_volatility_21,market_momentum_21,market_volatility_63,market_momentum_63,volatility_ratio_21_63,market_breadth,market_breadth_ma_21,market_breadth_ma_63,active_return,active_nav,ewma_active_return_8,ewma_active_return_21,ewma_active_return_63,rsi_8,rsi_21,rsi_63,macd_8_21,macd_21_63,stoch_k_8,stoch_k_21,stoch_k_63,downside_deviation,active_beta,z_ewma_active_return_8,z_ewma_active_return_21,z_ewma_active_return_63,z_rsi_8,z_rsi_21,z_rsi_63,z_macd_8_21,z_macd_21_63,z_stoch_k_8,z_stoch_k_21,z_stoch_k_63,z_downside_deviation,z_active_beta,z_market_return,z_market_volatility_21,z_market_momentum_21,z_market_volatility_63,z_market_momentum_63,z_volatility_ratio_21_63,z_market_breadth,z_market_breadth_ma_21,z_market_breadth_ma_63
2020-04-16,-0.0041199531377782,0.0013,0.015310981934561008,0.025034337949730645,0.018953790328070357,-0.08704928286120062,0.807805809262626,0.5090622537431048,0.4943864498681044,0.4837774574443673,-0.0054199531377782,1.0987663150362799,-0.004052609720562737,-0.0010805582309810972,0.002045791328492767,31.34872584747221,45.39576386540539,54.08321702687923,-0.018767119461585675,0.0156593317310791,0.0,0.0,57.78102704916651,0.012910272034996884,-0.14348532328021718,-0.8184433194920855,-0.8943553288730962,-0.9603861405193754,-0.8135035769739152,-0.8030545813779828,-0.35557929718871084,-1.4468403148255884,0.29232757085920463,-1.002564077292061,-1.2548055854156153,-0.5762795779226261,-0.2730737414586028,-0.11094842356227962,0.1317353513765356,-1.0116323750408078,1.0996977046395033,-0.5904977580437012,-0.34997044607571415,-1.4588550090657484,0.0645473997654084,0.1614290100100311,-0.9841583944786506
2020-04-17,-0.0063750348086832,0.0098,0.014652400297122661,0.055988241646233616,0.01900389677720253,-0.07782571354730461,0.7710208316170178,0.4096638655462185,0.5056710849981914,0.4848382440392397,-0.0161750348086832,1.0809937316439595,-0.006746481962367284,-0.0024527833744085615,0.0014763905117060182,34.281591558448994,38.89420800751854,53.270371923995576,-0.020219830913188387,0.01165952616475674,0.0,0.0,51.62291530946577,0.013384086776097358,-0.15998993928762528,-1.1516204772743628,-1.1908399792664859,-1.2572454328761424,-0.6694575513997028,-1.2858154948405158,-0.5698990953795836,-1.5112151901827813,0.10122381964394814,-0.987218455089004,-1.2269193736957156,-0.8365960069510266,-0.14628353227133753,-0.3736913914917956,0.5879497733648581,-1.1693165109511672,1.5965400069159352,-0.4499642704979291,-0.13165575443437105,-1.6966470612931135,-0.29817380964875917,0.403440685091397,-0.8775104147918424
2020-04-20,-0.0012479373272803,0.0036,0.01422537893680487,0.07374853020887606,0.018963197439853256,-0.08348770659147875,0.7501571916826992,0.6816272965879265,0.5097815684195063,0.4843935495816498,-0.0048479373272803,1.0757531417817667,-0.006324583154570177,-0.0026705246428514466,0.0012787552667376956,13.667822815519358,33.14777691953802,53.856508689604965,-0.020857300505457158,0.007819361995988615,0.0,0.0,49.8070769903573,0.013425831271171727,-0.13173786654831712,-1.0793720405087819,-1.2188878210095853,-1.3405699339488275,-1.5870829542667535,-1.6784049721159722,-0.39709599132600515,-1.5182330216305777,-0.08226020818492648,-0.9725565848228771,-1.2008133676147976,-0.8950792410321818,-0.13394276215246242,0.08528682186564676,0.2474352952934956,-1.258612510928121,1.8346664797902834,-0.5478018704979375,-0.2621963204888341,-1.769107283136006,0.6998721311169301,0.4884814885009487,-0.8866967792115844
2020-04-21,0.0050391001407986,-0.0118,0.014199316517676513,0.04241899749721045,0.019007675976608657,-0.0912126747478419,0.7470306488363209,0.300708475465757,0.4866735024998472,0.4828048121326354,0.016839100140798598,1.0938678566630087,-0.001177097977821561,-0.0008969223897923515,0.0017650160440520989,32.78481662160898,38.270751689328016,54.307550014662944,-0.01824501033920279,0.005472481478390738,33.212341909838585,12.505066894688973,56.08373558911286,0.013246374529917074,-0.1857771608268082,-0.4039293238765812,-0.8013856821835205,-1.0532469002280662,-0.6974948439495591,-1.2536624091247073,-0.26371559256087396,-1.3130132322549108,-0.1941325590668402,-0.11486228637782947,-0.8543493655452938,-0.5919633993565162,-0.18068320047351275,-0.7905675629666108,-0.5936078421017297,-1.2387418700985235,1.2706994815251023,-0.42060328590749324,-0.44090765065580917,-1.6944457506220467,-0.7061694153372466,-0.022564566309205333,-0.9797373194764912
2020-04-22,-3.96770354465191e-05,0.008199999999999999,0.011782034057437295,0.08750707085750009,0.019037108343420043,-0.0786934325598534,0.6188983035078234,0.6535536323105167,0.5137421521594044,0.48845944621923193,-0.008239677035446518,1.0848547388046494,-0.002746559990627107,-0.0015644455393972758,0.001452369385317767,26.957740350947844,24.723181344113073,53.88877690889786,-0.016827181240521197,0.002855053016773572,16.687281816539688,8.14841395597405,52.96073508492887,0.01336784963220127,-0.09275038570954325,-0.604256336496942,-0.9427373088888993,-1.206425762032373,-0.9533809483519728,-2.1805169121204377,-0.3786789673864083,-1.1955343246880288,-0.3188983096597165,-0.5391614085802502,-0.9552518273941998,-0.7219276652242258,-0.14642567758129807,0.7315674662705236,0.5066602770329007,-1.8299545167085547,1.9547826884922743,-0.334987446743449,-0.1333122853488761,-2.496686216127172,0.6020969875923002,0.5749534500379818,-0.5333801806464666
2020-04-23,7.815660614193636e-05,-0.0025,0.010681588202632243,0.05637189909470819,0.019033922191800806,-0.07712060552164468,0.5611869216967549,0.34521625163826997,0.4892732988704646,0.4894027150706838,0.0025781566061419364,1.087651664216203,-0.0015632896357895417,-0.0011878453443482564,0.0014875502359685223,26.048145572300072,29.04935298182734,54.20463809693341,-0.014832147548036542,0.0007034841837620098,41.028130933408754,14.592012211692335,53.929855827352746,0.011981341622788553,-0.12867355128839086,-0.4444629984079113,-0.845699454944648,-1.167510963268999,-0.9810451464254281,-1.7926063189589574,-0.28142267232366835,-1.0444915092069997,-0.420711953904641,0.0960717750492047,-0.7725250611288613,-0.6626023804872444,-0.5206269874446758,0.13666014263535886,-0.0868453583804795,-2.0344519313816134,1.403661344700627,-0.33857334384792576,-0.093079991350604,-2.619369674980193,-0.5463724432742098,0.025687019079274922,-0.4520903419883427
2020-04-24,-0.0040601117832299,-0.0086,0.00945171282273466,0.019853053620112693,0.01905419053307561,-0.0863364972180537,0.496043786605771,0.18846657929226737,0.45471836805348237,0.48719191885064733,0.0045398882167701,1.0925894811905288,-0.00020702789077628805,-0.0006671422933374968,0.0015829357978685717,42.52470055872307,35.868540525489664,54.78964114053193,-0.012312660916499801,-0.0009174343684036079,58.054564464476066,20.64761163468706,55.64078484689124,0.009933637674694911,-0.11565906812691541,-0.2626303632689372,-0.7178214492840607,-1.0979196407423923,-0.216025554143948,-1.2677613911407255,-0.10569895794959366,-0.8628226188700112,-0.4962199131445103,0.5391034288100556,-0.6032177668234833,-0.5708320862384665,-1.065938179027256,0.35030443312776444,-0.424444830461566,-2.239520407133654,0.7927056862174345,-0.27786226155672555,-0.3196101356712936,-2.7242024250808905,-1.118158086088462,-0.7465599163007935,-0.6145936965660732
2020-04-27,-0.0113447580552761,0.0068000000000000005,0.009370349337779154,0.033609879590023706,0.019049289741545333,-0.08697130064430403,0.4919001949633322,0.3508909853249476,0.4591338201621369,0.4821655346258153,-0.0181447580552761,1.072764709400587,-0.004193190149554024,-0.0022560164535137335,0.0009664453649578008,30.88780303755435,31.36562810221872,54.46537475321703,-0.012399242675540365,-0.003487849099792259,0.0,0.0,48.771600035566536,0.01069368427619777,-0.15282168101801571,-0.7861527592245876,-1.0707921327400118,-1.4100542804855283,-0.7504075293801343,-1.54976022672084,-0.20073307546112487,-0.8585998916866365,-0.6175509520807007,-0.9825710165799638,-1.1390004000328433,-0.8788383865572704,-0.8450669596241036,-0.2710224045832047,0.4377902044651249,-2.15782182002666,1.0034649236774384,-0.28766015838475806,-0.3309216976989042,-2.4852191071723455,-0.5044897927770603,-0.639041213991815,-0.9874648120182183
2020-04-28,-0.0277831825996366,0.0069,0.009432995595021323,0.037422037240026684,0.018968490534488146,-0.0646773859179467,0.4972981681315354,0.21718627194131518,0.4511658288226229,0.48227458012946506,-0.0346831825996366,1.0355578150980005,-0.01096874402735015,-0.005203940648615812,-0.00014760550893577415,22.495900186930697,27.10747162286826,51.93364652009441,-0.016022680395254448,-0.007822655109041315,0.0,0.0,35.87959623708846,0.013093598082374555,-0.22759051731833377,-1.6509356438958027,-1.7081765321829607,-1.9568923679835053,-1.1247524117672658,-1.791659430743796,-0.9505928529743028,-1.0897833305471953,-0.8235325436528131,-0.9692470851297664,-1.1187845660900928,-1.4383264116496401,-0.18176163910355428,-1.4957971089734923,0.43994668054037916,-2.0546687132922195,1.0489531088203177,-0.5109244842514917,0.2386180430987897,-2.2579306535918917,-0.995343871673774,-0.8101169661819496,-0.9545133368153771
2020-04-29,-0.0048158973659344,0.0046,0.009088449223990429,0.052402482693457486,0.018969827390410546,-0.06439799053387374,0.47910025942485585,0.45064152919612466,0.4638632450526593,0.48222527096782286,-0.0094158973659344,1.0258071089945464,-0.010623666991479984,-0.0055868458047356835,-0.0004372396294669812,24.18424227283954,24.952514872373996,52.193069541384546,-0.018440719885017495,-0.012040398422781547,0.0,0.0,32.501025074946746,0.013253836190045625,-0.26854422337479034,-1.5688044453602377,-1.7478283912856505,-2.040855437012894,-1.030811059344955,-1.8734305399463542,-0.8516558810160406,-1.2338154629369076,-1.0196057997177903,-0.9564508854999155,-1.0996083001509167,-1.5300908046665966,-0.13615591670107333,-2.0892144644600688,0.3070434329488436,-2.0506122031821037,1.2698302553509697,-0.4992733876292489,0.2426862264656496,-2.1886095964001715,-0.11433265882978454,-0.514616141975754,-0.9356970590258267
2020-04-30,-0.0023893635190566,0.0118,0.009302873035359465,0.0613184810019336,0.018642295936467074,-0.02307315461524606,0.49901970589157296,0.8241758241758241,0.48434537639103104,0.49405040890814245,-0.0141893635190566,1.0112515590245903,-0.011416043997608122,-0.0063688928696739484,-0.0008669935010166568,22.245565096243496,24.48243102643444,50.19179300238963,-0.020480461750203627,-0.01639673878977736,0.0,0.0,27.457599413682487,0.013491932739045823,-0.25190639486609145,-1.6327854229558607,-1.8680114391541753,-2.1821060755039765,-1.1041301632137344,-1.8403598479980285,-1.4107336421541377,-1.3473020594990845,-1.216466312357148,-0.9441484757985197,-1.0813854545187767,-1.6802758414458474,-0.06895851995130275,-1.76095029266508,0.7116391028153916,-1.9291354897853301,1.384811516954516,-1.4029259200111444,1.2869230307596722,-1.9573749951561643,1.2809545373730795,-0.04314271772472445,0.006294039566713629
