日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2024-08-02,SH600654,中安科,2.41,13679150,2282022162,2875311000,692949.951
2024-08-02,SH600651,飞乐音响,2.95,18092700,2507028015,2507028015,739573.264425
2024-08-02,SH600602,云赛智联,10.63,13249500,1074302990,1367673455,1453836.882665
2024-08-02,SH600601,方正科技,2.89,131355007,4170293287,4170293287,1205214.759943
2024-08-02,SH600653,申华控股,1.35,35953465,1946380317,1946380317,262761.342795
2024-08-02,SZ000004,*ST国华,11.9,10891101,126288093,132380282,157532.53558
2024-08-02,SZ000002,万  科Ａ,6.81,107423381,9716935865,11930709471,8124813.149751
2024-08-02,SZ000001,平安银行,10.14,59022876,19405546950,19405918198,19677601.052772
2024-08-02,SZ000009,中国宝安,8.35,8219297,2551430324,2579213965,2153643.660775
2024-08-02,SH600603,广汇物流,5.12,10716200,1230550151,1230550151,630041.677312
2024-08-02,SZ000012,南  玻Ａ,4.99,7604162,1959279645,3070692107,1532275.361393
2024-08-02,SZ000016,深康佳Ａ,3.06,18876229,1596593800,2407945408,736831.294848
2024-08-02,SH600605,汇通能源,27.2,1838000,206282429,206282429,561088.20688
2024-08-02,SH600608,*ST沪科,2.52,7082066,318371441,328861441,82873.083132
2024-08-02,SH600604,市北高新,3.93,19430255,1407454804,1873304804,736208.787972
2024-08-02,SH600606,绿地控股,1.41,40724540,14054218314,14054218314,1981644.782274
2024-08-02,SZ000011,深物业A,8.21,23917114,526475543,595979092,489298.834532
2024-08-02,SZ000017,深中华A,6.19,39527500,302984965,689184933,426605.473527
2024-08-02,SZ000007,全新好,4.88,10332350,308948044,346448044,169066.645472
2024-08-02,SZ000006,深振业Ａ,3.95,37857692,1349987396,1349995046,533248.04317
2024-08-02,SZ000020,深华发Ａ,10,5063700,181165391,283161227,283161.227
2024-08-02,SZ000008,神州高铁,2.26,195521750,2675949260,2716377683,613901.356358
2024-08-02,SZ000014,沙河股份,8.49,6714289,242046224,242046224,205497.244176
2024-08-02,SH600609,金杯汽车,4.07,40925240,1311200558,1311200558,533658.627106
2024-08-02,SH600611,大众交通,10.2,534014618,1563316364,2364122864,2411405.32128
2024-08-02,SH600612,老凤祥,50.12,1618000,317109630,523117764,2621866.233168
2024-08-02,SH600655,豫园股份,5.38,7057204,3884231115,3896095653,2096099.461314
2024-08-02,SH600616,金枫酒业,4.75,2674300,669004950,669004950,317777.35125
2024-08-02,SZ000019,深粮控股,5.96,2939615,416216407,1152535254,686911.011384
2024-08-02,SH600618,氯碱化工,8.91,4503400,749839976,1156399976,1030352.378616
2024-08-02,SH600619,海立股份,5.58,11368751,789174798,1077769006,601395.105348
2024-08-02,SH600620,天宸股份,4.9,11875400,686677113,686677113,336471.78537
2024-08-02,SZ000501,武商集团,7.08,4986630,767999494,768992731,544446.853548
2024-08-02,SZ000503,国新健康,7.52,36073072,955069220,984176136,740100.454272
2024-08-02,SH600621,华鑫股份,13.63,56849772,1060899292,1060899292,1446005.734996
2024-08-02,SH600622,光大嘉宝,1.87,15822986,1499685402,1499685402,280441.170174
2024-08-02,SH600623,华谊集团,6.22,8545112,1862196763,2131449598,1325761.649956
2024-08-02,SZ000504,*ST生物,7.16,12722799,310667201,330023098,236296.538168
2024-08-02,SZ000505,京粮控股,5.24,3648400,631105336,726950251,380921.931524
2024-08-02,SH600624,ST复华,4.19,63225928,684712010,684712010,286894.33219
2024-08-02,SH600626,申达股份,3.11,34806929,852291316,1320744667,410751.591437
2024-08-02,SH600628,新世界,6.02,3607800,646875384,646875384,389418.981168
2024-08-02,SH600630,龙头股份,8.01,17586557,424861597,424861597,340314.139197
