trade_date,value_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2020-06-30,-0.010320268545672778,0.008669805907333294,0.018990074453006073,758,758,1516,2020-06-29
2020-07-01,0.010875950814132047,0.010164418633004185,-0.0007115321811278619,758,758,1516,2020-06-30
2020-07-02,0.01868381168127352,0.02214501442514321,0.003461202743869691,757,757,1514,2020-07-01
2020-07-03,0.015749994581017134,0.019436181690542915,0.0036861871095257804,757,757,1514,2020-07-02
2020-07-06,0.018798751272382005,0.048360547034549395,0.02956179576216739,757,757,1514,2020-07-03
2020-07-07,-0.02315727408951979,-0.00323995050991369,0.0199173235796061,757,757,1514,2020-07-06
2020-07-08,-0.0004642444774847314,0.018731486397951726,0.019195730875436457,757,757,1514,2020-07-07
2020-07-09,-0.011988124933873318,0.018562308689279952,0.03055043362315327,757,757,1514,2020-07-08
2020-07-10,-0.01799205711373306,-0.013799617754419983,0.004192439359313077,757,757,1514,2020-07-09
2020-07-13,-0.0031184598936128925,0.027670799646103337,0.03078925953971623,757,757,1514,2020-07-10
2020-07-14,0.008237641277884136,-0.0028852543008039866,-0.011122895578688122,757,757,1514,2020-07-13
2020-07-15,0.0007555346800229429,-0.02380001483344936,-0.024555549513472302,757,757,1514,2020-07-14
2020-07-16,0.027546201863372366,-0.03132324816267529,-0.058869450026047654,757,757,1514,2020-07-15
2020-07-17,-0.006411230371342076,-0.002288512691220404,0.004122717680121672,757,757,1514,2020-07-16
2020-07-20,0.021432483531220244,0.04006589806469919,0.01863341453347895,756,756,1512,2020-07-17
2020-07-21,-0.007871414304530085,0.001097071969452583,0.008968486273982668,756,756,1512,2020-07-20
2020-07-22,-0.01289202442415559,-0.0023072023409736226,0.010584822083181967,756,756,1512,2020-07-21
2020-07-23,-0.00649953238641603,-0.0071248589057153885,-0.0006253265192993582,756,756,1512,2020-07-22
2020-07-24,0.018303448265224894,-0.030519151469812548,-0.04882259973503744,756,756,1512,2020-07-23
2020-07-27,-0.00026347435714551865,-0.0003178208964522033,-5.434653930668464e-05,756,756,1512,2020-07-24
2020-07-28,-0.007781847430867959,0.008006993734174411,0.01578884116504237,756,756,1512,2020-07-27
2020-07-29,-0.014320220734624238,0.016082921608483437,0.030403142343107675,756,756,1512,2020-07-28
2020-07-30,0.006128980262946078,0.0019081190375433276,-0.0042208612254027505,756,756,1512,2020-07-29
