trade_date,size_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2020-01-03,0.004873302130037261,0.005866013373631495,0.0009927112435942343,750,750,1500,2020-01-02
2020-01-06,0.0026112278676290995,0.0069810723846552205,0.004369844517026121,750,750,1500,2020-01-03
2020-01-07,0.0023849930920078807,0.01345045287504371,0.011065459783035829,750,750,1500,2020-01-06
2020-01-08,0.00020088765901317245,-0.01315674622303617,-0.013357633882049342,750,750,1500,2020-01-07
2020-01-09,0.0020379748766314043,0.015474971499526025,0.013436996622894621,750,750,1500,2020-01-08
2020-01-10,-0.0012663755919110945,-0.0030649489026417327,-0.0017985733107306382,750,750,1500,2020-01-09
2020-01-13,-0.007467963441073749,0.005286965781457736,0.012754929222531484,750,750,1500,2020-01-10
2020-01-14,0.0038714321350872116,0.0014963440859451817,-0.00237508804914203,751,751,1502,2020-01-13
2020-01-15,-0.0058383504840156695,-0.008519614496728244,-0.002681264012712574,751,751,1502,2020-01-14
2020-01-16,-0.008404109255961382,-0.008418702221396035,-1.4592965434652683e-05,751,751,1502,2020-01-15
2020-01-17,-0.006577797164406034,-0.005239450482139805,0.0013383466822662281,751,751,1502,2020-01-16
2020-01-20,-0.005849728158373177,0.0059703970423520695,0.011820125200725246,752,752,1504,2020-01-17
2020-01-21,0.0026299866437214294,-0.011156946661918198,-0.013786933305639628,752,752,1504,2020-01-20
2020-01-22,-0.011279917646456979,-0.00429566413825704,0.00698425350819994,752,752,1504,2020-01-21
2020-01-23,0.0008960899144115006,-0.032312373911271584,-0.033208463825683085,752,752,1504,2020-01-22
2020-02-03,-0.0014011303392759689,-0.08866937535467123,-0.08726824501539526,753,753,1506,2020-01-23
2020-02-04,-0.04481202297603987,-0.025681389453216137,0.019130633522823733,753,753,1506,2020-02-03
2020-02-05,0.004864546856710984,0.02638943574621369,0.021524888889502707,753,753,1506,2020-02-04
2020-02-06,-0.005911724027870789,0.019637134092663544,0.025548858120534333,753,753,1506,2020-02-05
2020-02-07,0.0052088088182372805,0.013173113102891931,0.00796430428465465,753,753,1506,2020-02-06
2020-02-10,0.013035068459822116,0.022720971772625012,0.009685903312802896,754,754,1508,2020-02-07
2020-02-11,-0.0036524352657671152,-0.004423217579505886,-0.000770782313738771,754,754,1508,2020-02-10
2020-02-12,-0.002721699570425548,0.014262769658640734,0.016984469229066282,754,754,1508,2020-02-11
2020-02-13,-0.007015343709610837,-0.0133137447024494,-0.006298400992838562,755,755,1510,2020-02-12
2020-02-14,-0.0045330443910692655,-0.00037945828608522116,0.004153586104984044,755,755,1510,2020-02-13
2020-02-17,0.004574981266172465,0.03452188527598585,0.029946904009813383,755,755,1510,2020-02-14
2020-02-18,0.010561721141783475,0.018429627971663268,0.007867906829879793,755,755,1510,2020-02-17
2020-02-19,0.005370698994489352,-0.00193806992944477,-0.007308768923934122,756,756,1512,2020-02-18
2020-02-20,0.0008983676137947448,0.019663219237813265,0.01876485162401852,756,756,1512,2020-02-19
2020-02-21,-0.0008006380368492921,0.008926021358335328,0.00972665939518462,756,756,1512,2020-02-20
2020-02-24,0.0011438525829835164,0.00866950615854225,0.007525653575558733,756,756,1512,2020-02-21
2020-02-25,-0.011530007900716038,-0.010564460888746774,0.0009655470119692651,756,756,1512,2020-02-24
2020-02-26,0.021288463011742576,-0.002465696343582004,-0.02375415935532458,756,756,1512,2020-02-25
2020-02-27,0.0036538863885589266,0.004763526597555453,0.001109640208996526,757,757,1514,2020-02-26
2020-02-28,-0.008465899977314763,-0.053900566085682035,-0.04543466610836727,757,757,1514,2020-02-27
2020-03-02,0.004757910488169627,0.04156308905849603,0.036805178570326405,757,757,1514,2020-02-28
2020-03-03,0.002286033031259146,0.0118429071704432,0.009556874139184053,757,757,1514,2020-03-02
2020-03-04,0.011082708460138658,0.014324978446680915,0.003242269986542256,757,757,1514,2020-03-03
2020-03-05,0.0059962125111904,0.022213691483444636,0.016217478972254236,757,757,1514,2020-03-04
2020-03-06,0.01596244474516618,0.005512918857761167,-0.010449525887405015,757,757,1514,2020-03-05
2020-03-09,0.013876628079324972,-0.023864232886296,-0.03774086096562097,757,757,1514,2020-03-06
2020-03-10,-0.00297918948279147,0.020418606242772412,0.023397795725563882,757,757,1514,2020-03-09
2020-03-11,0.013502296129966895,-0.00014571170201240966,-0.013648007831979305,758,758,1516,2020-03-10
2020-03-12,0.0015719668819863218,-0.017181493762558397,-0.01875346064454472,758,758,1516,2020-03-11
2020-03-13,-0.0021974509486063446,-0.011199523128917458,-0.009002072180311113,758,758,1516,2020-03-12
2020-03-16,0.017690788355437574,-0.027195993385482953,-0.04488678174092053,758,758,1516,2020-03-13
2020-03-17,-0.0021764033107010915,-0.00325073667757479,-0.0010743333668736983,758,758,1516,2020-03-16
2020-03-18,0.0015733908936934743,-0.015386072207906117,-0.01695946310159959,758,758,1516,2020-03-17
2020-03-19,0.0091011052028352,0.008663743255236079,-0.0004373619475991209,758,758,1516,2020-03-18
2020-03-20,0.007874200788073145,0.019430730772934772,0.011556529984861627,758,758,1516,2020-03-19
2020-03-23,0.012103620373028909,-0.030146466345790067,-0.042250086718818976,759,759,1518,2020-03-20
2020-03-24,-0.0002677012434019292,0.020958707190432153,0.021226408433834082,759,759,1518,2020-03-23
2020-03-25,-0.003798260247557958,0.021693719861555792,0.02549198010911375,759,759,1518,2020-03-24
2020-03-26,-0.002691483225624152,-0.010259671372280376,-0.0075681881466562245,759,759,1518,2020-03-25
2020-03-27,0.001178322226291453,-0.0008359844933576312,-0.0020143067196490842,759,759,1518,2020-03-26
2020-03-30,-0.006115425987080217,-0.024060956278044377,-0.01794553029096416,759,759,1518,2020-03-27
2020-03-31,-0.004922436144239359,-0.0015803392637585034,0.003342096880480855,759,759,1518,2020-03-30
2020-04-01,-0.002256387418764141,-0.005916632491603218,-0.003660245072839077,759,759,1518,2020-03-31
2020-04-02,-0.0058968059428227484,0.017064075180609917,0.022960881123432666,759,759,1518,2020-04-01
2020-04-03,0.003111179677724233,-0.0036914006536005947,-0.006802580331324828,759,759,1518,2020-04-02
2020-04-07,0.0001569128931966056,0.028155825642941158,0.027998912749744552,759,759,1518,2020-04-03
2020-04-08,0.012722561618277404,0.011566898271391502,-0.0011556633468859008,760,760,1520,2020-04-07
2020-04-09,-8.401220237653356e-05,0.007827636158943678,0.007911648361320212,760,760,1520,2020-04-08
2020-04-10,-0.0031569867703359067,-0.02150064484498819,-0.018343658074652283,760,760,1520,2020-04-09
2020-04-13,-0.0007327424460967721,-0.008641806646341637,-0.007909064200244864,761,761,1522,2020-04-10
2020-04-14,-0.005310820528484483,0.01596495941869367,0.021275779947178153,761,761,1522,2020-04-13
2020-04-15,-0.005335320157732557,-0.009673658867559335,-0.004338338709826778,761,761,1522,2020-04-14
2020-04-16,-0.004119953137778283,0.001587989650815407,0.005707942788593689,761,761,1522,2020-04-15
2020-04-17,-0.0063750348086832696,-0.0036584994155913074,0.002716535393091962,761,761,1522,2020-04-16
2020-04-20,-0.0012479373272803428,0.008083751128392451,0.009331688455672794,762,762,1524,2020-04-17
2020-04-21,0.005039100140798681,-0.0037246777238946712,-0.008763777864693352,762,762,1524,2020-04-20
2020-04-22,-3.96770354465191e-05,0.008300031313781119,0.008339708349227638,762,762,1524,2020-04-21
2020-04-23,7.815660614193636e-05,-0.0030473322821988383,-0.0031254888883407747,763,763,1526,2020-04-22
2020-04-24,-0.0040601117832299825,-0.017602613008731862,-0.01354250122550188,763,763,1526,2020-04-23
2020-04-27,-0.011344758055276193,-0.011126507703208699,0.00021825035206749472,763,763,1526,2020-04-24
2020-04-28,-0.027783182599636694,-0.029540520194462752,-0.0017573375948260583,763,763,1526,2020-04-27
2020-04-29,-0.004815897365934437,-0.00463288409515596,0.000183013270778477,763,763,1526,2020-04-28
2020-04-30,-0.0023893635190566018,0.018218023706060665,0.020607387225117266,764,764,1528,2020-04-29
2020-05-06,-0.0022778775671949986,0.01417825315881398,0.016456130726008978,764,764,1528,2020-04-30
2020-05-07,-0.002673046780889726,-0.005120991121492008,-0.0024479443406022826,764,764,1528,2020-05-06
2020-05-08,-0.0006914704410678069,0.00929030318237808,0.009981773623445886,765,765,1530,2020-05-07
2020-05-11,-0.0005241002358130054,-0.002593735454106243,-0.0020696352182932374,765,765,1530,2020-05-08
2020-05-12,-0.007259902855658295,-0.0046988935779801845,0.00256100927767811,765,765,1530,2020-05-11
2020-05-13,-0.003725463805431834,0.002937641113631973,0.006663104919063807,765,765,1530,2020-05-12
2020-05-14,0.0018232897179530153,-0.0077598107629845425,-0.009583100480937558,765,765,1530,2020-05-13
2020-05-15,-0.004059412534233498,-0.0008459826867390226,0.0032134298474944755,765,765,1530,2020-05-14
2020-05-18,-0.001965697034960821,-0.004699272549423689,-0.002733575514462868,765,765,1530,2020-05-15
2020-05-19,-0.004403675067248198,0.007866414860930917,0.012270089928179115,765,765,1530,2020-05-18
2020-05-20,0.003362416823809334,-0.00630482403255734,-0.009667240856366674,766,766,1532,2020-05-19
2020-05-21,0.005258364897371743,-0.006400129521303486,-0.011658494418675228,766,766,1532,2020-05-20
2020-05-22,0.008988588568300716,-0.010647110301884135,-0.01963569887018485,766,766,1532,2020-05-21
2020-05-25,0.0034447124721328415,0.002055817614431697,-0.0013888948577011444,766,766,1532,2020-05-22
2020-05-26,-0.0014216295388780435,0.017520097440393883,0.018941726979271926,766,766,1532,2020-05-25
2020-05-27,0.00860747614729188,0.0010028857230445034,-0.0076045904242473756,767,767,1534,2020-05-26
2020-05-28,-0.004196676455224124,-0.005112585840866075,-0.0009159093856419509,767,767,1534,2020-05-27
2020-05-29,-0.0007892764559872482,0.006606592963257859,0.007395869419245107,767,767,1534,2020-05-28
2020-06-01,-0.006999109576803851,0.020681319847384458,0.02768042942418831,767,767,1534,2020-05-29
2020-06-02,0.010897077089673054,0.009008003265862612,-0.0018890738238104415,767,767,1534,2020-06-01
2020-06-03,0.00428753427212541,0.0035624596151677943,-0.0007250746569576159,767,767,1534,2020-06-02
2020-06-04,0.009437422216678466,0.0077878915386848145,-0.001649530677993651,767,767,1534,2020-06-03
2020-06-05,-0.004221916649250884,-0.0020539593445529627,0.0021679573046979213,767,767,1534,2020-06-04
2020-06-08,-0.003365372570065347,-0.004035782119992277,-0.0006704095499269303,768,768,1536,2020-06-05
