trade_date,quality_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2020-06-30,0.009353121275289028,0.018665439070371364,0.009312317795082336,758,758,1516,2020-06-29
2020-07-01,-0.005871922959359843,0.0028672828396676463,0.00873920579902749,758,758,1516,2020-06-30
2020-07-02,-0.009209529059179563,0.009227782218359416,0.01843731127753898,757,757,1514,2020-07-01
2020-07-03,-0.013433694286383855,0.005268117867797158,0.018701812154181013,757,757,1514,2020-07-02
2020-07-06,-0.01336128774932175,0.03274733738458106,0.04610862513390281,757,757,1514,2020-07-03
2020-07-07,0.013661169999580686,0.013117414753911219,-0.0005437552456694676,757,757,1514,2020-07-06
2020-07-08,-0.004219028886160919,0.01740171091685492,0.021620739803015838,757,757,1514,2020-07-07
2020-07-09,0.007567322661718182,0.02801083794091501,0.020443515279196828,757,757,1514,2020-07-08
2020-07-10,0.00728216431723038,-0.004586714765158831,-0.01186887908238921,757,757,1514,2020-07-09
2020-07-13,0.007287501913603403,0.034413322956297676,0.027125821042694273,757,757,1514,2020-07-10
2020-07-14,-0.0027503539169547097,-0.006274576254253244,-0.003524222337298534,757,757,1514,2020-07-13
2020-07-15,-0.002026412214770495,-0.027307809210679254,-0.02528139699590876,757,757,1514,2020-07-14
2020-07-16,-0.01744934715595589,-0.05336054086614361,-0.03591119371018772,757,757,1514,2020-07-15
2020-07-17,0.005702930423426405,0.0015384962348864476,-0.004164434188539958,757,757,1514,2020-07-16
2020-07-20,-0.00518680236533826,0.0307628454410736,0.03594964780641186,756,756,1512,2020-07-17
2020-07-21,0.005035058207418939,0.005970206901183978,0.0009351486937650384,756,756,1512,2020-07-20
2020-07-22,0.002270179304657304,0.005573885525020883,0.0033037062203635794,756,756,1512,2020-07-21
2020-07-23,0.004213530009048408,-0.0013154007510502923,-0.0055289307600987,756,756,1512,2020-07-22
2020-07-24,-0.010987294940996893,-0.04508837702804108,-0.03410108208704419,756,756,1512,2020-07-23
2020-07-27,0.002519483877555854,0.001753032165482778,-0.0007664517120730757,756,756,1512,2020-07-24
