trade_date,growth_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2021-06-30,0.004019162395799042,0.00972493074402871,0.005705768348229668,753,753,1506,2021-06-29
2021-07-01,0.0010063046871808638,-0.016265379751178696,-0.01727168443835956,753,753,1506,2021-06-30
2021-07-02,-0.0005793777876818781,-0.001815158414349063,-0.0012357806266671848,753,753,1506,2021-07-01
2021-07-05,0.0010646585816878086,0.016347975814482937,0.015283317232795128,753,753,1506,2021-07-02
2021-07-06,-0.003404500394011642,0.00025255603274584225,0.003657056426757484,753,753,1506,2021-07-05
2021-07-07,0.0033878006009691866,0.010275161775720748,0.006887361174751561,753,753,1506,2021-07-06
2021-07-08,0.0021607077827972025,-0.00112152334500042,-0.0032822311277976228,753,753,1506,2021-07-07
2021-07-09,0.0013071374954946573,0.01088814575516746,0.009581008259672803,753,753,1506,2021-07-08
2021-07-12,0.003758624126548654,0.015824450230862597,0.012065826104313943,753,753,1506,2021-07-09
2021-07-13,0.0014441933462691799,0.008320624662053102,0.006876431315783922,753,753,1506,2021-07-12
2021-07-14,0.001507038950667128,-0.0070425522854037316,-0.00854959123607086,753,753,1506,2021-07-13
2021-07-15,0.00915192318159866,-0.00039845750511819685,-0.009550380686716858,753,753,1506,2021-07-14
2021-07-16,0.0008256444710728906,0.00046599774983805173,-0.00035964672123483887,753,753,1506,2021-07-15
2021-07-19,-0.0020599434036728545,-0.004810476268497333,-0.0027505328648244785,753,753,1506,2021-07-16
2021-07-20,-0.0014460368394148262,0.0031292199663721177,0.004575256805786944,753,753,1506,2021-07-19
2021-07-21,0.0032964167132344176,0.015445150598316006,0.012148733885081588,753,753,1506,2021-07-20
2021-07-22,0.005040913275717512,0.009314736617848523,0.0042738233421310105,753,753,1506,2021-07-21
2021-07-23,0.00030168808224101916,-0.009221980112183696,-0.009523668194424715,753,753,1506,2021-07-22
2021-07-26,0.0012888653883438086,-0.012328825469044031,-0.01361769085738784,753,753,1506,2021-07-23
2021-07-27,-0.0064084376171576335,-0.025789663346405426,-0.019381225729247793,753,753,1506,2021-07-26
2021-07-28,0.003775244698813178,-0.024021701254080454,-0.027796945952893632,753,753,1506,2021-07-27
2021-07-29,0.005605041718262066,0.03097938034544268,0.025374338627180613,753,753,1506,2021-07-28
2021-07-30,-0.0014694469029234627,0.008139322121511899,0.009608769024435361,753,753,1506,2021-07-29
2021-08-02,0.001224639495113037,0.019635966408858296,0.01841132691374526,753,753,1506,2021-07-30
2021-08-03,-0.003922404337012441,-0.006821427243552443,-0.002899022906540001,753,753,1506,2021-08-02
2021-08-04,0.009474449148943133,0.01936625612490504,0.009891806975961906,753,753,1506,2021-08-03
2021-08-05,0.0004722108122423435,-0.006672068864353949,-0.007144279676596293,753,753,1506,2021-08-04
2021-08-06,0.0010981887273247871,0.0035214779830318593,0.002423289255707072,753,753,1506,2021-08-05
2021-08-09,-0.002531761101397755,0.007304204158034762,0.009835965259432517,753,753,1506,2021-08-06
2021-08-10,-0.003231732653601908,0.008256097086710757,0.011487829740312665,753,753,1506,2021-08-09
2021-08-11,0.0008192566767370076,0.008626334958273946,0.007807078281536938,753,753,1506,2021-08-10
2021-08-12,5.278935937970061e-05,0.005935876343821559,0.005883086984441859,753,753,1506,2021-08-11
2021-08-13,0.0029334082902076645,0.003163407071409896,0.00022999878120223132,753,753,1506,2021-08-12
2021-08-16,-0.00399781621751719,-0.004774537669686265,-0.0007767214521690752,753,753,1506,2021-08-13
2021-08-17,-0.0005898295070690188,-0.025406889657696434,-0.024817060150627415,753,753,1506,2021-08-16
2021-08-18,-0.002872344244277257,0.008216560740670106,0.011088904984947363,753,753,1506,2021-08-17
2021-08-19,0.001089454239152517,-0.00024852867650313864,-0.0013379829156556556,753,753,1506,2021-08-18
2021-08-20,0.0037990952035221017,0.0006338817420824259,-0.0031652134614396756,753,753,1506,2021-08-19
2021-08-23,0.003631143963692657,0.02616699153813647,0.022535847574443813,753,753,1506,2021-08-20
2021-08-24,0.004701534644547289,0.008039280386217824,0.003337745741670535,753,753,1506,2021-08-23
2021-08-25,0.0016823997892266452,0.009844414595037956,0.00816201480581131,753,753,1506,2021-08-24
2021-08-26,-0.0007549677555183415,-0.003563880249267856,-0.0028089124937495146,753,753,1506,2021-08-25
2021-08-27,0.002492539927099068,0.0023307772246807788,-0.000161762702418289,753,753,1506,2021-08-26
2021-08-30,0.001809660143641421,0.0036404639666585254,0.0018308038230171043,753,753,1506,2021-08-27
2021-08-31,-0.003231301886438373,-0.0020321851739164985,0.0011991167125218743,753,753,1506,2021-08-30
2021-09-01,-0.006369986206987828,-0.011333004928011155,-0.004963018721023327,753,753,1506,2021-08-31
2021-09-02,0.0034523774219500335,0.014017829996101199,0.010565452574151165,753,753,1506,2021-09-01
2021-09-03,-0.00527888697367477,-0.002377759063532138,0.002901127910142632,753,753,1506,2021-09-02
2021-09-06,0.0032984527298885492,0.011409695027012827,0.008111242297124278,753,753,1506,2021-09-03
2021-09-07,0.001974132769240638,0.016190908492283235,0.014216775723042597,753,753,1506,2021-09-06
2021-09-08,-0.005662946416922031,0.00775240055291494,0.013415346969836971,753,753,1506,2021-09-07
2021-09-09,0.0013684170220480587,0.0026039478124710966,0.0012355307904230379,753,753,1506,2021-09-08
2021-09-10,0.004613374471963043,-0.0020523267243483206,-0.0066657011963113634,753,753,1506,2021-09-09
2021-09-13,0.0002452358815087305,0.008923818576866869,0.008678582695358138,752,752,1504,2021-09-10
2021-09-14,0.003074155763714826,-0.006631019937183829,-0.009705175700898655,752,752,1504,2021-09-13
2021-09-15,-0.0017808853331371735,0.008501119372748842,0.010282004705886015,752,752,1504,2021-09-14
2021-09-16,-0.0032789349001119284,-0.017073101920490427,-0.013794167020378499,752,752,1504,2021-09-15
2021-09-17,0.0026100236334267654,-0.00356584197827954,-0.006175865611706305,752,752,1504,2021-09-16
2021-09-22,0.0009676798981726282,0.006363534589665171,0.005395854691492543,752,752,1504,2021-09-17
2021-09-23,-0.0029256019177460856,0.00337494012351134,0.0063005420412574255,752,752,1504,2021-09-22
2021-09-24,0.0011708523283194584,-0.019365768948512052,-0.02053662127683151,752,752,1504,2021-09-23
2021-09-27,-0.0002106628224955373,-0.03469987557697064,-0.034489212754475106,752,752,1504,2021-09-24
2021-09-28,-0.00482720633247676,0.001261704569718783,0.006088910902195543,752,752,1504,2021-09-27
2021-09-29,-0.005674408540898929,-0.033059014367305406,-0.027384605826406477,767,767,1534,2021-09-28
2021-09-30,0.003934744533265075,0.025870284673191832,0.021935540139926758,767,767,1534,2021-09-29
2021-10-08,-0.013104986235830415,0.008461042627983572,0.021566028863813987,767,767,1534,2021-09-30
2021-10-11,-0.004732122180003736,-0.0031863920999114785,0.001545730080092257,767,767,1534,2021-10-08
2021-10-12,-0.006425261679185111,-0.02030703361686338,-0.013881771937678268,767,767,1534,2021-10-11
2021-10-13,0.0048047734099522475,0.003397163381108194,-0.0014076100288440531,767,767,1534,2021-10-12
2021-10-14,0.004427619368414895,0.008815838703948049,0.004388219335533154,767,767,1534,2021-10-13
2021-10-15,0.009140710132391415,-0.0024335543405954144,-0.01157426447298683,767,767,1534,2021-10-14
2021-10-18,0.001921084342497598,0.011864351987854427,0.00994326764535683,767,767,1534,2021-10-15
2021-10-19,0.0034587409426025868,0.006485783826805589,0.003027042884203002,767,767,1534,2021-10-18
