from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,685,0.9422283356258597,Bear,Bear
0,1,42,0.0577716643741403,Bear,Bull
1,0,43,0.07478260869565218,Bull,Bear
1,1,532,0.9252173913043479,Bull,Bull
