报告期,代码,名称,净利润,经营现金流,营业收入,EPS,总资产,总负债,长期负债,股东权益
20220930,BJ920266,生物谷,14228004.72,-117605322.46,424846990.98,0.111156286875,1285098400.59,206344408.5,162189241.19,1078753992.09
20220930,BJ920682,球冠电缆,67702252.77,87893899.97,1931581579.15,0.325491599855769,2031304944.64,1065827202.42,24393201.71,965477742.22
20220930,BJ920415,恒拓开源,8366671.33,-5948837.54,134850246.4,0.0607592636263121,598745586.72,82720915.2,7679599.25,516024671.52
20220930,BJ920010,凯添燃气,49835160.64,59324091.89,309473769.05,0.212516676503198,1251893526.5,620459172.59,355225482.9,631434353.91
20220930,BJ920640,富士达,122761239.72,-25009366.26,630630798.82,0.617221633427086,1418405589.2,669817113.09,54233187.36,723708937.22
20220930,BJ920167,同享科技,38210059.14,-16136419.88,949445490.33,0.349524873216246,905337273.97,460158332.92,22933046.16,445178941.05
20220930,BJ920961,创远信科,16467875.46,103715565.9,215207392.82,0.121094104061853,1037866293.04,333579395.88,229756788.51,704227273.63
20220930,SZ300858,科拓生物,86657083.83,101696546.56,264098724.86,0.581882322594369,1060719951.74,74787928.2,9651769,985932023.54
20220930,BJ920163,方大新材,34256944.47,43593880.12,290687453.29,0.271880511666667,497075270.16,86055937.68,14167854.46,411019332.48
20220930,BJ920198,微创光电,-33604554.19,-73478092.32,56192379.66,-0.270729251157388,507055419.62,38869767.87,0,468185651.75
20220930,BJ920964,润农节水,40131344.07,-25837032.95,428953732.75,0.153637867408349,1039332161.23,171978554.28,27332005.19,867353702.95
20220930,SZ300857,协创数据,115841840.45,29804803.63,2205534837.19,0.560616061030322,2873460217.96,1457347203,157244354.03,1409094806.25
20220930,BJ920799,艾融软件,32044089.24,-121400693.27,408627747.56,0.149521398984757,688487637.49,350249531.37,27982457.7,335800958.56
20220930,BJ920508,殷图网联,-4440758.87,470826.97,34137056.73,-0.0888151774,246114402.11,35021656,1952429.15,211092746.11
20220930,BJ920278,鹿得医疗,27983931.23,9791528.46,238796359.99,0.158999609261364,469487978.68,86753924.53,5603762.67,382734054.15
20220930,BJ920149,旭杰科技,-12771484.49,-28207061.9,217766129.43,-0.100364271401068,653168296.3,430584321.2,119782886.93,186869528.98
20220930,BJ920489,佳先股份,48965103.35,7122615.63,409479508.05,0.341004327960299,887514926.2,355914589.5,52401507,505591750.82
20220930,BJ920946,森萱医药,145006763.76,143601097.86,498622618.12,0.321793179159274,1251600513.38,116759153.58,4511166.69,1064360521.69
20220930,BJ920263,中航泰达,35918525.2,375767294.33,345053695.38,0.2566342183481,875510606.15,403572165.94,2800669.37,471938440.21
20220930,BJ920021,流金科技,11894199.15,-83032566.59,493471584.48,0.0694534697482825,1046236711.3,383072188.52,8684503.63,666763926.88
20220930,BJ920729,永顺生物,59347338.26,39014016.36,254511982.81,0.21711116978233,836739403.54,156906844.99,15315682.24,679832558.55
20220930,BJ920433,大唐药业,20026659.14,56753894.26,123128711.71,0.0767169499855468,663992735.05,174012415.91,5228029.29,489980319.14
20220930,BJ920368,连城数控,224508866.46,-317137006.11,2125966383.91,1.10276318728205,7640930301.49,4586601658.34,63343767.43,2764582515.02
20220930,BJ920819,颖泰生物,922731432.9,1317190376.09,6341279914.26,0.750633637167564,12836593435.3,7009290413.34,355175752,5807328156.9
20220930,BJ920242,建邦科技,38087221.27,69589450.96,317002090.17,0.612927691751783,580561400.4,125984199.71,432714.06,454880880.7
20220930,BJ920418,苏轴股份,56727890.75,22246535.39,421077429.05,0.586516653742763,679788224.78,88078006.28,0,591710218.5
20220930,BJ920445,龙竹科技,38812241.42,53436446.61,272030719.27,0.262462940271746,503680109.33,120216343.3,13203982.89,383510688.44
20220930,SH605188,国光连锁,20341214.5,255084901.77,1715181039.3,0.0410452691795472,2680384818.33,1574514527.69,561674425.87,1105870290.64
20220930,SH688050,爱博医疗,193070920.68,205406732.69,441315587.2,1.87954109470545,2235477978.41,324074646.37,174692171.47,1848450560.66
20220930,SH603408,建霖家居,357356507.07,634603775.88,3341642094.18,0.79592967853802,4145541036.22,1389477261.25,143816256.48,2756063774.97
20220930,SH605118,力鼎光电,140600928.44,81992749.72,442935719.05,0.345454320533326,1483801406.24,167871273.22,33196944.66,1313653928.95
20220930,SH605222,起帆电缆,309574300.22,-2855120090.23,14606007883.99,0.735254501887983,12098487845.98,7996147220.09,1121217672.71,4064125934.6
20220930,SZ002991,甘源食品,89508575.32,156260300.97,969009858.41,0.960229334006581,1800730567.11,331907756.29,116484331.73,1468822810.82
20220930,SH688586,江航装备,222492886.06,-219489236.97,882981240.21,0.551073523590851,3459435220.13,1222613478.37,336294361.84,2236821741.76
20220930,SH688311,盟升电子,9330349.65,-139041757.97,232938757.18,0.086042415948126,2486148357.79,728664715.79,217436202.2,1716039961.99
20220930,SH601456,国联民生,643534947.46,-1687632397.02,2054741067.4,0.227255118712249,68806722430.94,52124905598.91,0,16681816832.03
20220930,SH605318,法狮龙,15926840.21,-77040977.87,491096494.55,0.123300287745363,1293991544.61,497160500.33,1197707.94,796831044.28
20220930,SZ002992,宝明科技,-116054589.64,6989719.16,695952459.97,-0.625505909825061,1952988529.14,904320641.25,103896200.85,1028533948.33
20220930,SH605399,晨光新材,559001447.45,436008525.58,1568816184.23,2.32672034680108,2318554797.33,209900762.5,0,2108489130.86
20220930,SH605158,华达新材,183332135.88,1715291530.12,6336299545.09,0.358476664737398,5098725647.13,2951816803.9,16165353.47,2146908843.23
20220930,SZ002995,天地在线,-5042356.1,-95008051.67,2422102444.21,-0.0494190857508923,1481653015.92,446731785.02,247562.43,1031536298.38
20220930,SH688338,赛科希德,78228713.61,62989277.02,164245829.26,0.958121614858907,1564060845.99,85382477.93,535766.3,1478678368.06
20220930,SZ300859,西域旅游,8304574.8,34316870.26,96366487.74,0.0537749981935484,700469314.4,71258262.82,54552262.03,629468830.71
20220930,SH688556,高测股份,428141565.71,-49983139.34,2190334543.01,1.87844530595723,5151008622.67,3433282131.76,505237686.63,1717726490.91
20220930,SH605066,天正电气,94852662.47,58170204.71,1854683908.4,0.236530863965087,3086408734.55,1265567639.42,45374971.97,1817837796.11
20220930,SH688286,敏芯股份,-19028743.38,-25349737.19,218040306.31,-0.356731415114198,1122589573.4,48694110.7,7555978.02,1072145141.65
20220930,SH688339,亿华通,-124615248.81,-215384571.17,390607382.3,-0.947070741744731,3694866363.43,886039772.35,203310929.56,2408985578.98
20220930,SH605100,华丰股份,22702231.19,331362552.07,539066506.92,0.134660028835063,2160914863.59,381946236.28,38047705.11,1778754623.15
20220930,SH688155,先惠技术,-1369118.85,-585244342.45,1127842943.33,-0.366945268255994,4073457190.52,2657291252.5,323873379.62,1193306631.01
20220930,SH688313,仕佳光子,67316940.21,74714784.4,684640940.16,0.146723187965167,1609778170.75,398059811.23,108553415.02,1211718359.52
20220930,SH688065,凯赛生物,530803141.96,649181521.54,1837722247.37,0.833531412227745,17286723797.52,2332311832.78,1142647412.06,10881328217.38
20220930,SH605366,宏柏新材,318342593.14,322607402.59,1347234921.8,0.729544532562712,2921937555.74,954167577.88,299857263.55,1967769977.86
20220930,SH688185,康希诺,-488682218.46,-1393277778.3,707395485.26,-1.91720162908614,11539285000,3784224000,1014063000,7216494000
20220930,SH688229,博睿数据,-50598397.14,-86253930.52,94947610.53,-1.13960353918919,732925300.81,46469076.72,1844538.13,686456224.09
20220930,SH605088,冠盛股份,176328423.79,232771290.8,2172545600.51,1.06353281938539,3004106366.6,1372695272.98,126894766.65,1631411093.62
20220930,SZ002993,奥海科技,381551656.1,413672131.66,3349060065.15,1.3805909756557,7137782660.8,2573921647.5,149869614.66,4513396097.8
20220930,SH688335,复洁科技,69769532.79,-7813215.5,490810821.91,0.690472666281238,1482466530.39,298738334.43,9831503.57,1175666709.65
20220930,SH600610,中毅达,39507398.55,207804442.49,1053353424.23,0.0368788715475991,1187242112.74,1015087316.67,769237794.05,172154796.07
20220930,SH688055,龙腾光电,261221247.32,115867051.8,3336853722.81,0.0783663726286726,6960108155.71,2142083032.28,77639897.16,4818025123.43
20220930,SH688519,南亚新材,54059904.26,123634787.11,2750487643.14,0.230285562526517,4662914920.16,1980917913.85,216170595.95,2681997006.31
20220930,SH688521,芯原股份,32773859.66,-306604109.75,1884150580.19,0.0658439271811987,4457634651.81,1615061595.11,385927952.84,2842573056.7
20220930,SH605333,沪光股份,16746092.71,-221886453.72,2327295657.2,0.0383402238319914,4211010346.02,2750649727.58,474495346.95,1460360618.44
20220930,SH605388,均瑶健康,78433591.54,-297731355.85,663572235.17,0.183514237,2151818462.32,221152428.47,16249089.58,1923471277.76
20220930,SH688379,华光新材,-13012334.87,-335298259.14,880280353.45,-0.147867441704546,1593889864.38,720346429.19,69490802.28,873543435.19
20220930,SH603931,格林达,139254348.23,149091959.72,642786807.44,0.697762046775485,1489027400.29,170062814.71,16262509.25,1317954504.95
20220930,SH688393,安必平,34030155.66,16462893.85,374325569.6,0.467587197878723,1374749065.95,149477508.38,53758446.5,1227915303.86
20220930,SH688596,正帆科技,138578665.56,-132547971.41,1803940242.69,0.532262327225157,4975832102.65,3017834130.91,69665073.94,1953881812.42
20220930,SH605178,时空科技,-123121269.23,-128712080.85,308147215.69,-1.22027841233794,2465003140.53,550772899.32,4494100.18,1915923316.93
20220930,SH605008,长鸿高科,185584159.31,-248046192.56,2042431897.2,0.288904501966961,3842781462.2,1826602215.54,505301854.13,2013931680.93
20220930,SZ300878,维康药业,94643387.92,57006680.59,474349508.65,0.648737728547907,1804727873.4,353241072.97,45883456.47,1447804908.51
20220930,SZ300873,海晨股份,338044985.04,244257569.74,1309769637.79,1.54281646135057,3254722239.74,865107250.03,344413237.76,2289022317.64
20220930,SZ300872,天阳科技,34904179.61,-480429024.66,1352803874.38,0.0913600218841613,3031823708.83,750026352.88,5575488.51,2278845836.73
20220930,SZ300871,回盛生物,26405977.46,73333293.95,671478771.75,0.159020391278179,2770809269.95,1211445249.47,618392189.95,1559364020.48
20220930,SZ300870,欧陆通,40433057.52,74858918,1977433111.21,0.401785841432225,3310016063.65,1687587601.01,317411005.5,1622077708.8
20220930,SZ300875,捷强装备,-19965287.42,-136216924.79,84402751.75,-0.10722797665915,1640402935.44,262732350.39,28778910.44,1331992141.28
20220930,SZ300868,杰美特,-17137589.06,-80242250.11,552917151.59,-0.124078624609375,2248870469.98,520721789.21,98165907.52,1725404205.88
20220930,SZ300876,蒙泰高新,40385850.56,5445269.14,296396845.72,0.420685943333333,994762357.65,175057821.94,32619681.34,819704535.71
20220930,SZ300867,圣元环保,158931480.14,294658133.05,1343043090.34,0.585680345067332,8271174398.53,4921940685.2,3662504987.27,3349373894.73
20220930,SZ300866,安克创新,851353539.1,379346241.71,9536524928.22,2.04336214049273,9356320167.01,2794136423.3,256894835.05,6481663648.22
20220930,SZ300865,大宏立,16497827.51,-29119199.72,402203573.86,0.172427126985786,1241538210.32,336949618.97,40240575.78,904588591.35
20220930,SZ300864,南大环境,98497704.46,-2102689.33,453139488.78,0.611669045472136,1464479444.73,289258751.89,628777.74,1140058581.06
20220930,SZ300863,卡倍亿,101075795.96,-262038742.66,2060536313,1.82992006747595,2268100455.9,1520695839.64,323789494.49,747404616.26
20220930,SZ300862,蓝盾光电,34938654.5,-160878201.73,471758228.59,0.247525245672004,2493831025.69,545323546.34,147039433.29,1931463353.21
20220930,SZ300869,康泰医学,174206387.64,67069817.19,462183267.5,0.433568379937322,3582814050.1,1643481979.88,637575827.2,1939332070.22
20220930,SZ300861,美畅股份,1028470529.35,259733441.56,2461323172.45,2.14226856747331,5456518112,805169611.03,180647363.01,4645592591.23
20220930,SZ300860,锋尚文化,43919084.5,21148233.68,237358767.26,0.354576743855087,3951298086.35,671538740.73,66180801.84,3241636058.22
20220930,SZ300877,金春股份,-14652223.04,-88801963.95,605875786.33,-0.122605074916667,1845431429.6,254171376.61,84765483.83,1589354739.95
20220930,SH605255,天普股份,22628489.68,18356023.28,230931859.43,0.168768568615752,939751447.11,100679268.78,7186723.09,839072178.33
20220930,SH605123,派克新材,350951197.44,-190002659.65,2111671943.34,3.24954812444444,5679049648.81,1951928931.76,240660637.4,3727120717.05
20220930,SH688356,键凯科技,165190716.15,197623085.46,320956302.68,2.74002647541799,1250664608.52,57632498.09,6333144.36,1193032110.43
20220930,SH688017,绿的谐波,128459737.14,33309593.21,344462004.61,0.759275653626117,2282258976.01,391216771.34,90001584.78,1893239002.09
20220930,SH688215,瑞晟智能,11489980.05,-57534827.06,197771571.71,0.219043194555445,674785906.36,216084111.47,1946492.97,440570697.78
20220930,SZ002996,顺博合金,249161307.7,510556262.54,8248744528.03,0.551131777403189,6224590656.02,3554329595.34,979744422.31,2515747186.07
20220930,SH688289,圣湘生物,1598331053.82,1227927781.28,4068233187.27,2.71618869724225,8597332591.32,864770293.63,66825281.32,7720799786.18
20220930,SH688408,中信博,-11390868.22,-738507512.48,2258798459.24,-0.0924965216200834,4897319261.03,2448704817.37,97372620.24,2445037135.79
20220930,SH688569,铁科轨道,221801038.25,116689961.25,1011087877.27,0.906875620589301,3393153896.91,586299286.17,24075707.64,2460235377.34
20220930,SH603155,新亚强,264742592.84,256423754.46,940585075.66,1.17364217984412,2707557913.27,367937438.98,54976932.5,2309606958.82
20220930,SZ300880,迦南智能,107373944.41,166093501.31,596573331.92,0.559127468308422,1168974855.36,368683680.21,7581031.46,800291175.15
20220930,SZ300881,盛德鑫泰,47115910.57,-303521219.23,887232060.1,0.4711591057,1557337509.24,744628086.58,1027602.09,812709422.66
20220930,SZ300879,大叶股份,65761708.63,152686220.79,1327944071.88,0.4110106789375,2378951981.48,1378234431.44,147932238.63,1000717550.04
20220930,SH688056,莱伯泰科,34522516.63,-15285465.54,249029652.65,0.513738628929769,924077717.66,104556249.19,3993384.05,819521468.47
20220930,SH688550,瑞联新材,209180027.84,116293651.41,1188908296.26,2.13284946172476,3389410795.04,483502346.41,11549401.08,2905908448.63
20220930,SH688513,苑东生物,195492474.81,141346062.05,897590018.32,1.62788304446665,3003472092.39,609933988.7,45961405.5,2393538103.69
20220930,SH688378,奥来德,111240731.46,70278024.99,393152147.41,1.08992971941809,2112713469.52,437101518.01,159721857.24,1675611951.51
20220930,SZ002997,瑞鹄模具,107224496.79,62180824.61,828863274.78,0.579758732135076,3850953501.42,2418145803.27,436378622.39,1294770224.09
20220930,SZ002999,天禾股份,128026040.09,-949218507.77,13025136385.48,0.257825922518355,6870637430.51,5453685467.48,672658725.9,1142932315.6
20220930,SH605006,山东玻纤,440540365.88,478858741.18,2153803620.96,0.734227480707791,4974744140.45,2230996477.48,1240785107.98,2743747662.97
20220930,SH688390,固德威,266207081.71,365290375.33,2915622242.03,2.23332812150974,4882359633.37,2991783942.6,206896386.6,1863603014.24
20220930,SH601702,华峰铝业,516596928.92,103360821.51,6324873156.47,0.517321741446882,6279164171.13,2691018130.91,964965748.68,3588103844.55
20220930,SH605003,众望布艺,80217891.2,103573290.73,317078749.85,0.729253556363636,1191973203.02,71816027.11,3222722.5,1120157175.91
20220930,SH688095,福昕软件,7923813.86,19231805.54,426838002.5,0.120245884350064,3017624004.51,336324910.74,95271653.25,2677532583.72
20220930,SH688559,海目星,215944810.29,77471991.3,2370792650.44,1.09314628707681,8131248063.63,6291618060.22,405549269.48,1840634652.6
20220930,SZ300883,龙利得,24951946.86,71962513.41,466565315.22,0.0721639815028902,2140231363.59,698854518.34,343123848.52,1437396441.41
20220930,SH688551,科威尔,44288265.62,-33674913.72,253364096.85,0.564007999266212,1292596485.41,282081938.74,13892906.22,1008762499.27
20220930,SZ300882,万胜智能,85043405.69,-149843339.25,578065147.69,0.416003751759409,1223655225.94,318750200.69,7265918.35,904905025.25
20220930,SZ300885,海昌新材,50505965.59,84772741.3,182798065.61,0.201379448125997,832957020.85,50456288.44,1111838.01,782500732.41
20220930,SH605358,立昂微,661017835.19,863004640.12,2278479617.47,0.947623128196134,15296701236.32,6259818279.5,3617281163.71,7934305141.98
20220930,SH605009,豪悦护理,262371405.98,303474254.46,1985133316.76,1.68163608296761,3999137223.37,1082083441.3,80921105.89,2917053782.07
20220930,SZ002984,森麒麟,661995031.92,565507386.95,4750002095.04,1.01897057182516,10958464665.91,3281088322.17,1971069195.38,7677376188.41
20220930,SZ003000,劲仔食品,88615285.27,189288351.29,1010079213.6,0.223976240302579,1184002960.31,237547729.84,20159475.83,931829347.9
20220930,SH605128,上海沿浦,35867260.44,-16318824.2,744714520.67,0.447811278375,1668986132.39,608436624.41,37299725.01,1055558077.93
20220930,SH605369,拱东医疗,308448671.69,207407331.04,1179652625.55,2.73867139362171,1807292063.04,235582850.92,9571872.88,1571709212.12
20220930,SZ300886,华业香料,22246090.47,15539518.93,182432815.82,0.298384957011602,595492763.1,51963165.72,15075724.66,543529597.38
20220930,SZ300889,爱克股份,27277740.23,-175053075.3,641333717.6,0.176346930192308,2580001383.61,973513355.63,96134784.37,1582357392.16
20220930,SH688577,浙海德曼,53503069.94,-25932330.34,449095345.32,0.999261030962141,1303372720.97,445859665.61,51072062.03,858465005.2
20220930,SZ300887,谱尼测试,183128322.81,305336751.55,2681962616.87,0.629648848972433,4583343929.17,1180175901.11,143536706.45,3390133427.18
20220930,SZ300891,惠云钛业,37120483.6,-35189397.1,1130082005.21,0.0928315022,1976153692.08,675667481.02,37518223.14,1300498328.34
20220930,SZ300888,稳健医疗,1266801259.01,1208226864.65,7642317470.16,2.93157174572068,16499013599.8,4657077467.02,547876205.69,11370957037.91
20220930,SZ300890,翔丰华,118188277.35,-182179167.42,1607345804.9,1.10279612650823,3933899589.59,2321715068.21,79123099.35,1583543901.78
20220930,SH603112,华翔股份,235250336.99,12994863.9,2497549667.68,0.571909130268547,5073024179.13,2507162403.03,1145788340.15,2392030942.68
20220930,SH605198,安德利,181381303.9,492531428.62,810519342.93,0.507076611406206,2586160539.37,229718247.44,8428073.5,2356442291.93
20220930,SH688301,奕瑞科技,507419621.64,156640447.56,1103884316.02,7.00190000331643,4220164645.82,754528138.53,229009696.38,3440093968.87
20220930,SH605116,奥锐特,185681707.8,88594249.86,768958001.67,0.464823991122195,1857293118.46,210268274.55,29622730.54,1642930238.61
20220930,SZ003006,百亚股份,125917269,149292340,1129424830,0.29314500977505,1552661428,330250869,9312186,1221590256
20220930,SZ003003,天元股份,8250730.8,9721245.34,1080842128.91,0.0422061485502764,1627993452.99,414306554.24,35740854.23,1210644618.2
20220930,SH688536,思瑞浦,276944157.45,427523985.73,1468630480.4,2.31652766106137,3911285802.57,255603672.24,27517944.95,3655682130.33
20220930,SH688127,蓝特光学,65479606.55,49431565.12,295466254.84,0.160734581166454,1733628339.82,250096439.42,92709314.3,1481894573.62
20220930,SZ003002,壶化股份,90467054.7,131494970.61,720205278.39,0.42913682645,1602661513.49,387870152.55,58298760.22,1091655438.52
20220930,SH688526,科前生物,283242940.68,331129993.39,686519778.45,0.60935100988276,4112287808.95,747676688.12,109565365.15,3362357143.43
20220930,SZ003005,竞业达,22646900.36,-73112309.07,253641297.77,0.156016895350404,1816375491.24,363480467.16,29156362.47,1452560412.02
20220930,SH688156,路德科技,31556621.69,42914610.62,229952062.78,0.251922485238232,1142202682.66,315655436.38,90382834.91,771933597.66
20220930,SZ003008,开普检测,52029273.42,82071981.19,111148168.06,0.65036591775,1085885179.98,53597185.77,2561156.39,1032287994.21
