报告期,代码,名称,净利润,经营现金流,营业收入,EPS,总资产,总负债,长期负债,股东权益
20220331,SZ000005,ST星源,608441.38,-13916446.87,29259137.1,0.00147881321451446,2366484742.07,890697346.47,73545538.61,1375809718.58
20220331,SH600654,中安科,-88561027.89,27382800.95,530517960.41,-0.0690867699536439,3880035223.56,5412958724.95,830763822.28,-1533714548.65
20220331,SH600601,方正科技,-130028784.18,85529970.55,979784981.12,-0.0589363093096618,8033696137.71,8852457298.48,604521677.45,-831693562.01
20220331,SH600651,飞乐音响,-63290654.8,-202860809.23,1138255490.38,-0.0241141778744742,7528988802.91,5244779258.49,964031461.92,2154265619.77
20220331,SH600652,退市游久,-11579772.47,-14218412.26,3273252.91,-0.0139062373315502,1766865830.38,105511635.79,16179787.43,1661354194.59
20220331,SH600653,申华控股,20327245.97,60605946.69,1657210979.23,0.00117210271809381,3863501414.37,2446271494.36,1037109537.2,1177656658.33
20220331,SH600602,云赛智联,71568428.11,-436168272.69,1143282255.91,0.0536554779079192,6726845753.69,1974624608.79,240255434.64,4526477793.56
20220331,SZ000004,*ST国华,-12946683.63,-28414235,11263731.8,-0.0805857036388512,1080483959.96,145185913.23,5377927.5,935115771.25
20220331,SZ000002,万  科Ａ,2787518052.06,-13259189892.38,62667074774.2,0.122946083586684,1947369375453.95,1554059665756.77,250131542300.16,236870418361.81
20220331,SZ000001,平安银行,12850000000,147127000000,46207000000,0.662169131544847,5117949000000,4711774000000,0,406175000000
20220331,SZ000009,中国宝安,450961686.24,-474078022.77,5683423572.87,0.0640250193977218,40892985826.83,24679292484.36,6289203465.12,8184215827.56
20220331,SH600603,广汇物流,72933745.61,190232150.25,474255892.26,0.0580974464430327,15100806111.44,9012118545.31,1753803948.36,5423463658.28
20220331,SZ000012,南  玻Ａ,387659421,102057062,2785709687,0.124949951877412,20699582452,8452808457,2681699224,11805984216
20220331,SH600604,市北高新,83970305.13,-154492657.61,458669371.31,0.0411870717649641,20785972679.17,12253961446,7062249772.72,6611174552.81
20220331,SZ000016,深康佳Ａ,32144379.46,-630928798.94,8320135785.93,0.0433466621972519,40541409206.02,30104230702.29,8725595447.62,9333407553.35
