报告期,代码,名称,净利润,经营现金流,营业收入,EPS,总资产,总负债,长期负债,股东权益
20201231,SZ000005,ST星源,-386212718.29,116373610.28,398921057.66,-0.36548854864515,2452795303.51,1126875461.8,27570750.4,1233160670.55
20201231,SH600654,中安科,-182335142.27,17941501.48,3014328624.31,-0.142113919730785,4629666515.76,4537054504.82,1141015786.07,92612010.94
20201231,SH600601,方正科技,-920983996.95,673946794.55,5972546390.58,-0.418969649558995,9081143144.91,8357791671.53,988536366.74,709085443.04
20201231,SH600651,飞乐音响,432960675.16,23200788.44,4433482129.7,0.172115899921445,9108455229.47,6264805786.12,3630197455.09,2696266355.52
20201231,SH600652,退市游久,-27461900.22,-14522223.43,12341623.1,-0.0329792060270654,1834720309.9,82919005.77,21914599.29,1751801304.13
20201231,SH600653,申华控股,-681620010.37,396195117.61,6898070442.1,-0.388203433692039,5243290054.41,3564833887.05,1190955326.46,1099320074.73
20201231,SH600602,云赛智联,289808592.68,465621953.5,4590488346.43,0.182214641652163,6255096435.56,1735928520.56,18447999.66,4293284166.53
20201231,SZ000004,*ST国华,61990293.98,3973925.97,280531008.22,0.391530439276564,1563562870.86,106734607.45,3706782.49,1456803734.35
20201231,SZ000002,万  科Ａ,59298116444.53,53188022243.81,419111677714.12,3.57346375549408,1869177094005.55,1519332620662.33,201839931792.55,224510952749.09
20201231,SZ000001,平安银行,28928000000,-16161000000,153542000000,1.4906792713875,4468514000000,4104383000000,0,364131000000
20201231,SZ000009,中国宝安,1067788613.28,655142169.9,10593850771.9,0.256574845041986,31856615637.93,18611186207.17,7056769567.44,6921863094.11
20201231,SH600603,广汇物流,845467717.88,1684851233.49,4394432384.15,0.655410931458014,17205922807.91,10090343662.34,2186562049,6769848414.08
20201231,SZ000012,南  玻Ａ,811952981,2730619636,10671253445,0.253794768359692,17882914898,7267031012,3447950344,10212989847
20201231,SH600604,市北高新,181912628.2,-1544780918.53,1202345645,0.0938590020132143,19109142594.55,10730914367.24,4115067375.88,6467810714.84
20201231,SZ000016,深康佳Ａ,540073462.44,178616528.21,50351836554.87,0.198357175604207,49876267493.61,39155372368.97,12176168718.46,8428640176.97
20201231,SH600605,汇通能源,49587009.94,-639237023.85,92585677.95,0.337451420748445,858815674.67,84281311.21,546761.52,774534363.46
20201231,SH600606,绿地控股,21135659525.97,44719606717.08,455753123320.2,1.23254307678477,1397336286405.47,1242062409028.87,219012057594.59,84776400833.05
20201231,SH600608,*ST沪科,2187760.71,-8892785.26,890608206.62,0.00660685920913422,208645539.35,143879566.92,2282767.02,60029461.34
20201231,SZ000011,深物业A,731337869.73,385497782.12,4104374646.02,1.33993311587515,12207356912.54,8426235432.71,3698975536.65,3727917440.03
20201231,SZ000017,深中华A,4375706.59,3942228.96,117857480.17,0.00686650725843729,91742769.99,66100480.31,0,10905230.98
20201231,SZ000007,全新好,-123038365.96,-3359064.84,45146397.44,-0.354778352594769,364394022.55,296592037.45,98722151.74,64471874.03
20201231,SZ000006,深振业Ａ,902890101.9,-167505495.3,2934733294.89,0.640475577967417,15434760023.28,7596761855.69,3441942481.22,7364438479.21
20201231,SZ000020,深华发Ａ,6830187.4,59719269.6,691742269.12,0.0241211958019945,627779621.06,291530883.77,65108051,336248737.29
20201231,SZ000008,神州高铁,-891970904.84,520039172.94,1917519166.43,-0.321649537477326,12828310640.73,6159732582.73,1574233835.43,6544641780.09
20201231,SZ000014,沙河股份,9134688.12,259151612.03,346673403.12,0.0216866377858691,2433688819.31,1479915920.6,119921798.62,894255497.62
20201231,SH600609,金杯汽车,-283637450.03,337151886,5457019687.13,-0.346820466354622,4903124191.87,3753102467.12,643679100.04,563221551.06
20201231,SH600611,大众交通,570354557.71,-700220711.29,2472013085.14,0.226458155560565,17231206154.08,7429458051.27,1419762119.6,9284730016.23
20201231,SH600612,老凤祥,2072331290.33,2347749151.5,51721504158.99,3.03185644022595,19563274343.85,10148840217.15,979151666.96,7964899088.05
20201231,SH600655,豫园股份,4023770422.48,-1134658506.16,45530840597.09,0.929794189433211,124005598645.34,81795845271.78,27103966758.95,35153258845.16
20201231,SH600616,金枫酒业,17371468.42,-27192567.74,607888025.38,0.0182953252886993,2268420218.88,318966017.42,64975076.22,1956487687.51
20201231,SZ000019,深粮控股,403771846.45,286528222.27,11884527506.34,0.351475917230381,7309384147.93,2514138743.84,974350751.4,4595331999.76
20201231,SH600618,氯碱化工,601357937.66,408743199.39,4888662506.77,0.524638430414495,6214957737.22,939319363.98,133588481.47,5140749296.66
20201231,SH600619,海立股份,206884603.32,345187967.16,11072523482.86,0.183981058660512,14947903638.64,9481875714.37,1108447103.47,4510572071.02
20201231,SH600620,天宸股份,102615817.21,-42202335.36,36885944.34,0.153382490308804,2937105335.82,469898403.93,408340824.02,2375255731.35
