lambda,TotalReturn,AnnualReturn,Sharpe,MDD,Turnover
0.3,0.14626961100523306,0.026203010595377885,0.10618428294793478,-0.36168164674020853,0.5530271032352142
0.4,0.1462696110052959,0.026203010595388543,0.1061842829479758,-0.36168164674022074,0.5530271032351946
0.5,0.14626961100528568,0.026203010595386766,0.10618428294796949,-0.3616816467402191,0.5530271032352007
0.6,0.14626961100532143,0.02620301059539276,0.10618428294799473,-0.36168164674022685,0.5530271032351953
0.7,0.1462696110052497,0.02620301059538077,0.10618428294794595,-0.36168164674022674,0.5530271032352236
0.8,0.1462696110052517,0.026203010595380993,0.10618428294794573,-0.36168164674022063,0.5530271032352062
