trade_date,strategy_return,lambda,nav,benchmark_return,benchmark_nav
2020-09-01,0.0074335643507899,0.3,1.00743356435079,0.0054,1.0054
2020-09-02,0.0064960072574722,0.3,1.0139778600962337,0.0004,1.00580216
2020-09-03,-0.0032457437652773,0.3,1.0106867477786972,-0.0055000000000000005,1.00027024812
2020-09-04,0.0083997825871828,0.3,1.0191762967237852,-0.0097,0.9905676267132361
2020-09-07,-0.0024818099870773,0.3,1.0166468948119836,-0.021099999999999997,0.9696666497895867
2020-09-08,0.0125074443555697,0.3,1.029362549278107,0.0054,0.9749028496984505
2020-09-09,-0.0084087040157844,0.3,1.0207069442762942,-0.023399999999999997,0.9520901230155068
2020-09-10,-0.0483878537683577,0.3,0.9713171259163056,-0.0006,0.9515188689416975
2020-09-11,0.0050382037100344,0.3,0.9762108194637172,0.009899999999999999,0.9609389057442203
2020-09-14,0.0171819126943151,0.3,0.9929839885349886,0.0051,0.9658396941635159
2020-09-15,0.000789270171801,0.3,0.9937677211782152,0.008,0.973566411716824
2020-09-16,-0.0015907607732443,0.3,0.9921868744696486,-0.0066,0.967140873399493
2020-09-17,0.0070371584550021,0.3,0.9991690507222648,-0.0053,0.9620150267704757
2020-09-18,0.0066382371688948,0.3,1.005801771852779,0.0225,0.9836603648728114
2020-09-21,-0.0034314321257323,0.3,1.0023504313407248,-0.0096,0.9742172253700323
2020-09-22,-0.013827297994248,0.3,0.9884906332319134,-0.011899999999999999,0.9626240403881289
2020-09-23,0.0024368152821934,0.3,0.990899402313278,0.0036,0.9660894869335261
2020-09-24,-0.0298585563138906,0.3,0.9613125767079064,-0.0192,0.9475405687844024
2020-09-25,-0.0053581916652595,0.3,0.9561616796716808,0.0015,0.948961879637579
2020-09-28,-0.0148467111389696,0.3,0.9419658234114434,0.0026,0.9514291805246367
2020-09-29,0.0038309944862822,0.3,0.9455744892871988,0.0022,0.9535223247217909
2020-09-30,-0.0022455842634323,0.3,0.9434511220941524,-0.001,0.9525688023970691
2020-10-09,0.0172199686690837,0.3,0.9596973208574257,0.0204,0.9720012059659693
2020-10-12,0.0152584362326058,0.3,0.9743408012303312,0.030299999999999997,1.0014528425067382
2020-10-13,0.0013663937519112,0.3,0.9756721344133646,0.0033,1.0047576368870106
2020-10-14,-0.0079318979082723,0.3,0.9679332026512516,-0.0066,0.9981262364835563
2020-10-15,-0.0006267536874653,0.3,0.96732654694727,-0.0017000000000000001,0.9964294218815342
2020-10-16,0.0087282198579232,0.3,0.9757695857234314,-0.0015,0.9949347777487119
2020-10-19,-0.0016268555306564,0.3,0.9741821495762508,-0.0076,0.9873732734378216
2020-10-20,0.005898181682165,0.3,0.9799280528859736,0.008,0.9952722596253242
2020-10-21,-0.0089602709633371,0.3,0.97114763200754,-0.0001,0.9951727323993617
2020-10-22,-0.0051039022801716,0.3,0.9661909893941534,-0.0031,0.9920876969289236
2020-10-23,-0.003606216754084,0.3,0.9627066952605552,-0.0125,0.9796866007173122
2020-10-26,-0.001441352282358,0.3,0.9613190957681,-0.0058,0.9740044184331518
2020-10-27,-0.0017536354953,0.3,0.9596332924794512,0.0017000000000000001,0.9756602259444882
2020-10-28,0.0010270967210923,0.3,0.960618928687608,0.008100000000000001,0.9835630737746386
2020-10-29,-0.0039545140363911,0.3,0.9568201476504898,0.0075,0.9909397968279484
2020-10-30,-0.0145321550593318,0.3,0.94291548890094,-0.0163,0.9747874781396528
2020-11-02,0.0022096851089652,0.3,0.9449990352157772,0.0054,0.980051330521607
2020-11-03,0.0158289073460586,0.3,0.9599573373863226,0.012,0.9918119464878663
2020-11-04,-0.002535515000224,0.3,0.9575233511578044,0.0076,0.9993497172811742
2020-11-05,0.021129518549616,0.3,0.9777553585677838,0.0148,1.0141400930969355
2020-11-06,-0.0122185163055377,0.3,0.9658086387762964,0.0001,1.0142415071062452
2020-11-09,0.0148263564054271,0.3,0.9801280618742344,0.0196,1.0341206406455277
2020-11-10,-0.0086506250084077,0.3,0.9716493415507428,-0.0055000000000000005,1.0284329771219773
2020-11-11,-0.0090757751858371,0.3,0.9628308705673616,-0.009899999999999999,1.0182514906484696
2020-11-12,0.0089353388276645,0.3,0.9714340906296164,0.0007000000000000001,1.0189642666919234
2020-11-13,0.0023397105297164,0.3,0.973706965200388,-0.0105,1.0082651418916582
2020-11-16,0.0076454859843178,0.3,0.98115142815566,0.0097,1.0180453137680072
2020-11-17,-0.0064771130929369,0.3,0.9747963993941992,-0.0019,1.016111027671848
2020-11-18,0.0127686951023071,0.3,0.9872432774048906,-0.0006,1.0155013610552448
2020-11-19,0.0067770755024536,0.3,0.9939338996351532,0.0074,1.0230160711270537
2020-11-20,0.0083106394390763,0.3,1.0021941259012963,0.0031,1.0261874209475477
2020-11-23,-0.0031803968195529,0.3,0.9990067508907052,0.0125,1.039014763709392
2020-11-24,-0.0022501820280521,0.3,0.996758803853948,-0.0060999999999999995,1.0326767736507647
2020-11-25,-0.0096231455611116,0.3,0.987166848795142,-0.0128,1.019458510948035
2020-11-26,-0.004787479539734,0.3,0.9824408077042316,0.0018,1.0212935362677416
2020-11-27,-0.0063260048667895,0.3,0.976225882373362,0.0124,1.0339575761174615
2020-11-30,0.0046266534751193,0.3,0.9807425412445462,-0.0040999999999999995,1.02971835005538
2020-12-01,0.0134915480698283,0.3,0.9939742763838726,0.0215,1.0518572945815707
2020-12-02,0.0004295107084348,0.3,0.9944011989794884,0.0,1.0518572945815707
2020-12-03,-0.0011214938979775,0.3,0.9932859841026912,-0.002,1.0497535799924076
2020-12-04,-0.0079864628715145,0.3,0.9853531424698592,0.0018,1.0516431364363938
2020-12-07,-0.0119481523741192,0.3,0.973579992981312,-0.0086,1.0425990054630407
2020-12-08,-0.0062189269947603,0.3,0.967525370081402,-0.0025,1.0399925079493832
2020-12-09,-0.0074534678427411,0.3,0.960313950848464,-0.0134,1.0260566083428615
2020-12-10,0.0017907799633158,0.3,0.9620336618301362,-0.0004,1.0256461856995245
2020-12-11,-0.0110214170015572,0.3,0.9514306876735712,-0.0103,1.0150820299868195
2020-12-14,-0.0042686064759462,0.3,0.9473694044787536,0.0092,1.0244207846626983
2020-12-15,-0.0039923351704476,0.3,0.9435871882858472,0.0021,1.02657206831049
2020-12-16,-0.0022802073784484,0.3,0.9414356138169084,0.0018,1.028419898033449
2020-12-17,0.0087292319487299,0.3,0.9496536236547112,0.0128,1.041583672728277
2020-12-18,0.0061250382574038,0.3,0.9554702884308784,-0.0034999999999999996,1.037938129873728
2020-12-21,0.0038732912757064,0.3,0.9591711031632544,0.009399999999999999,1.0476947482945411
2020-12-22,-0.0199777115539079,0.3,0.9400090595334152,-0.0163,1.0306173238973402
2020-12-23,0.003920082008253,0.3,0.9436939721352868,0.0085,1.0393775711504676
2020-12-24,-0.0086633044916207,0.3,0.9355184639077718,-0.0014000000000000002,1.037922442550857
2020-12-25,0.0135036806998924,0.3,0.9481514065332364,0.0084,1.0466409910682843
2020-12-28,-0.0033991156399088,0.3,0.9449285302582876,0.0044,1.0512462114289847
