trade_date,size,liquidity,value
2021-12-30,0.1533158492342856,-0.3284312094704658,0.3707442653747045
2021-12-31,0.21838561841772383,-0.2998749360352286,0.44170101609684453
2022-01-04,0.13195893630506605,-0.2901019664255808,0.37287130906826693
2022-01-05,0.08298426575643099,-0.26985230001512633,0.3724809635268273
2022-01-06,0.0264557877766874,-0.3322188296704688,0.37691828800537847
2022-01-07,0.11996275969391637,-0.24381263544500165,0.32795240654787966
2022-01-10,0.03484558484451333,-0.2427633111280973,0.25727643953110724
2022-01-11,0.03676864145644084,-0.19891381379545833,0.22709056611912581
2022-01-12,-0.005175129958670546,-0.2214119641937934,0.2302021402860041
2022-01-13,-0.048934293516403764,-0.2180441073903342,0.23324572731892237
2022-01-14,0.05425676388390956,-0.19821225296000175,0.3183949993036159
2022-01-17,0.04032839953865178,-0.2364137823804872,0.3191200630640749
2022-01-18,0.10275917827037118,-0.16164546296332638,0.2505118083120889
2022-01-19,0.011157514234513095,-0.19142863689693185,0.16519962557941742
2022-01-20,0.1114538504495603,-0.09570720834867726,0.1141470611846573
2022-01-21,0.022960547630160505,-0.06076144640664295,0.07166635917777141
2022-01-24,0.10660972389311908,-0.05597030111230629,0.1435869858790313
2022-01-25,0.20965055132876503,0.030662839334149802,0.19584226490345802
2022-01-26,0.20117197848186782,0.009586641488149894,0.24536429572971738
2022-01-27,0.2465057099850197,0.0931476732953226,0.1885331047026804
2022-01-28,0.19141497210683794,0.08433029012607363,0.2231637235548023
2022-02-07,0.20231236235731512,0.0682193792006036,0.1804824153843265
2022-02-08,0.1366243983900883,0.0834092271993422,0.07365122774629809
2022-02-09,0.13557178125546113,0.05636252851319396,0.07805633506349485
2022-02-10,0.14565237040596632,0.087413034938859,0.028673673163856227
2022-02-11,0.1714203841515366,0.10547950892143343,0.010656730317952575
2022-02-14,0.11465445016516575,0.08060533081281789,-0.011310415605045311
2022-02-15,0.1520952682892332,0.10154196794915035,0.05921258534407655
2022-02-16,0.09662436520880242,0.10843484982969698,-0.005467028459809393
2022-02-17,0.15706763365289347,0.10955469702369598,0.09921306303161306
2022-02-18,0.19213069805624977,0.15471919340110513,0.021569424151817645
2022-02-21,0.15091725331399117,0.07525142738531634,0.06961825558588629
2022-02-22,0.128886581397229,0.07867929241503328,0.05772361619765287
2022-02-23,0.1178098860963897,0.019320580534165948,0.14781305952486726
2022-02-24,0.1914969737017064,0.053922785132898644,0.2078218970324066
2022-02-25,0.1816420866094688,0.03954470999352619,0.28026465700521297
2022-02-28,0.20097387737895503,0.00821293504192417,0.29351044461811243
2022-03-01,0.12224704779649202,-0.014263152138763105,0.26349294103060894
2022-03-02,0.13656138828027406,-0.03832111276933457,0.2830870166069803
2022-03-03,0.08013824572898225,-0.06637060201483276,0.2216891970554781
2022-03-04,0.15195053910138215,-0.032817911276760786,0.29912225536337256
2022-03-07,0.08148811403003695,-0.0944344527145311,0.2555919146773867
2022-03-08,0.048573957044069846,-0.10341841977232646,0.2963384807052727
2022-03-09,0.08151999701306316,-0.16706956405094633,0.3423375680150077
2022-03-10,0.09539129866164392,-0.17863236611518904,0.36352341638021446
2022-03-11,0.08485323822980728,-0.2181016884460427,0.377129129954355
2022-03-14,0.06128827609294493,-0.20331793876378235,0.36838242401048926
2022-03-15,0.010716405953419213,-0.2686007253168487,0.39506681812827765
2022-03-16,0.03297099376404181,-0.2889290979845561,0.3623014743824704
2022-03-17,0.05903032409282267,-0.2816056644940412,0.4146810656558852
2022-03-18,0.056062028666254496,-0.3125530649360852,0.3720807975546398
2022-03-21,0.005833478986149036,-0.38301088423017654,0.3722376081983444
2022-03-22,-0.008100956148857398,-0.3765914610770502,0.36294633382334
2022-03-23,-0.01932870936201793,-0.3841214103355918,0.3656870762774482
2022-03-24,-0.04635259645520568,-0.3937268420572214,0.35936097987744076
2022-03-25,-0.1831532600797925,-0.3860538823747661,0.28308749273002554
2022-03-28,-0.23208780872139648,-0.4043252143044405,0.23478942370136513
2022-03-29,-0.21638586936878604,-0.3963782616467111,0.22551146986440074
2022-03-30,-0.1696521934586834,-0.3649265831508985,0.21788347668760458
2022-03-31,-0.18834287918372047,-0.3369286187442414,0.15641584431677313
2022-04-01,-0.11292164283717336,-0.2692427265326884,0.15296685350366676
2022-04-06,-0.17366159500015116,-0.26048526771476466,0.0744730626652035
2022-04-07,-0.21144821477768114,-0.25414280430501196,0.03995780951195699
2022-04-08,-0.14161852585336016,-0.21023116306357087,-0.0027253218436518924
2022-04-11,-0.14648560525926593,-0.213329816471409,-0.018642838871722942
2022-04-12,-0.14718348849653867,-0.19546268862219046,-0.014237163008524196
2022-04-13,-0.16112664676184527,-0.16620336638624342,-0.06787513161592462
2022-04-14,-0.08519406268349608,-0.1721958039152936,-0.07456784427294416
2022-04-15,-0.017289502399309452,-0.11015599042854794,-0.08320967668989283
2022-04-18,-0.08653119559990648,-0.12948106617968963,-0.05914854846354635
2022-04-19,-0.07425912161147818,-0.1209491163725228,-0.10709852432532233
2022-04-20,-0.14154081001710986,-0.165827003904617,-0.07031370534659882
2022-04-21,-0.09255007031891395,-0.08190324847215602,-0.039853241689771494
2022-04-22,-0.09298790331570163,-0.061992669160137744,-0.06059861571116935
2022-04-25,-0.015742726540967773,0.006532197024251194,-0.057982892474042085
2022-04-26,0.03116294524428224,-0.010109281566940187,-0.07388762736484643
2022-04-27,0.07950256767005308,-0.03186004738964001,-0.07205283923529299
2022-04-28,0.181616228957007,0.03065755647852712,-0.07475524615321752
2022-04-29,0.1641725483793686,-0.032291870210692575,-0.09064294345358921
2022-05-05,0.13843969795228747,-0.03861374660647466,-0.11679039352622952
2022-05-06,0.05813243169900715,-0.046429128104329,-0.07063964885182121
2022-05-09,-0.03504647840318879,-0.09633579074589795,-0.07248310472413362
2022-05-10,-0.07396998134440409,-0.14064966095439774,-0.021872299096845443
2022-05-11,-0.0499045884880263,-0.11481591279937779,-0.006394552932472915
2022-05-12,-0.0477764754900731,-0.09660495250877815,-0.03575782563535312
2022-05-13,-0.0933661898579686,-0.09859163847924708,-0.010595434419317075
2022-05-16,-0.14497577133546366,-0.13437941127106226,-0.00399510983154131
2022-05-17,-0.08265949634052237,-0.08396304791019184,-0.02634879431631919
2022-05-18,-0.16734890987962273,-0.10395942770382045,-0.057808847272181725
2022-05-19,-0.15767882905209402,-0.09704199604594081,-0.07493480690838142
2022-05-20,-0.104268037120781,-0.09412697646323707,-0.052159191057548
2022-05-23,-0.13681453728793594,-0.12720115590257436,-0.044593071607807046
2022-05-24,-0.09125875980734327,-0.040212483106126504,-0.07959999045828038
2022-05-25,-0.1140570454318345,-0.05633663685874504,-0.14417877649089414
2022-05-26,-0.08936910982151447,-0.019788023199997038,-0.18074339810673012
2022-05-27,-0.061092262252946075,-0.04039792412941021,-0.17377301087143718
2022-05-30,-0.06114933882423215,-0.05450683274301637,-0.14546239961168572
2022-05-31,-0.06576418149386544,-0.01753602301213245,-0.16165067387940402
2022-06-01,-0.09677636008576156,-0.029622713988066818,-0.15401239199667047
2022-06-02,-0.13648923895015938,-0.01170096059892162,-0.14266579937328028
2022-06-06,-0.1656763891531008,-0.05797241808552827,-0.07324586841246335
2022-06-07,-0.0899676850399463,-0.05117425932419611,-0.11825234709316997
2022-06-08,-0.06106445930979481,-0.029164877828040763,-0.12647089289885474
2022-06-09,0.025901971677059706,0.017214978929720747,-0.14675813657221626
2022-06-10,0.07351321214591967,0.0010910384822022839,-0.09662997399162912
2022-06-13,0.030055372553537775,-0.07450571438247162,0.022300635986281975
2022-06-14,0.12451310393184951,-0.019646200954968603,-0.013040620296767278
2022-06-15,0.14518036138951232,0.027057698229313254,-0.10632650640295782
2022-06-16,0.0872839840500184,-0.01223279309872579,-0.1189183110556339
2022-06-17,0.1794178954378838,0.004214374404873734,-0.026739032602548608
2022-06-20,0.1955844234649037,0.01464053799476023,-0.015086819132909778
2022-06-21,0.15698777104511608,0.043630593694745486,-0.0742125177698963
2022-06-22,0.1750588810531281,0.03507548445663696,-0.07424308048339166
2022-06-23,0.22201713519775051,-0.00667917549419755,-0.020802363639379352
2022-06-24,0.24777783121543426,-0.04869554032620194,0.04163029564463178
2022-06-27,0.2461439852219555,-0.03944321965196139,0.05440377762052156
2022-06-28,0.23396372689891054,0.008596434695478267,0.012748798573943634
2022-06-29,0.2514955148375351,0.09909997225380372,-0.04001350403864205
2022-06-30,0.27664019360061576,0.08990595386319089,0.008107074432898747
