trade_date,active_return,growth_return,market_return,active_return_20d,state,state_name
2021-11-08,-0.0028051170873711,-0.0016051170873711,0.0012,0.0202453583142026,1,Bull
2021-11-09,0.0014796850030045,0.0011796850030045,-0.0003,0.01750717387978451,1,Bull
2021-11-10,0.0003803193874676,-0.0049196806125324,-0.0053,0.02475511930797647,1,Bull
2021-11-11,-0.0154422303208542,0.0006577696791458,0.0161,-0.0008882750066072642,0,Bear
2021-11-12,0.0022504900684348,0.0001504900684348,-0.0021,-0.003959348392565398,0,Bear
2021-11-15,-0.0058942661860861,-0.0070942661860861,-0.0012,-0.023039837876632996,0,Bear
2021-11-16,-0.0019323267444329,-0.0017323267444329,0.0002,-0.01870499830869532,0,Bear
2021-11-17,2.7691107223799975e-05,0.0005276911072238,0.0005,-0.020174027973617004,0,Bear
2021-11-18,0.0134791668703046,0.0035791668703046,-0.0098999999999999,-0.00547279168016912,0,Bear
2021-11-19,-0.0089951810574816,0.0018048189425184,0.0108,-0.006866494060176587,0,Bear
2021-11-22,0.0038348801753143,0.0084348801753143,0.0046,-0.0026959343667380953,0,Bear
2021-11-23,-0.0006369527443534,-0.0004369527443534,0.0002,-0.008963113567080905,0,Bear
2021-11-24,-0.0021615935737929,-0.0014615935737929,0.0007,-0.027091809075338702,0,Bear
2021-11-25,0.0036039890083906,-0.0004960109916093,-0.0040999999999999,-0.02783347966974814,0,Bear
2021-11-26,0.0107946261706162,0.0033946261706162,-0.0074,-0.005660068183817812,0,Bear
2021-11-29,0.0059346959712189,0.0041346959712189,-0.0018,-0.002098509099965895,0,Bear
2021-11-30,-0.0005081270297968,-0.0045081270297968,-0.004,-0.010169576353636245,0,Bear
2021-12-01,-0.0068331330405245,-0.0044331330405246,0.0024,-0.01907747370974333,0,Bear
2021-12-02,-0.0031340971910846,-0.0006340971910846,0.0025,-0.011569939440705279,0,Bear
2021-12-03,-0.0076004771014184,0.0015995228985816,0.0092,-0.01447953932647239,0,Bear
2021-12-06,-0.0013783837535896,-0.0030783837535897,-0.0017,-0.013069509134319812,0,Bear
2021-12-07,-0.0124853554860355,-0.0064853554860355,0.006,-0.026831669736475328,0,Bear
2021-12-08,-0.0099819908368166,0.0050180091631833,0.015,-0.03691210808897516,0,Bear
2021-12-09,-0.0172763658438752,-0.0006763658438752,0.0166,-0.038706247314468256,0,Bear
2021-12-10,0.0052430563035063,0.0006430563035063,-0.0046,-0.035835971615151174,0,Bear
2021-12-13,-0.0053193401357838,0.0003806598642161,0.0056999999999999,-0.03527836189836975,0,Bear
