feature,weight,abs_weight_rank
z_stoch_k,0.6062138235155535,1
z_rsi,0.6016481729011564,2
z_macd,0.3957942950618722,3
z_ewma_active_return,0.33679929211806175,4
z_downside_deviation,0.018525568318042012,5
z_active_beta,0.009704096130737935,6
z_market_return,0.00015127914871365002,7
