trade_date,momentum_return,holdings_count,rebalance_date,market_return,active_return,active_nav,ewma_active_return,rsi,macd,stoch_k,downside_deviation,active_beta,z_ewma_active_return,z_rsi,z_macd,z_stoch_k,z_downside_deviation,z_active_beta,z_market_return
2021-06-07,0.0081904590138983,759,2021-05-31,-0.0009,0.0090904590138983,1.0860765662846696,0.0021839125539072786,62.897221058607805,0.0014479643129814614,100.0,0.004608294185570741,0.7485837807996155,-1.1694666904148023,0.39188098835995266,0.8237947952582448,0.9842851795309036,1.1292820498262914,-1.5402226075032774,-0.06330592516186148
2021-06-08,-0.0105676234086808,759,2021-05-31,-0.0086,-0.001967623408680799,1.0839395766092281,0.0020541770550764013,58.83494644123367,0.0015886119308238175,94.1167879373925,0.004614957025417876,0.7550703180385322,-1.20020840186551,-0.020659803974210713,0.9010358415145256,0.7854952898765238,1.0999806476038962,-1.3477113899279856,-0.6544818118163104
2021-06-09,0.0030930559936693,759,2021-05-31,0.0008,0.0022930559936693,1.0864251107521474,0.0020616420219074292,65.06604198002344,0.0017250877083529069,100.0,0.004614957025417876,0.7313920592187094,-1.1763154166307663,0.6107277122148148,0.9739356722443031,0.9586303912493652,1.0627515131968437,-1.6913802938524976,0.07823643164012267
2021-06-10,0.0052318941243078,759,2021-05-31,0.0067,-0.0014681058756922,1.0848301236635527,0.0019513374001074411,59.08361350282177,0.0015874532154314686,95.65067541886528,0.004370912545964696,0.6750069193592447,-1.1995255647980954,-0.005459719611248878,0.8749754343287597,0.8081477504561108,0.6082489538025131,-2.437083585935253,0.5368381766296147
2021-06-11,-0.0072286271764869,759,2021-05-31,-0.0089,0.0016713728235130997,1.0866432792503724,0.001942588507088868,59.79873826869223,0.001499108319454879,100.0,0.00433688166470148,0.681040608629431,-1.182561868310023,0.06825470915130656,0.8089898332800461,0.933828737532623,0.5356611290936382,-2.134763044476315,-0.6879979657993571
2021-06-15,-0.0068975651028628,759,2021-05-31,-0.0111,0.0042024348971372,1.0912098268878339,0.0020132087067778782,84.23603751058297,0.0016185866505228578,100.0,0.004336493324071879,0.6604630995403669,-1.1356444888536181,2.474065138844723,0.8745188991391993,0.9202561847262464,0.5251046050255304,-2.2434362675277852,-0.8519990603879936
2021-06-16,-0.0237415455848153,759,2021-05-31,-0.0167,-0.0070415455848153,1.0835260231492048,0.0017302476351655914,73.4867667679837,0.0010765834104035938,76.33850574188024,0.0044234674576539455,0.6924726654960747,-1.227621434917122,1.3653561892161554,0.5225552410040071,0.15652220620819238,0.6733031591377833,-1.6659801377384151,-1.273256729507918
2021-06-17,0.0126359121333783,759,2021-05-31,0.0042,0.008435912133378302,1.0926665534747204,0.0019397996507347385,74.80780098300743,0.0012196249858556175,100.0,0.0044234674576539455,0.7015380214230884,-1.1261245331445124,1.4602724893647236,0.6089636008425757,0.9118727493402797,0.6601105025630541,-1.4662786707254507,0.37624659935353943
2021-06-18,0.011281511886185,759,2021-05-31,0.0001,0.011181511886185,1.1048842175300349,0.0022286031580925595,78.11195289335271,0.0019781366182766123,100.0,0.0044111786994559055,0.7028593718426013,-0.9972830792737607,1.7310693728506499,1.083526097284545,0.8994778154734986,0.6250781123999679,-1.390253117316178,0.04985116232322918
2021-06-21,0.0136299694623705,759,2021-05-31,-0.0024,0.0160299694623705,1.1225954777964964,0.002659895855101245,78.90882060477792,0.003428730428281042,100.0,0.0044111786994559055,0.6937078366862176,-0.8159984065420567,1.7525711235766492,1.9554135224004277,0.8875749655199657,0.6139445043408774,-1.4582505665477656,-0.14928644049166193
2021-06-22,0.0078865795546113,759,2021-05-31,0.0062,0.001686579554611301,1.124488824377447,0.0026294797207109337,78.06144230998517,0.004219788346736198,100.0,0.0044111786994559055,0.6922837012613829,-0.8191328977357892,1.6262734386852753,2.350176151447768,0.8761324782560669,0.6033853810218242,-1.421297990380317,0.5391319663569163
2021-06-23,0.0074542227077189,759,2021-05-31,0.0049,0.0025542227077189,1.1273610192672479,0.0026271279390549327,82.86678758741965,0.004608843443540156,100.0,0.0044111786994559055,0.7153143487999071,-0.8113118945740319,2.0022407171870023,2.468531590014145,0.8651214233546309,0.593352978349421,-1.073842538791018,0.430582244801067
2021-06-24,-0.0085211832679862,759,2021-05-31,0.0017000000000000001,-0.010221183267986201,1.1158380556801337,0.0022256182138348972,71.59431948461574,0.00379636617800159,77.4362363135447,0.004595301138836627,0.7018032350990056,-0.960735367983012,0.950960741436328,1.9265406469394644,0.12613324878259907,0.9318756303624538,-1.2220573201895808,0.16905568756306313
