from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,502,0.9653846153846154,Bear,Bear
0,1,18,0.03461538461538462,Bear,Bull
1,0,18,0.0288,Bull,Bear
1,1,607,0.9712,Bull,Bull
