trade_date,momentum_return,holdings_count,rebalance_date
2021-08-06,0.0074891837406714,768,2021-07-30
2021-08-09,0.0067132670333095,768,2021-07-30
2021-08-10,0.010232443839119,768,2021-07-30
2021-08-11,0.0129800040310996,768,2021-07-30
2021-08-12,0.0042273605618748,768,2021-07-30
2021-08-13,0.0034290120667486,768,2021-07-30
2021-08-16,-0.0069306320056535,768,2021-07-30
2021-08-17,-0.0291429468493256,768,2021-07-30
2021-08-18,0.0056958818923705,768,2021-07-30
2021-08-19,0.0019858953996636,768,2021-07-30
2021-08-20,-0.0036391298336665,768,2021-07-30
2021-08-23,0.0290909046103974,768,2021-07-30
2021-08-24,0.011471522995978,768,2021-07-30
2021-08-25,0.0116111776492892,768,2021-07-30
2021-08-26,-0.0068577717688965,768,2021-07-30
2021-08-27,0.0052549402740286,768,2021-07-30
2021-08-30,0.007025917518212,768,2021-07-30
2021-08-31,0.0009091409869334,768,2021-07-30
2021-09-01,-0.0263595427382127,778,2021-08-31
2021-09-02,0.0189718040383273,778,2021-08-31
2021-09-03,-0.0124472419310448,778,2021-08-31
2021-09-06,0.0084766018541712,778,2021-08-31
2021-09-07,0.0210762196561917,778,2021-08-31
2021-09-08,0.0027747522692692,778,2021-08-31
2021-09-09,0.0016797263516474,778,2021-08-31
2021-09-10,0.0036756360922205,778,2021-08-31
2021-09-13,0.0050111308604864,778,2021-08-31
2021-09-14,0.0001184266236842,778,2021-08-31
2021-09-15,0.009834758467633,778,2021-08-31
2021-09-16,-0.0265323793783614,778,2021-08-31
2021-09-17,-0.0049775937758418,778,2021-08-31
2021-09-22,0.0056452525724945,778,2021-08-31
2021-09-23,-0.0018553737379348,778,2021-08-31
2021-09-24,-0.0192775422705898,778,2021-08-31
2021-09-27,-0.0352163008715006,778,2021-08-31
2021-09-28,-0.0002039042436291,778,2021-08-31
2021-09-29,-0.0367293139117211,778,2021-08-31
2021-09-30,0.0313098989943216,778,2021-08-31
2021-10-08,-0.0058521477364884,790,2021-09-30
2021-10-11,-0.0058040791863624,790,2021-09-30
2021-10-12,-0.0251081304809712,790,2021-09-30
2021-10-13,0.0087537426548662,790,2021-09-30
2021-10-14,0.0152991173678388,790,2021-09-30
2021-10-15,0.0009617002908179,790,2021-09-30
2021-10-18,0.0213464080896855,790,2021-09-30
2021-10-19,0.0105388864636076,790,2021-09-30
2021-10-20,0.003629194163705,790,2021-09-30
2021-10-21,-0.0021473566876087,790,2021-09-30
2021-10-22,-0.0172986503479687,790,2021-09-30
2021-10-25,0.0199206031954749,790,2021-09-30
2021-10-26,-0.0001252418993002,790,2021-09-30
2021-10-27,-0.0073712130159344,790,2021-09-30
2021-10-28,-0.0282115445015549,790,2021-09-30
2021-10-29,0.0138693770818441,790,2021-09-30
2021-11-01,0.0089551797273696,803,2021-10-29
2021-11-02,-0.0213999562955283,803,2021-10-29
2021-11-03,3.4220077719635124e-05,803,2021-10-29
2021-11-04,0.0138572241939733,803,2021-10-29
2021-11-05,-0.0249703275449944,803,2021-10-29
2021-11-08,0.0101406859000636,803,2021-10-29
2021-11-09,0.0128031869272135,803,2021-10-29
2021-11-10,-0.002263949519971,803,2021-10-29
2021-11-11,0.0060099212328291,803,2021-10-29
2021-11-12,0.0079337216974497,803,2021-10-29
2021-11-15,-0.0080195873044303,803,2021-10-29
2021-11-16,-0.012289569874828,803,2021-10-29
2021-11-17,0.0229831043623475,803,2021-10-29
2021-11-18,0.0067871982858324,803,2021-10-29
2021-11-19,0.0120797248868122,803,2021-10-29
2021-11-22,0.0188787336644693,803,2021-10-29
2021-11-23,0.0010001353314021,803,2021-10-29
2021-11-24,-0.0006012548047744,803,2021-10-29
2021-11-25,-0.001971625118193,803,2021-10-29
2021-11-26,0.0051367899220472,803,2021-10-29
2021-11-29,0.0057720182008897,803,2021-10-29
2021-11-30,0.0038358977110873,803,2021-10-29
2021-12-01,0.0040614364755912,808,2021-11-30
2021-12-02,-0.0096086731839576,808,2021-11-30
2021-12-03,0.0084515549007158,808,2021-11-30
2021-12-06,-0.0113908179677792,808,2021-11-30
2021-12-07,-0.013936196783914,808,2021-11-30
2021-12-08,0.0159918393242679,808,2021-11-30
2021-12-09,-0.0037207164555031,808,2021-11-30
2021-12-10,0.0077492108970487,808,2021-11-30
2021-12-13,0.0049883067676571,808,2021-11-30
2021-12-14,-0.0044834092474025,808,2021-11-30
2021-12-15,-0.0021645532049745,808,2021-11-30
2021-12-16,0.0076562891433777,808,2021-11-30
2021-12-17,-0.0139704900360717,808,2021-11-30
2021-12-20,-0.0238458907909865,808,2021-11-30
2021-12-21,0.0095580654780084,808,2021-11-30
2021-12-22,0.006487585865565,808,2021-11-30
2021-12-23,0.0042439609356044,808,2021-11-30
2021-12-24,-0.024916368268029,808,2021-11-30
2021-12-27,-0.0029913014995776,808,2021-11-30
2021-12-28,0.0094348652767241,808,2021-11-30
2021-12-29,-0.0020818624099614,808,2021-11-30
2021-12-30,0.0041028017659181,808,2021-11-30
2021-12-31,0.0073068749539767,808,2021-11-30
2022-01-04,-0.0109842385040267,812,2021-12-31
2022-01-05,-0.027903744406994,812,2021-12-31
2022-01-06,0.0098341603051664,812,2021-12-31
2022-01-07,-0.0228440532259143,812,2021-12-31
2022-01-10,0.0009010460337167,812,2021-12-31
2022-01-11,-0.0099097153081006,812,2021-12-31
2022-01-12,0.020102488608875,812,2021-12-31
2022-01-13,-0.020056355770985,812,2021-12-31
2022-01-14,0.0041653050297641,812,2021-12-31
2022-01-17,0.0117808868551795,812,2021-12-31
2022-01-18,-0.0045836711341277,812,2021-12-31
2022-01-19,-0.0158869532799164,812,2021-12-31
2022-01-20,-0.026731895623111,812,2021-12-31
2022-01-21,-0.0094325348179638,812,2021-12-31
2022-01-24,0.0118539426603964,812,2021-12-31
2022-01-25,-0.0358696714240791,812,2021-12-31
2022-01-26,0.0076223196692752,812,2021-12-31
2022-01-27,-0.0273016501359561,812,2021-12-31
2022-01-28,0.0033270574855434,812,2021-12-31
2022-02-07,0.0125353057919114,823,2022-01-28
2022-02-08,0.0031607594368866,823,2022-01-28
