trade_date,active_return,momentum_return,market_return,state,state_name
2021-09-27,-0.0410163008715006,-0.0352163008715006,0.0058,0,Bear
2021-09-28,-0.001503904243629,-0.0002039042436291,0.0013,0,Bear
2021-09-29,-0.0265293139117211,-0.0367293139117211,-0.0102,0,Bear
2021-09-30,0.0246098989943216,0.0313098989943216,0.0067,0,Bear
2021-10-08,-0.0189521477364884,-0.0058521477364884,0.0131,0,Bear
2021-10-11,-0.0071040791863624,-0.0058040791863624,0.0013,0,Bear
2021-10-12,-0.0145081304809712,-0.0251081304809712,-0.0106,0,Bear
2021-10-13,-0.0027462573451338,0.0087537426548662,0.0115,0,Bear
2021-10-14,0.0206991173678388,0.0152991173678388,-0.0054,0,Bear
2021-10-15,-0.0028382997091821,0.0009617002908179,0.0038,0,Bear
2021-10-18,0.0329464080896855,0.0213464080896855,-0.0116,0,Bear
2021-10-19,0.0007388864636075,0.0105388864636076,0.0098,0,Bear
2021-10-20,0.006129194163705,0.003629194163705,-0.0025,0,Bear
2021-10-21,-0.0057473566876086,-0.0021473566876087,0.0036,0,Bear
2021-10-22,-0.0236986503479687,-0.0172986503479687,0.0064,0,Bear
2021-10-25,0.0159206031954749,0.0199206031954749,0.004,0,Bear
2021-10-26,0.0031747581006998,-0.0001252418993002,-0.0033,0,Bear
2021-10-27,0.0057287869840656,-0.0073712130159344,-0.0131,0,Bear
2021-10-28,-0.0213115445015549,-0.0282115445015549,-0.0069,0,Bear
2021-10-29,0.0046693770818441,0.0138693770818441,0.0092,0,Bear
2021-11-01,0.0126551797273696,0.0089551797273696,-0.0037,0,Bear
2021-11-02,-0.0109999562955283,-0.0213999562955283,-0.0104,0,Bear
2021-11-03,0.0039342200777196,3.4220077719635124e-05,-0.0039,0,Bear
2021-11-04,0.0039572241939733,0.0138572241939733,0.0098999999999999,0,Bear
2021-11-05,-0.0195703275449944,-0.0249703275449944,-0.0054,0,Bear
2021-11-08,0.0089406859000636,0.0101406859000636,0.0012,0,Bear
2021-11-09,0.0131031869272135,0.0128031869272135,-0.0003,0,Bear
2021-11-10,0.003036050480029,-0.002263949519971,-0.0053,0,Bear
2021-11-11,-0.0100900787671708,0.0060099212328291,0.0161,0,Bear
2021-11-12,0.0100337216974497,0.0079337216974497,-0.0021,0,Bear
2021-11-15,-0.0068195873044303,-0.0080195873044303,-0.0012,0,Bear
