日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2022-11-25,SZ000005,ST星源,1.81,6273101,1057946242,1058536842,191595.168402
2022-11-25,SH600654,中安科,2.54,3608702,755043154,1283020992,325887.331968
2022-11-25,SH600651,飞乐音响,3.41,7566780,1241584875,2507028015,854896.553115
2022-11-25,SH600602,云赛智联,6.55,9885883,1074302990,1367673455,895826.113025
2022-11-25,SH600601,方正科技,2.8,52556654,2194891204,2194891204,614569.53712
2022-11-25,SH600653,申华控股,1.99,10634578,1946380317,1946380317,387329.683083
2022-11-25,SZ000004,*ST国华,10,6612636,116328474,132848008,132848.008
2022-11-25,SZ000002,万  科Ａ,17.32,246898619,9717360740,11630709471,20144388.803772
2022-11-25,SZ000001,平安银行,12.17,176072817,19405546950,19405918198,23617002.446966
2022-11-25,SZ000009,中国宝安,12.97,27164963,2551430324,2579213965,3345240.512605
2022-11-25,SH600603,广汇物流,7.81,13762900,1254820847,1254820847,980015.081507
2022-11-25,SZ000012,南  玻Ａ,7.09,22671022,1956774751,3070692107,2177120.703863
2022-11-25,SZ000016,深康佳Ａ,4.92,5896766,1596567800,2407945408,1184709.140736
2022-11-25,SH600605,汇通能源,11.07,11291339,206282429,206282429,228354.648903
2022-11-25,SH600608,*ST沪科,4.73,923651,318371441,328861441,155551.461593
2022-11-25,SH600604,市北高新,5.14,19990867,1407454804,1873304804,962878.669256
2022-11-25,SH600606,绿地控股,3.14,250836843,14054218314,14054218314,4413024.550596
2022-11-25,SZ000011,深物业A,10.62,12583885,526475543,595979092,632929.795704
2022-11-25,SZ000017,深中华A,4.33,6416595,302981008,689184933,298417.075989
2022-11-25,SZ000007,全新好,7.8,11771812,308948044,346448044,270229.47432
2022-11-25,SZ000006,深振业Ａ,4.39,56439460,1349995046,1349995046,592647.825194
2022-11-25,SZ000020,深华发Ａ,9.45,2080200,181165391,283161227,267587.359515
2022-11-25,SZ000008,神州高铁,2.43,17672424,2694491711,2780795346,675733.269078
2022-11-25,SZ000014,沙河股份,9.96,46566830,242046224,242046224,241078.039104
2022-11-25,SH600609,金杯汽车,4.26,4295000,1092667132,1311200558,558571.437708
2022-11-25,SH600611,大众交通,2.94,5080852,1563316364,2364122864,695052.122016
2022-11-25,SH600612,老凤祥,40.15,428000,317109630,523117764,2100317.82246
2022-11-25,SH600655,豫园股份,7.04,9442425,3884603814,3890564914,2738957.699456
2022-11-25,SH600616,金枫酒业,5.95,5021437,669004950,669004950,398057.94525
2022-11-25,SZ000019,深粮控股,7.35,4787409,416184832,1152535254,847113.41169
2022-11-25,SH600618,氯碱化工,10.29,3637148,749839976,1156399976,1189935.575304
2022-11-25,SH600619,海立股份,5.91,3933400,712180384,1084419906,640892.164446
2022-11-25,SH600620,天宸股份,10.92,1191802,686677113,686677113,749851.407396
2022-11-25,SZ000501,武商集团,9.87,5894752,768073142,768992731,758995.825497
2022-11-25,SZ000503,国新健康,10.79,12837971,898779932,907215204,978885.205116
2022-11-25,SH600621,华鑫股份,11.47,7604164,1060899292,1060899292,1216851.487924
2022-11-25,SH600622,光大嘉宝,3.26,112682739,1499685402,1499685402,488897.441052
2022-11-25,SH600623,华谊集团,6.37,10327063,1862196763,2131449598,1357733.393926
2022-11-25,SZ000504,*ST生物,12.65,1249100,310673201,311573901,394140.984765
2022-11-25,SZ000505,京粮控股,7.99,7356403,620815364,726950251,580833.250549
2022-11-25,SH600624,ST复华,6.16,14975690,684712010,684712010,421782.59816
2022-11-25,SH600626,申达股份,3.69,6980084,852291316,1107978710,408844.14399
2022-11-25,SH600628,新世界,6.88,1491500,646875384,646875384,445050.264192
2022-11-25,SH600630,龙头股份,5.91,46551632,424861597,424861597,251093.203827
2022-11-25,SH600635,大众公用,3.06,11550785,2418791675,2952434675,903445.01055
2022-11-25,SH600637,东方明珠,6.55,9245943,3414500201,3414500201,2236497.631655
2022-11-25,SH600636,*ST国化,10.58,56631270,440449035,440449035,465995.07903
2022-11-25,SH600638,新黄浦,6.16,19128042,673396786,673396786,414812.420176
2022-11-25,SH600639,浦东金桥,11.46,9381495,850236703,1122412893,1286285.175378
2022-11-25,SZ000507,珠海港,5.8,7424600,902337753,919734895,533446.2391
2022-11-25,SH600641,先导基电,18.36,14177500,957930404,957930404,1758760.221744
