factor,sample_start,sample_end,cutoff_date_exclusive,sample_length,switch_count,regime_count,switch_frequency,average_state_duration,duration_variance,longest_regime_ratio,z_switch_frequency,z_average_state_duration,z_duration_variance,z_longest_regime_ratio,sss,stability_rank
size,2020-04-16,2024-05-31,2024-06-01,994,10,11,0.010070493454179255,90.36363636363636,6224.776859504131,0.3058350100603622,-1.4016199374573526,2.186551338823082,2.433843139245326,2.279046787534646,0.8583437311424388,1
value,2020-10-09,2024-05-31,2024-06-01,880,17,18,0.019340159271899887,48.888888888888886,947.2098765432098,0.15113636363636362,-0.9335628231082796,0.5051174545213202,-0.17993456297442653,0.2333873839916545,0.4630005561489202,2
liquidity,2020-04-29,2024-05-31,2024-06-01,990,26,27,0.0262891809908999,36.666666666666664,485.1111111111111,0.08888888888888889,-0.5826829621400053,0.009614531967707864,-0.40879446247153517,-0.5897428437607626,0.10283727820462146,3
growth,2021-10-12,2024-05-31,2024-06-01,641,24,25,0.0375,25.64,607.5904,0.1294851794071763,-0.016610387564774856,-0.4374191956161146,-0.3481351406069168,-0.05291730994138735,-0.03139774434645257,4
momentum,2021-06-02,2024-05-31,2024-06-01,726,31,32,0.04275862068965517,22.6875,456.58984375,0.11570247933884298,0.24891534700389192,-0.5571169357029861,-0.42291995872922467,-0.23517300934629704,-0.1545713333309876,5
quality,2020-10-09,2024-05-31,2024-06-01,884,52,53,0.05889014722536806,16.67924528301887,237.01032395870408,0.07692307692307693,1.0634512654311974,-0.8006984806611325,-0.5316693226970529,-0.7479729015842886,-0.5201133312448913,6
lowvol,2020-10-26,2024-05-31,2024-06-01,873,61,62,0.06995412844036697,14.080645161290322,215.3644640998959,0.06643757159221077,1.6221094978353217,-0.9060487133318781,-0.5423896917661697,-0.886628106893564,-0.7180991565736485,7
