日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2025-08-21,SH600654,中安科,3.64,95127884,2315511746,2876607560,1047085.15184
2025-08-21,SH600651,飞乐音响,7.19,157864456,2507028015,2507028015,1802553.142785
2025-08-21,SH600602,云赛智联,23.43,44098524,1074302990,1367673455,3204458.905065
2025-08-21,SH600601,方正科技,7.17,397813977,4170293287,4273742887,3064273.649979
2025-08-21,SH600653,申华控股,2.03,58544019,1946380317,1946380317,395115.204351
2025-08-21,SZ000004,*ST国华,10.16,5668309,126288093,132380282,134498.366512
2025-08-21,SZ000002,万  科Ａ,6.56,129478430,9716935865,11930709471,7826545.412976
2025-08-21,SZ000001,平安银行,12.15,121741825,19405571850,19405918198,23578190.61057
2025-08-21,SZ000009,中国宝安,9.5,29737112,2576020465,2579213965,2450253.26675
2025-08-21,SH600603,广汇物流,8.86,16628979,1193329151,1193329151,1057289.627786
2025-08-21,SZ000012,南  玻Ａ,4.89,41299972,1959316598,3070692107,1501568.440323
2025-08-21,SZ000016,深康佳Ａ,5.56,97603557,1596593800,2407945408,1338817.646848
2025-08-21,SH600605,汇通能源,35.05,4708800,206282429,206282429,723019.913645
2025-08-21,SH600608,*ST沪科,4.24,3046600,318371441,328861441,139437.250984
2025-08-21,SH600604,市北高新,6.1,58497486,1407454804,1873304804,1142715.93044
2025-08-21,SH600606,绿地控股,1.94,154021551,14054218314,14054218314,2726518.352916
2025-08-21,SZ000011,深物业A,9.51,23444765,526475543,595979092,566776.116492
2025-08-21,SZ000017,深中华A,6.76,26166163,302984965,689184933,465889.014708
2025-08-21,SZ000007,全新好,7.8,11553700,346448044,346448044,270229.47432
2025-08-21,SZ000006,深振业Ａ,7.36,55341355,1349987396,1349995046,993596.353856
2025-08-21,SZ000020,深华发Ａ,14.41,4954910,181165391,283161227,408035.328107
2025-08-21,SZ000008,神州高铁,3,198937442,2716233929,2716377683,814913.3049
2025-08-21,SZ000014,沙河股份,15.44,26033573,242046224,242046224,373719.369856
2025-08-21,SH600609,金杯汽车,5.16,30120866,1304558558,1304558558,673152.215928
2025-08-21,SH600611,大众交通,6.47,76679882,1563316364,2364122864,1529587.493008
2025-08-21,SH600612,老凤祥,47.82,1883323,317109630,523117764,2501549.147448
2025-08-21,SH600655,豫园股份,5.99,21152567,3889846273,3896943613,2334269.224187
2025-08-21,SH600616,金枫酒业,5.89,26252027,669004950,669004950,394043.91555
2025-08-21,SZ000019,深粮控股,7.05,13918990,416216407,1152535254,812537.35407
2025-08-21,SH600618,氯碱化工,10.6,12702182,749839976,1156399976,1225783.97456
2025-08-21,SH600619,海立股份,21.18,111066514,789174798,1073344406,2273343.451908
2025-08-21,SH600620,天宸股份,6.45,10216821,686677113,686677113,442906.737885
2025-08-21,SZ000501,武商集团,11.37,60390963,768293891,768992731,874344.735147
2025-08-21,SZ000503,国新健康,10.94,16490470,979193200,981312532,1073555.910008
2025-08-21,SH600621,华鑫股份,17.23,74125970,1060899292,1060899292,1827929.480116
2025-08-21,SH600622,光大嘉宝,3.11,50957541,1499685402,1499685402,466402.160022
2025-08-21,SH600623,华谊集团,8.67,23956037,1871841976,2122831280,1840494.71976
2025-08-21,SZ000504,*ST生物,10.18,4837855,329117898,330023098,335963.513764
2025-08-21,SZ000505,京粮控股,6.8,14628467,622515364,726950251,494326.17068
2025-08-21,SH600624,ST复华,7.42,17792855,679346942,679346942,504075.430964
2025-08-21,SH600626,申达股份,4.31,24179786,1107978710,1320744667,569240.951477
2025-08-21,SH600628,新世界,7.63,12813105,646875384,646875384,493565.917992
2025-08-21,SH600630,龙头股份,8.82,10291001,424861597,424861597,374727.928554
2025-08-21,SH600635,大众公用,4.19,40250660,2418791675,2952434675,1237070.128825
2025-08-21,SH600637,东方明珠,8.52,115617661,3361899817,3361899817,2864338.644084
2025-08-21,SH600636,*ST国化,8.86,4249031,438636802,438636802,388632.206572
2025-08-21,SH600638,新黄浦,6.07,15246740,673396786,673396786,408751.849102
2025-08-21,SH600639,浦东金桥,10.64,4957400,850236703,1122412893,1194247.318152
2025-08-21,SZ000507,珠海港,5.62,17899669,902332186,919734895,516891.01099
2025-08-21,SH600641,先导基电,15.28,26812169,930629920,930629920,1422002.51776
2025-08-21,SH600640,国脉文化,12.97,6151370,795695940,795695940,1032017.63418
2025-08-21,SH600642,申能股份,8.2,30986204,4879040506,4894094676,4013157.63432
2025-08-21,SH600644,乐山电力,12.89,34607252,578320818,578320818,745455.534402
2025-08-21,SH600643,爱建集团,6.35,95779272,1590351716,1593170778,1011663.44403
2025-08-21,SH600648,外高桥,11.37,5484942,934791624,1359912218,1546220.191866
2025-08-21,SH600645,中源协和,28.51,22483933,467770165,467948890,1334122.28539
2025-08-21,SZ000509,华塑控股,3.56,12990475,1073124808,1073128052,382033.586512
2025-08-21,SZ000510,新金路,5.67,70865803,606664817,648543589,367724.214963
2025-08-21,SH600649,城投控股,4.68,22199833,2504500768,2504500768,1172106.359424
2025-08-21,SH600657,信达地产,4.09,32015338,2851878595,2851878595,1166418.345355
2025-08-21,SH600658,电子城,8.43,202113670,1118585045,1118585045,942967.192935
2025-08-21,SZ000026,飞亚达,18.97,18156650,364769323,405764007,769734.321279
2025-08-21,SH600650,锦江在线,16.85,11273472,390560075,551610107,929463.030295
2025-08-21,SH600660,福耀玻璃,64.7,75375508,2002986332,2609743532,16885040.65204
2025-08-21,SH600662,外服控股,5.67,14181782,2270080651,2283496485,1294742.506995
2025-08-21,SH600661,昂立教育,11.32,8526580,286548830,286548830,324373.27556
2025-08-21,SZ000025,特  力Ａ,17.76,10423517,392778320,431058320,765559.57632
2025-08-21,SH600663,陆家嘴,8.71,16232739,3155683662,5035153679,4385618.854409
2025-08-21,SH600664,哈药股份,4.02,50763085,2518509876,2518509876,1012440.970152
2025-08-21,SH600665,天地源,3.52,11242185,864122521,864122521,304171.127392
2025-08-21,SH600666,奥瑞德,4.03,206960893,2419752935,2763512843,1113695.675729
2025-08-21,SZ000514,渝 开 发,5.78,33488493,843770965,843770965,487699.61777
2025-08-21,SH600668,尖峰集团,12.33,11536841,412900594,412900594,509106.432402
2025-08-21,SH600667,太极实业,6.98,36768529,2106190178,2106190178,1470120.744244
2025-08-21,SZ000516,国际医学,5.46,34554387,2204856269,2238896753,1222437.627138
2025-08-21,SZ000028,国药一致,25.98,5865173,478053712,556565077,1445956.070046
2025-08-21,SH600671,天目药业,17.5,21650425,121720533,121778885,213113.04875
2025-08-21,SH600600,青岛啤酒,68.57,9241401,709125943,1364196788,9354297.375316
2025-08-21,SZ000027,深圳能源,6.92,22346875,4757389916,4757389916,3292113.821872
2025-08-21,SZ000029,深深房Ａ,25.99,9568089,891660000,1011660000,2629304.34
2025-08-21,SH600673,东阳光,18.36,77113449,3001557927,3009555059,5525543.088324
