日期,代码,名称,日收盘价,日交易量,流通股本,总股本,总市值(万)
2023-03-08,SZ000005,ST星源,1.82,9405994,1057946242,1058536842,192653.705244
2023-03-08,SH600654,中安科,2.53,5600837,2282022162,2810000000,710930
2023-03-08,SH600651,飞乐音响,3.52,8160743,1241584875,2507028015,882473.86128
2023-03-08,SH600602,云赛智联,11.85,69461015,1074302990,1367673455,1620693.044175
2023-03-08,SH600601,方正科技,2.55,10159926,4170293287,4170293287,1063424.788185
2023-03-08,SH600653,申华控股,1.91,12924840,1946380317,1946380317,371758.640547
2023-03-08,SZ000004,*ST国华,9.93,1543800,118916853,132848008,131918.071944
2023-03-08,SZ000002,万  科Ａ,16.09,80101868,9717360740,11630709471,18713811.538839
2023-03-08,SZ000001,平安银行,13.53,109689791,19405546950,19405918198,26256207.321894
2023-03-08,SZ000009,中国宝安,12.4,13332149,2551430324,2579213965,3198225.3166
2023-03-08,SH600603,广汇物流,7.93,7442800,1254820847,1254820847,995072.931671
2023-03-08,SZ000012,南  玻Ａ,6.8,14186967,1956774751,3070692107,2088070.63276
2023-03-08,SZ000016,深康佳Ａ,4.7,8129064,1596567800,2407945408,1131734.34176
2023-03-08,SH600605,汇通能源,10.83,7139400,206282429,206282429,223403.870607
2023-03-08,SH600608,*ST沪科,4.92,1546300,318371441,328861441,161799.828972
2023-03-08,SH600604,市北高新,5.23,3747068,1407454804,1873304804,979738.412492
2023-03-08,SH600606,绿地控股,3.08,39658501,14054218314,14054218314,4328699.240712
2023-03-08,SZ000011,深物业A,11.25,4445929,526475543,595979092,670476.4785
2023-03-08,SZ000017,深中华A,4.72,3607420,302981008,689184933,325295.288376
2023-03-08,SZ000007,全新好,7.68,1711300,308948044,346448044,266072.097792
2023-03-08,SZ000006,深振业Ａ,5.56,17931311,1349995046,1349995046,750597.245576
2023-03-08,SZ000020,深华发Ａ,10.1,1145367,181165391,283161227,285992.83927
2023-03-08,SZ000008,神州高铁,2.56,18150184,2630074048,2716377683,695392.686848
2023-03-08,SZ000014,沙河股份,9.9,3024340,242046224,242046224,239625.76176
2023-03-08,SH600609,金杯汽车,4.29,5155398,1092667132,1311200558,562505.039382
2023-03-08,SH600611,大众交通,3.16,6079879,1563316364,2364122864,747062.825024
2023-03-08,SH600612,老凤祥,51.49,1364930,317109630,523117764,2693533.366836
2023-03-08,SH600655,豫园股份,7.61,7741244,3887524715,3899930914,2967847.425554
2023-03-08,SH600616,金枫酒业,7.48,6404363,669004950,669004950,500415.7026
2023-03-08,SZ000019,深粮控股,8.18,10003755,416184832,1152535254,942773.837772
2023-03-08,SH600618,氯碱化工,10.38,2325766,749839976,1156399976,1200343.175088
2023-03-08,SH600619,海立股份,6.51,9749300,789174798,1084419906,705957.358806
2023-03-08,SH600620,天宸股份,12.7,2740800,686677113,686677113,872079.93351
2023-03-08,SZ000501,武商集团,11.96,11536313,768073142,768992731,919715.306276
2023-03-08,SZ000503,国新健康,10.44,9003860,898779932,906413204,946295.384976
2023-03-08,SH600621,华鑫股份,11.85,8978429,1060899292,1060899292,1257165.66102
2023-03-08,SH600622,光大嘉宝,3.41,14945526,1499685402,1499685402,511392.722082
2023-03-08,SH600623,华谊集团,6.93,5048368,1862196763,2131449598,1477094.571414
2023-03-08,SZ000504,*ST生物,11.49,1079200,310673201,311573901,357998.412249
2023-03-08,SZ000505,京粮控股,8.46,6549161,620815364,726950251,614999.912346
2023-03-08,SH600624,ST复华,6.2,5707523,684712010,684712010,424521.4462
2023-03-08,SH600626,申达股份,3.76,3242700,852291316,1107978710,416599.99496
2023-03-08,SH600628,新世界,7.52,1816838,646875384,646875384,486450.288768
2023-03-08,SH600630,龙头股份,5.73,4293376,424861597,424861597,243445.695081
2023-03-08,SH600635,大众公用,3.14,6475777,2418791675,2952434675,927064.48795
2023-03-08,SH600637,东方明珠,7.3,26273602,3414500201,3414500201,2492585.14673
2023-03-08,SH600636,*ST国化,10.43,5395467,440449035,440449035,459388.343505
2023-03-08,SH600638,新黄浦,5.81,1963040,673396786,673396786,391243.532666
2023-03-08,SH600639,浦东金桥,11.74,2255754,850236703,1122412893,1317712.736382
2023-03-08,SZ000507,珠海港,5.91,5714016,902337753,919734895,543563.322945
2023-03-08,SH600641,先导基电,19.37,21194746,930629920,930629920,1802630.15504
2023-03-08,SH600640,国脉文化,11.74,8785679,795695940,795695940,934147.03356
2023-03-08,SH600642,申能股份,6.09,29134260,4864938286,4909428286,2989841.826174
2023-03-08,SH600644,乐山电力,7.66,4295100,538400659,538400659,412414.904794
2023-03-08,SH600643,爱建集团,5.74,4017790,1619103390,1621922452,930983.487448
2023-03-08,SZ000023,*ST深天,10.83,1514800,138752021,138756240,150273.00792
2023-03-08,SH600647,退市同达,15.31,21127851,139143550,139143550,213028.77505
2023-03-08,SH600648,外高桥,12.36,3966629,934791624,1135349124,1403291.517264
2023-03-08,SH600645,中源协和,17.96,2637906,467770165,467948890,840436.20644
2023-03-08,SZ000509,华塑控股,4.07,5615100,1073109808,1073128052,436763.117164
2023-03-08,SZ000510,新金路,6.14,5223900,568475282,609182254,374037.903956
2023-03-08,SH600649,城投控股,4.06,6353362,2529575634,2529575634,1027007.707404
2023-03-08,SH600657,信达地产,5.16,12583470,2851878595,2851878595,1471569.35502
2023-03-08,SH600658,电子城,5.15,8791601,1118585045,1118585045,576071.298175
2023-03-08,SZ000026,飞亚达,11.6,4089254,362900663,417627960,484448.4336
2023-03-08,SH600650,锦江在线,10.93,2489100,390560075,551610107,602909.846951
2023-03-08,SH600660,福耀玻璃,36.37,7979362,2002986332,2609743532,9491637.225884
2023-03-08,SH600662,外服控股,6.31,6444968,1053362191,2284199650,1441329.97915
2023-03-08,SH600661,昂立教育,10.42,5385600,286548830,286548830,298583.88086
2023-03-08,SZ000025,特  力Ａ,18.65,4386453,392778320,431058320,803923.7668
2023-03-08,SH600663,陆家嘴,10.01,3037508,2933461440,4034197440,4038231.63744
2023-03-08,SH600664,哈药股份,3.21,19502987,2517198876,2525877076,810806.541396
2023-03-08,SH600665,天地源,3.89,5211200,864122521,864122521,336143.660669
2023-03-08,SH600666,奥瑞德,3.21,0,2419752935,2763512843,887087.622603
2023-03-08,SZ000514,渝 开 发,4.26,4902801,843770965,843770965,359446.43109
2023-03-08,SH600668,尖峰集团,13.15,2806199,344083828,344083828,452470.23382
2023-03-08,SH600667,太极实业,5.7,10414524,2106190178,2106190178,1200528.40146
2023-03-08,SZ000516,国际医学,11.5,25785792,1899767976,2275255232,2616543.5168
2023-03-08,SZ000028,国药一致,43.24,11368196,367733625,428126983,1851221.074492
2023-03-08,SH600671,天目药业,9.3,526801,121720533,121778885,113254.36305
2023-03-08,SH600600,青岛啤酒,113.7,3896825,700273045,1364232790,15511326.8223
2023-03-08,SZ000027,深圳能源,6.3,12524085,4757389916,4757389916,2997155.64708
2023-03-08,SZ000029,深深房Ａ,12.74,5623269,891660000,1011660000,1288854.84
2023-03-08,SH600673,东阳光,9.11,15995275,2997264327,3013897259,2745660.402949
2023-03-08,SH600675,中华企业,3.02,7478880,6096135252,6096135252,1841032.846104
2023-03-08,SH600674,川投能源,13.01,7209352,4460581221,4460581221,5803216.168521
2023-03-08,SH600676,交运股份,4.13,7592070,1028492944,1028492944,424767.585872
2023-03-08,SZ000030,富奥股份,5.1,3610198,1692209461,1741643085,888237.97335
2023-03-08,SZ000031,大悦城,3.71,8148100,4002887169,4286313339,1590222.248769
2023-03-08,SH600678,四川金顶,6.1,3834600,348990000,348990000,212883.9
2023-03-08,SZ000519,中兵红箭,25.6,170111002,1391500582,1392558982,3564950.99392
2023-03-08,SH600679,上海凤凰,8.86,884711,294713416,515294257,456550.711702
2023-03-08,SH600682,南京新百,9.42,3909400,1165060275,1346132221,1268056.552182
2023-03-08,SZ000521,长虹美菱,5.12,9795856,875808809,1029923715,527320.94208
2023-03-08,SH600683,京投发展,5.04,7272300,740777597,740777597,373351.908888
2023-03-08,SH600684,珠江股份,3.77,8882899,853460723,853460723,321754.692571
2023-03-08,SH600685,中船防务,25.7,15001692,821435181,1413506378,3632711.39146
2023-03-08,SZ000513,丽珠集团,35.24,4572166,605860369,935552687,3296887.668988
2023-03-08,SZ000525,红太阳,11.13,5892300,574514828,580772873,646400.207649
2023-03-08,SZ000032,深桑达Ａ,29.99,75969178,644763811,1137959234,3412739.742766
2023-03-08,SZ000526,学大教育,18.05,3089461,117762709,117762709,212561.689745
2023-03-08,SH600688,上海石化,3.39,37872636,7328813500,10799285500,3660957.7845
2023-03-08,SH600686,金龙汽车,6.54,15799400,717047417,717047417,468949.010718
2023-03-08,SH600689,上海三毛,9.35,1926600,152204143,200991343,187926.905705
2023-03-08,SZ000523,红棉股份,3.63,12881480,1376835812,1612420134,585308.508642
2023-03-08,SZ000524,岭南控股,12.29,16311153,670081621,670208597,823686.365713
2023-03-08,SZ000528,柳    工,6.96,12214663,1412943324,1951261261,1358077.837656
2023-03-08,SH600692,亚通股份,6.25,1639800,255010517,351764064,219852.54
2023-03-08,SH600690,海尔智家,24.58,23755517,6308552654,9446598493,23219739.095794
2023-03-08,SH600691,潞化科技,3.57,10488634,2375585952,2375981952,848225.556864
2023-03-08,SH600693,东百集团,4.3,6224900,868864692,869846246,374033.88578
2023-03-08,SH600694,大商股份,18.25,1589905,293718653,293718653,536036.541725
2023-03-08,SZ000541,佛山照明,5.81,6581352,1056488844,1361994647,791318.889907
2023-03-08,SZ000539,粤电力Ａ,6.42,30015882,2553912699,5250283986,3370682.319012
2023-03-08,SZ000547,航天发展,11.98,129490417,1585560486,1603685112,1921214.764176
2023-03-08,SZ000550,江铃汽车,15.01,2804766,518463140,863214000,1295684.214
2023-03-08,SZ000553,安道麦A,9.83,3800611,2177067461,2329811766,2290204.965978
2023-03-08,SH600699,均胜电子,14.94,10533942,1368084624,1368084624,2043918.428256
2023-03-08,SH600696,*ST岩石,26.71,618895,334469431,334469431,893367.850201
2023-03-08,SH600697,欧亚集团,13.69,1183800,155156015,159088075,217791.574675
2023-03-08,SH600800,渤海化学,4,7820300,794337361,1185787580,474315.032
2023-03-08,SZ000544,中原环保,6.79,3440850,974684488,974684488,661810.767352
2023-03-08,SZ000530,冰山冷热,4.84,8632111,598194679,843212507,408114.853388
2023-03-08,SZ000537,绿发电力,12.95,17092616,1862520720,1862520720,2411964.3324
2023-03-08,SZ000554,泰山石油,6.08,16779949,362647685,480793318,292322.337344
2023-03-08,SZ000538,云南白药,54.42,7487886,1684594680,1796862549,9778525.991658
2023-03-08,SZ000543,皖能电力,4.73,19196701,2266863331,2266863331,1072226.355563
2023-03-08,SZ000548,湖南投资,5.27,8512757,499188811,499215811,263086.732397
2023-03-08,SH600805,悦达投资,4.79,3200613,850275368,850894494,407578.462626
2023-03-08,SZ000533,顺钠股份,4.4,11986556,684902400,690816000,303959.04
2023-03-08,SH600804,退市鹏博,3.66,55889920,1392629959,1657463906,606631.789596
2023-03-08,SH600803,新奥股份,19.07,4682641,1461281888,3098397607,5908644.236549
2023-03-08,SH600802,福建水泥,5.82,2463161,458248400,458248400,266700.5688
2023-03-08,SH600801,华新建材,16.81,7039353,1361879855,2096599855,3524384.356255
2023-03-08,SZ000532,华金资本,12.05,4636850,343549746,344708340,415373.5497
2023-03-08,SH600807,济高发展,3.41,4982160,787018464,884634731,301660.443271
2023-03-08,SZ000551,创元科技,9.95,2748300,400080405,403984805,401964.880975
2023-03-08,SZ000531,穗恒运Ａ,6.81,2122685,822099384,822099384,559849.680504
2023-03-08,SH600808,马钢股份,3.12,27660199,5967751086,7775731186,2426028.130032
2023-03-08,SH600809,山西汾酒,264.68,4397120,1217713022,1220073422,32292903.333496
2023-03-08,SH600810,神马股份,8.29,6678632,714031190,1044175874,865621.799546
2023-03-08,SH600811,*ST东方,2.46,29904345,3659150735,3659150735,900151.08081
2023-03-08,SZ000564,供销大集,1.49,116679175,15181349333,19163777335,2855402.822915
2023-03-08,SZ000563,陕国投Ａ,3.3,22012721,3964012846,5113970358,1687610.21814
2023-03-08,SZ000534,万泽股份,19.33,5072549,492616296,500623096,967704.444568
2023-03-08,SZ000559,万向钱潮,5.19,7472994,2753037624,3303791344,1714667.707536
2023-03-08,SH600812,华北制药,6.28,4720020,1630804729,1715730370,1077478.67236
2023-03-08,SH600814,杭州解百,7.75,4535200,715026758,735933058,570348.11995
2023-03-08,SH600816,建元信托,4,7964195,5264290520,5469137919,2187655.1676
2023-03-08,SH600815,厦工股份,2.96,12304200,1774094480,1774094480,525131.96608
2023-03-08,SH600820,隧道股份,5.76,19087102,3144096094,3144096094,1810999.350144
2023-03-08,SH600819,耀皮玻璃,6.49,7819600,747416067,934916069,606760.528781
2023-03-08,SH600821,金开新能,7.35,14286600,1280575679,1997263453,1467988.637955
2023-03-08,SZ000021,深科技,12.84,16964634,1559998402,1560587588,2003794.462992
2023-03-08,SZ000540,*ST中天,1.23,48117965,6974425467,7005254679,861646.325517
2023-03-08,SH600825,新华传媒,4.44,16782776,1044887850,1044887850,463930.2054
2023-03-08,SH600824,益民集团,3.63,3125837,1054027073,1054027073,382611.827499
2023-03-08,SH600822,上海物贸,8.46,2233200,396147908,495972914,419593.085244
2023-03-08,SH600823,*ST世茂,2.33,7932358,3751168261,3751168261,874022.204813
2023-03-08,SH600827,百联股份,12.92,16584434,1604449920,1784168117,2305145.207164
2023-03-08,SH600826,兰生股份,10.28,2029700,417482448,532761055,547678.36454
2023-03-08,SH600834,申通地铁,8.55,2328800,477381905,477381905,408161.528775
2023-03-08,SH600829,人民同泰,6.78,2587200,579888597,579888597,393164.468766
2023-03-08,SH600831,广电网络,6.55,31596467,710509667,710509667,465383.831885
2023-03-08,SH600830,香溢融通,6.67,8339820,454322747,454322747,303033.272249
2023-03-08,SH600835,上海机电,12.72,5043370,806504300,1022739308,1300924.399776
2023-03-08,SH600836,*ST易连,6.53,3648300,665243072,672753072,439307.756016
2023-03-08,SH600828,茂业商业,3.63,2236164,1731360181,1731982546,628709.664198
2023-03-08,SH600838,上海九百,6.92,3868464,400881981,400881981,277410.330852
2023-03-08,SH600843,上工申贝,5.36,2152500,469222730,713166480,382257.23328
2023-03-08,SH600846,同济科技,9.12,3141200,624761516,624761516,569782.502592
2023-03-08,SH600841,动力新科,6.95,2603490,503691588,1631535732,1133917.33374
2023-03-08,SH600839,四川长虹,3.11,57274552,4614958631,4616244222,1435651.953042
2023-03-08,SH600848,上海临港,12.11,2293461,2393912273,2522487004,3054731.761844
2023-03-08,SH600850,电科数字,26.38,14997735,554907896,685074346,1807226.124748
2023-03-08,SH600847,万里股份,13.71,1167100,153287400,153287400,210157.0254
2023-03-08,SH600851,海欣股份,6.16,3820401,738206110,1207056692,743546.922272
2023-03-08,SZ000555,神州信息,12.59,11398827,979959063,983653713,1238420.024667
2023-03-08,SZ000039,中集集团,7.57,12034973,2301407142,5392520385,4082137.931445
2023-03-08,SZ000035,中国天楹,5.36,8370017,2453345376,2523777297,1352744.631192
2023-03-08,SZ000565,渝三峡Ａ,6.59,2020500,433592220,433592220,285737.27298
2023-03-08,SH600857,宁波中百,10.81,1070400,224319919,224319919,242489.832439
2023-03-08,SH600859,王府井,26.8,6561181,1093469526,1135049451,3041932.52868
2023-03-08,SH600860,京城股份,14.28,3377920,332784674,542265988,774355.830864
2023-03-08,SZ000558,天府文旅,2.82,10753105,1288621496,1289223949,363561.153618
2023-03-08,SZ000034,神州数码,26.59,24515818,543449931,663660099,1764672.203241
2023-03-08,SZ000568,泸州老窖,243.8,4749946,1464504555,1471987769,35887061.80822
2023-03-08,SH600861,北京人力,26.35,2134392,316804949,316804949,834781.040615
2023-03-08,SH600863,内蒙华电,3.57,35550716,6526887811,6526887811,2330098.948527
2023-03-08,SZ000566,海南海药,4.58,11974569,1165390241,1297365126,594193.227708
2023-03-08,SZ000567,海德股份,18.04,2938274,927672105,929651442,1677091.201368
2023-03-08,SZ000571,新大洲A,2.31,8563921,814036325,814064000,188048.784
2023-03-08,SZ000036,华联控股,3.98,7012243,1479675252,1483934025,590605.74195
2023-03-08,SZ000570,苏常柴Ａ,5.36,3808424,498874326,705692507,378251.183752
2023-03-08,SZ000037,深南电A,8.15,2296900,338895156,602762596,491251.51574
2023-03-08,SZ000040,*ST旭蓝,4.2,17309033,1060340670,1486873870,624487.0254
2023-03-08,SZ000572,海马汽车,5.72,22775401,1642155224,1644636426,940732.035672
2023-03-08,SH600864,哈投股份,5.09,18430712,2080570520,2080570520,1059010.39468
2023-03-08,SH600865,百大集团,10.05,1712527,376240316,376240316,378121.51758
2023-03-08,SZ000045,深纺织Ａ,11.14,6090900,457021849,506521849,564265.339786
2023-03-08,SZ000573,粤宏远Ａ,3.97,10202033,632930025,638280604,253397.399788
2023-03-08,SH600866,星湖科技,6.24,4527268,739019166,1661472616,1036758.912384
2023-03-08,SH600867,通化东宝,10.97,13717851,1989850653,1993678653,2187065.482341
2023-03-08,SZ000576,甘化科工,12.15,8763353,429489267,442861324,538076.50866
2023-03-08,SH600868,梅雁吉祥,2.88,19086467,1898148679,1898148679,546666.819552
2023-03-08,SZ000046,*ST泛海,1.16,19126514,5193836456,5196200656,602759.276096
2023-03-08,SZ000042,中洲控股,8.4,2275531,663969764,664831139,558458.15676
2023-03-08,SZ000048,京基智农,21.42,2059855,523239250,523239250,1120778.4735
2023-03-08,SH600872,中炬高新,36.03,6071356,785375950,785375950,2829709.54785
2023-03-08,SH600869,远东股份,6.04,38856016,2219352746,2219352746,1340489.058584
2023-03-08,SZ000050,深天马Ａ,9.78,7981146,2375776352,2457747661,2403677.212458
2023-03-08,SZ000049,德赛电池,43.38,2117952,299281741,299386862,1298740.207356
2023-03-08,SH600871,石化油服,2.18,152566212,13569378551,18984340033,4138586.127194
2023-03-08,SH600874,创业环保,6.44,3534151,1087228430,1570418085,1011349.24674
2023-03-08,SH600875,东方电气,20.96,26984362,2015134163,3118807797,6537021.142512
2023-03-08,SH600877,电科芯片,14.74,3580556,921979452,1184167119,1745462.333406
2023-03-08,SZ000010,美丽生态,3.3,4019900,522171273,1058692292,349368.45636
2023-03-08,SH600876,凯盛新能,20.71,1900928,382445239,645674963,1337192.848373
2023-03-08,SZ000582,北部湾港,7.74,5640709,1409767724,1772126666,1371626.039484
2023-03-08,SH600879,航天电子,7.9,81181979,2719271284,2719271284,2148224.31436
2023-03-08,SH600880,博瑞传播,5.77,23602430,1093030175,1093332092,630852.617084
2023-03-08,SH600881,亚泰集团,2.39,10759202,3248913588,3248913588,776490.347532
2023-03-08,SZ000584,工智退,9.03,16122226,745978963,760937577,687126.632031
