"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-9-4","4,365.21","4,461.25","4,465.50","4,327.51","307.94K","-2.12%"
"2025-9-3","4,459.83","4,501.34","4,510.73","4,427.52","254.32K","-0.68%"
"2025-9-2","4,490.45","4,521.98","4,548.89","4,454.42","303.93K","-0.74%"
"2025-9-1","4,523.71","4,516.88","4,528.13","4,487.53","320.37K","0.60%"
"2025-8-29","4,496.76","4,455.80","4,516.84","4,452.36","351.94K","0.74%"
"2025-8-28","4,463.78","4,378.04","4,464.80","4,364.17","296.84K","1.77%"
"2025-8-27","4,386.13","4,458.84","4,494.91","4,386.13","333.13K","-1.49%"
"2025-8-26","4,452.59","4,453.35","4,476.80","4,435.53","270.62K","-0.37%"
"2025-8-25","4,469.22","4,416.29","4,472.65","4,404.78","358.09K","2.08%"
"2025-8-22","4,378.00","4,287.36","4,378.39","4,287.36","290.44K","2.10%"
"2025-8-21","4,288.07","4,284.37","4,308.45","4,273.65","259.03K","0.39%"
"2025-8-20","4,271.40","4,208.40","4,272.15","4,190.56","246.48K","1.14%"
"2025-8-19","4,223.37","4,241.77","4,264.23","4,215.21","250.82K","-0.38%"
"2025-8-18","4,239.41","4,218.25","4,272.96","4,203.42","301.48K","0.88%"
"2025-8-15","4,202.35","4,162.42","4,214.73","4,157.50","261.33K","0.70%"
"2025-8-14","4,173.31","4,179.96","4,220.31","4,165.94","221.10K","-0.08%"
"2025-8-13","4,176.58","4,150.50","4,186.75","4,147.20","213.94K","0.79%"
"2025-8-12","4,143.83","4,123.58","4,153.29","4,121.22","177.29K","0.52%"
"2025-8-11","4,122.51","4,110.29","4,134.25","4,103.60","190.44K","0.43%"
"2025-8-8","4,104.97","4,109.27","4,122.21","4,097.42","173.17K","-0.24%"
"2025-8-7","4,114.67","4,120.28","4,129.74","4,094.82","198.64K","0.03%"
"2025-8-6","4,113.49","4,100.43","4,116.71","4,098.35","176.68K","0.24%"
"2025-8-5","4,103.45","4,080.39","4,106.30","4,075.58","178.85K","0.80%"
