trade_date,momentum_return,market_return,market_volatility_21,market_momentum_21,market_volatility_63,market_momentum_63,volatility_ratio_21_63,market_breadth,market_breadth_ma_21,market_breadth_ma_63,active_return,active_nav,ewma_active_return_8,ewma_active_return_21,ewma_active_return_63,rsi_8,rsi_21,rsi_63,macd_8_21,macd_21_63,stoch_k_8,stoch_k_21,stoch_k_63,downside_deviation,active_beta,z_ewma_active_return_8,z_ewma_active_return_21,z_ewma_active_return_63,z_rsi_8,z_rsi_21,z_rsi_63,z_macd_8_21,z_macd_21_63,z_stoch_k_8,z_stoch_k_21,z_stoch_k_63,z_downside_deviation,z_active_beta,z_market_return,z_market_volatility_21,z_market_momentum_21,z_market_volatility_63,z_market_momentum_63,z_volatility_ratio_21_63,z_market_breadth,z_market_breadth_ma_21,z_market_breadth_ma_63
2021-06-02,-0.0048570178048812,-0.0097,0.010987589370804048,0.0243214091760231,0.01308696150183327,-0.023821558638497886,0.8395829214646093,0.31689814814814815,0.5036069162381672,0.48204111194757177,0.0048429821951188005,0.9883547063737819,-0.0006415381653260236,-0.0015029481425600038,0.00011938048189753925,25.601972401085348,40.07648844624334,49.12896409251096,-0.005682968238504414,-0.009911534968754118,34.720278927858104,13.725257343006467,13.725257343006467,0.009607388030757093,0.23375613032671705,-0.2707056365887632,-1.1603309431554423,-1.5697908991615424,-1.3634213187624904,-1.7010933518775055,-0.7567053579263547,-1.1153345878997878,-2.816927526606917,-0.3483275150471728,-1.111766009957036,-0.9622776784000746,1.5512223854270448,-1.5434927728289471,-0.6666339517047692,-0.7705194999907405,0.9055884075834373,-1.642823773301003,-0.02876239844641703,-0.4221913523826137,-0.9374406021943459,0.9584522321049587,0.6568244716359484
2021-06-03,-0.0073884309646687,-0.0066,0.010939675860669188,0.02566363055686094,0.013015686409812158,-0.017690778313901423,0.8404993418112836,0.4231837112447941,0.5078929333723368,0.4840331643236151,-0.0007884309646686996,0.9875754569192007,-0.0006741810096243959,-0.0014379920354789762,9.101137419234428e-05,30.148850284345954,33.28931114460829,47.945480813187196,-0.004235840765874296,-0.010188338921955399,86.39568375936933,12.841192174152358,12.841192174152358,0.009608928446354255,0.30305104338029254,-0.27829491512242666,-1.1128138980734374,-1.5463240407817083,-1.0787774184753636,-2.5367408978492474,-1.1303256088491136,-0.7795437223336532,-2.709088399493531,1.0800087629965485,-1.116148308842367,-0.9580637044648102,1.5073145281220803,-1.1165130002905994,-0.43219472528749137,-0.7757237150422445,0.920293918813095,-1.6770819696338886,0.07037569911627946,-0.41459810047241386,-0.33007793076390596,1.1498398099434575,0.7856934779094753
2021-06-04,0.0024378701664179,0.0051,0.01053858690996839,0.043626761563779315,0.012799633482406855,-0.03128041727168629,0.8233506783185407,0.41234967622571694,0.5001618753901885,0.47848701660381043,-0.0026621298335821005,0.9849464028324226,-0.0011159474149483302,-0.0015492772898519876,4.975711449392873e-06,51.13127080678192,27.277616796301018,49.01229278541615,-0.003261646665465816,-0.01049258337776933,66.32815034812509,9.858507834125188,9.858507834125188,0.0096264728220849,0.3466547865469608,-0.40820714142632514,-1.143117816536092,-1.5549041617636747,0.1454830903631951,-3.0696922487035803,-0.7374642217736531,-0.5538527752301041,-2.623317197330291,0.5139789637727007,-1.1819571736872818,-1.012774261110376,1.4796310903821215,-0.849811857509316,0.4397878530736003,-0.884852880491165,1.2616734722561411,-1.8616564228959025,-0.15101950821045662,-0.48606037101022287,-0.38887875382134013,0.7610366189737802,0.3964344853869566
2021-06-07,-0.0042514957281762,-0.0009,0.010022996234397149,0.05631394739982998,0.012176523099375273,-0.0006734795004043059,0.8231410684804915,0.5846438482886216,0.5082600183344347,0.4830631202278938,-0.0033514957281762002,0.9816453591708473,-0.001612735928998968,-0.0017131153296996433,-9.991402103890691e-05,52.65487590877439,25.014407102472617,48.21011731263289,-0.002700059517673409,-0.010854196761197726,41.13132982480814,6.164159812411792,6.113445575937431,0.009654214679159088,0.3276630622516695,-0.553905067440908,-1.1950201702195076,-1.5728399094475183,0.2332565716213669,-3.0530109496073603,-0.9898741950459454,-0.42258828790319153,-2.5610142368696,-0.1929013893114179,-1.2654193454766027,-1.085738499068858,1.4622029520191546,-0.9450729036473888,-0.011854097854077695,-1.0250049041850124,1.483963722552757,-2.4328302310163323,0.35085170138045757,-0.4827448533284083,0.5979578565581132,1.1413702856423948,0.7091793423963475
2021-06-08,-0.0147101822121649,-0.0086,0.010286898080026053,0.04796322170738576,0.012217277086586474,-0.005887705776341234,0.8419959707159451,0.44593345656192235,0.5049790885065305,0.4791731031332542,-0.006110182212164901,0.9756473271585874,-0.002612168436369175,-0.0021128486826510304,-0.0002877349020115942,49.161491062391256,24.242531615114117,48.53699536932159,-0.002722739333173938,-0.011412979540336553,0.0,0.0,0.0,0.0097447207426205,0.3805324234330396,-0.8485850028868154,-1.3452116880954323,-1.6321828086432868,0.02599697422737659,-2.8870060218210267,-0.8518868269264334,-0.42425622694809634,-2.544972705831029,-1.3297566603689412,-1.4150150669586476,-1.2182566130657468,1.4947423294486681,-0.628943277679239,-0.59009153101165,-0.9331960319815059,1.2917241336766805,-2.2833646454838394,0.2623688716334388,-0.3952633323449334,-0.20333605257005238,0.966710389102076,0.43228110277391746
2021-06-09,0.0013123961439401,0.0008,0.010255188388756642,0.042442691864379656,0.011395763314353054,0.03067189895269662,0.8999123714547625,0.48290993071593535,0.4996947345478289,0.4829373126056705,0.0005123961439401,0.976147245086869,-0.0019178207518560026,-0.0018741900620518367,-0.0002627308068256038,36.6047366969466,27.623114699478307,47.70731655163431,-0.0023553405862574116,-0.011761575633045605,3.6462585189342853,0.8186306053355882,0.5632668886354614,0.008876173352716654,0.40149053115645555,-0.6301671769052627,-1.2187292169818298,-1.5794766730966734,-0.7157972397375002,-2.3628948438348476,-1.109072568285273,-0.33713352553712783,-2.4887480040125616,-1.205110857233189,-1.3576875880739665,-1.162066412637314,0.7768342671115492,-0.5007442415194219,0.12501021857511777,-0.9306220687935745,1.1622782751467726,-2.930568965374556,0.8624305470744681,-0.13394169092518168,0.01201954090560109,0.6994062808634779,0.6911353630503846
2021-06-10,-0.0055825697849855,0.0067,0.010293114621764405,0.044933842377646416,0.011070270520307722,0.060375473352764164,0.9297979306722746,0.49353945546838945,0.49155062164963165,0.48843177214246064,-0.0122825697849855,0.9641576484286681,-0.0042210983147736685,-0.0028204064005003518,-0.0006383507748931006,14.732374888738107,26.805100792150014,45.394290514899296,-0.0031847072303926045,-0.012639697466477721,0.0,0.0,0.0,0.009143598940151836,0.3906062218799489,-1.312487128278026,-1.5947109542048876,-1.7311521278612074,-1.954609195519325,-2.3199575705156956,-1.8084632285345392,-0.5245224364108234,-2.535927901715388,-1.2824597351844202,-1.3502115401348096,-1.1410249262710215,0.9795162459113682,-0.5589978831839849,0.5722601905340425,-0.9077864417905456,1.1919216097919878,-3.022017646227248,1.3335679334449304,0.0013203885997696775,0.07387263185486279,0.29501801552327134,1.065030769177413
2021-06-11,-0.001530932919892,-0.0089,0.010222333382024027,0.0463062549812947,0.011115052362218778,0.0440474186766584,0.9196837809573264,0.3354094579008074,0.4914977138169053,0.4898962619012207,0.007369067080108,0.9712625908157383,-0.0016455060047999646,-0.001894090629535956,-0.00038811896692431624,33.36910260231642,30.971374945726723,44.209325834046346,-0.0025189047029301227,-0.012867371983742869,29.362835776094435,12.198168895813417,7.087721024346011,0.009077733861986997,0.3145799748906229,-0.5213043278374899,-1.1732437974728671,-1.5623943048029723,-0.8508507115281073,-1.8179457827526877,-2.051147807354434,-0.366848151466194,-2.4578508317625705,-0.45881564618044063,-0.9744146852729896,-0.9151762245016068,0.9121229372108842,-0.994320724069926,-0.6236610652261481,-0.9176718803879093,1.1992008476237077,-2.799204946971975,1.0469828308211306,-0.044471734205606864,-0.8501883056865048,0.2902677050019618,1.1505182764489
2021-06-15,-0.0015260674274393,-0.0111,0.009402814747195022,0.010836513824738825,0.010778903090141252,0.0073748583562767145,0.8723350296928779,0.3101222042886788,0.470983850824927,0.480905358883968,0.0095739325725607,0.9805613933704589,0.0008477025679468498,-0.0008515430657089873,-7.680485631540946e-05,40.633181077602195,40.93278016607007,46.93754442157511,-0.0007180755620049915,-0.01242047639982849,70.04816419274475,28.162881614346414,16.36398461351687,0.007361587017550772,0.3796200363532476,0.24225190280756853,-0.7143287954373662,-1.3734216481218142,-0.42044975435383314,-0.7869171126332752,-1.128950664990218,0.05410652873578185,-2.2723716974161245,0.676352283586822,-0.49772329194524506,-0.6373329307478263,-0.4875421335301336,-0.6016604756161378,-0.7853457117930367,-1.147412109002542,0.49278910902122,-2.899595856291621,0.43390872440637746,-0.25985513348873707,-0.9867497505801728,-0.7279576397958435,0.5108370484076682
2021-06-16,-0.0193628314474755,-0.0167,0.009538460159911681,-0.020347384147579972,0.01097389146004142,-0.012903140785524458,0.8691957811541613,0.2847926267281106,0.4700111658064768,0.4782229002944833,-0.002662831447475502,0.9779503236560116,6.758389785299396e-05,-0.0010162056458695794,-0.00015761818728916236,38.91942399295166,37.00360740039439,46.38618321046162,0.0003229612955341597,-0.012086664525807951,66.34680923861663,23.680048729799296,13.759243758080833,0.0073844847099915475,0.3385912977124806,0.0012983271578717729,-0.777669635400693,-1.3880933408696545,-0.5171345392599066,-1.1685184466353526,-1.2631661090819484,0.29715469057331967,-2.1282225013252103,0.5668554023491423,-0.6241971155913587,-0.6992167265466124,-0.46428763095977904,-0.8353464192160939,-1.2001156206656307,-1.0906691402942752,-0.1269295482576119,-2.5944339689151423,0.09437081952316038,-0.27242622457485444,-1.1198818060669915,-0.7686746279551272,0.3180407258118755
