trade_date,active_return,growth_return,market_return,state,state_name
2022-01-24,0.0069094943434666,0.0085094943434666,0.0016,1,Bull
2022-01-25,0.0293996923108122,0.0067996923108123,-0.0226,1,Bull
2022-01-26,-0.0031452138735649,0.0040547861264351,0.0072,1,Bull
2022-01-27,0.0246074635260612,0.0050074635260613,-0.0196,1,Bull
2022-01-28,-0.0021328721844488,-0.0142328721844488,-0.0121,1,Bull
2022-02-07,-0.0078196550844546,0.0075803449155454,0.0154,1,Bull
2022-02-08,-0.0051287773748189,-0.0106287773748189,-0.0055,1,Bull
2022-02-09,-0.0111575648759545,-0.0017575648759546,0.0093999999999999,1,Bull
2022-02-10,0.002314435181048,-0.000285564818952,-0.0026,1,Bull
2022-02-11,0.0088678214856305,0.0005678214856305,-0.0083,1,Bull
2022-02-14,0.0043472664472424,-0.0064527335527576,-0.0108,1,Bull
2022-02-15,-0.0002559084966995,0.0103440915033005,0.0106,1,Bull
2022-02-16,-0.0029471142857993,0.0009528857142007,0.0039,1,Bull
2022-02-17,0.0043372600904302,0.0067372600904303,0.0024,1,Bull
2022-02-18,-0.009184992634547,-0.004384992634547,0.0048,1,Bull
2022-02-21,-0.0063230351020205,-0.0099230351020205,-0.0036,1,Bull
2022-02-22,0.0157848824854484,0.0027848824854484,-0.013,1,Bull
2022-02-23,-0.0027004552874887,0.0079995447125113,0.0107,1,Bull
2022-02-24,0.024378072939694,0.0040780729396941,-0.0203,1,Bull
2022-02-25,-0.0064427741785488,0.0032572258214512,0.0097,1,Bull
2022-02-28,0.0059753075636267,0.0077753075636267,0.0018,1,Bull
2022-03-01,-0.0158121041376925,-0.0075121041376925,0.0083,1,Bull
2022-03-02,0.0019834954724641,-0.0069165045275358,-0.0089,1,Bull
2022-03-03,0.0015830641951304,-0.0043169358048695,-0.0059,1,Bull
2022-03-04,0.0107686404342512,-0.0013313595657488,-0.0121,1,Bull
2022-03-07,0.0255784327322365,-0.0063215672677634,-0.0319,1,Bull
2022-03-08,0.0196994296273414,-0.0004005703726585,-0.0200999999999999,1,Bull
2022-03-09,0.0072891171654509,-0.0019108828345491,-0.0092,1,Bull
2022-03-10,-0.0112331378671509,0.0044668621328491,0.0157,1,Bull
2022-03-11,-0.0067701604472901,-0.0035701604472901,0.0032,1,Bull
2022-03-14,0.0270556123349741,-0.0035443876650259,-0.0306,1,Bull
2022-03-15,0.0442098995042254,-0.0014901004957746,-0.0457,1,Bull
2022-03-16,-0.0409222608601013,0.0022777391398987,0.0432,1,Bull
2022-03-17,-0.0172611879456759,0.0023388120543241,0.0196,1,Bull
2022-03-18,-0.0123052933901634,-0.0056052933901634,0.0067,1,Bull
2022-03-21,-0.0025804370011705,-0.0042804370011706,-0.0017,1,Bull
2022-03-22,-0.0007420951983359,-0.0015420951983359,-0.0008,1,Bull
2022-03-23,-0.0014474990206052,0.0035525009793948,0.005,1,Bull
2022-03-24,0.0067017886109099,0.0008017886109099,-0.0059,1,Bull
2022-03-25,0.0117258791232594,-0.0062741208767406,-0.018,1,Bull
2022-03-28,0.0022252412320027,-0.0040747587679973,-0.0063,1,Bull
2022-03-29,0.0059537499553159,0.0024537499553159,-0.0034999999999999,1,Bull
2022-03-30,-0.0216720672795544,0.0073279327204455,0.0289999999999999,1,Bull
2022-03-31,7.743324103380057e-05,-0.0073225667589662,-0.0074,1,Bull
2022-04-01,-0.0110086593680233,0.0016913406319767,0.0127,1,Bull
2022-04-06,-0.0114752938763166,-0.0143752938763166,-0.0029,1,Bull
2022-04-07,0.0177056353023372,0.0049056353023372,-0.0128,1,Bull
2022-04-08,0.0015553968781436,0.0066553968781437,0.0051,1,Bull
2022-04-11,0.0242114540597046,-0.0066885459402953,-0.0308999999999999,1,Bull
2022-04-12,-0.0260160736520324,-0.0065160736520325,0.0195,1,Bull
2022-04-13,0.0154957547089208,0.0058957547089208,-0.0096,1,Bull
2022-04-14,-0.0080087701694455,0.0044912298305545,0.0125,1,Bull
2022-04-15,0.0067190872899274,0.0060190872899274,-0.0007,1,Bull
2022-04-18,0.0074828166987192,0.0021828166987192,-0.0053,1,Bull
2022-04-19,0.007147729788871,-0.000452270211129,-0.0076,1,Bull
2022-04-20,0.009179708425098,-0.006320291574902,-0.0155,1,Bull
2022-04-21,0.0201034529095552,0.0017034529095552,-0.0184,1,Bull
2022-04-22,-0.0011295870230901,0.0032704129769099,0.0044,1,Bull
2022-04-25,0.0524970799877311,0.0030970799877311,-0.0494,1,Bull
2022-04-26,0.013783563409852,0.005683563409852,-0.0081,1,Bull
2022-04-27,-0.0101262257075089,0.019273774292491,0.0294,1,Bull
2022-04-28,0.0021350362326291,0.0087350362326291,0.0066,1,Bull
2022-04-29,-0.0292223107044676,-0.0049223107044676,0.0243,1,Bull
2022-05-05,0.0018311244463474,0.0003311244463474,-0.0015,1,Bull
2022-05-06,0.0197799235305243,-0.0055200764694757,-0.0253,1,Bull
2022-05-09,-0.001541644543209,-0.009541644543209,-0.008,1,Bull
2022-05-10,-0.0075960070742451,0.0033039929257549,0.0109,1,Bull
2022-05-11,-0.0040385467416175,0.0103614532583824,0.0144,1,Bull
2022-05-12,-0.0023220036047683,-0.0067220036047683,-0.0044,1,Bull
2022-05-13,-0.0082805943629298,-0.0007805943629298,0.0075,1,Bull
2022-05-16,0.0042920927235382,-0.0037079072764617,-0.008,1,Bull
2022-05-17,-0.0026175666890054,0.0098824333109946,0.0125,1,Bull
2022-05-18,-0.0061719414031881,-0.0096719414031881,-0.0034999999999999,1,Bull
2022-05-19,-0.0019650810371164,-6.50810371164972e-05,0.0019,1,Bull
2022-05-20,-0.0147225885471683,0.0047774114528316,0.0195,1,Bull
2022-05-23,0.0051982936706082,-0.0006017063293918,-0.0058,1,Bull
2022-05-24,0.027212506486038,0.003812506486038,-0.0233999999999999,1,Bull
2022-05-25,-0.0178730919577276,-0.0117730919577276,0.0060999999999999,1,Bull
2022-05-26,-0.0058100244173567,-0.0033100244173567,0.0025,1,Bull
2022-05-27,-0.0021387413839742,-3.874138397428543e-05,0.0021,0,Bear
2022-05-30,-0.0052120125103695,0.0016879874896305,0.0069,0,Bear
2022-05-31,-0.0147183428853587,0.0007816571146412,0.0155,0,Bear
2022-06-01,0.0007207096392569,-0.0012792903607431,-0.002,0,Bear
2022-06-02,0.0015673040441278,0.0031673040441278,0.0016,0,Bear
2022-06-06,-0.0116292822620688,0.0070707177379312,0.0187,0,Bear
2022-06-07,-0.000440500256573,0.0026594997434269,0.0031,0,Bear
2022-06-08,-0.0093978435990425,0.0003021564009575,0.0097,0,Bear
2022-06-09,0.0137439643876632,0.0032439643876632,-0.0105,0,Bear
2022-06-10,-0.0069742203516378,0.0082257796483622,0.0152,0,Bear
2022-06-13,0.0137755432901688,0.0020755432901689,-0.0116999999999999,0,Bear
2022-06-14,-0.0091386376685377,-0.0012386376685377,0.0079,0,Bear
2022-06-15,-0.0160679484308216,-0.0028679484308216,0.0132,0,Bear
2022-06-16,-0.0020856281931515,-0.0086856281931515,-0.0066,0,Bear
2022-06-17,-0.0046583980958088,0.0092416019041911,0.0139,0,Bear
2022-06-20,-0.010805229638347,-0.005805229638347,0.005,0,Bear
2022-06-21,-0.0074693729063551,-0.0085693729063552,-0.0011,0,Bear
2022-06-22,0.0123424328498528,-0.0003575671501472,-0.0127,0,Bear
2022-06-23,-0.0119894326131076,0.0052105673868924,0.0172,0,Bear
2022-06-24,-0.0066814911090918,0.0050185088909081,0.0116999999999999,0,Bear
2022-06-27,-0.0088321874989141,0.0024678125010859,0.0113,0,Bear
2022-06-28,-0.0116940906360475,-0.0012940906360476,0.0104,0,Bear
2022-06-29,0.010689659396142,-0.004710340603858,-0.0154,0,Bear
2022-06-30,-0.0101808592545033,0.0042191407454967,0.0144,0,Bear
2022-07-01,0.0083121763898625,0.0042121763898625,-0.0040999999999999,0,Bear
2022-07-04,-0.0018775060383347,0.0047224939616652,0.0066,0,Bear
2022-07-05,0.0083423916907315,0.0069423916907315,-0.0014,0,Bear
2022-07-06,0.0114224177961276,-0.0031775822038724,-0.0146,0,Bear
2022-07-07,-0.0033148157102228,0.0010851842897772,0.0044,0,Bear
2022-07-08,-0.0059443632529461,-0.0092443632529461,-0.0033,0,Bear
2022-07-11,0.0101458103934241,-0.0065541896065759,-0.0167,0,Bear
2022-07-12,0.0090592022907552,-0.0003407977092447,-0.0093999999999999,0,Bear
2022-07-13,-0.0053425114397524,-0.0035425114397525,0.0018,0,Bear
2022-07-14,0.0108671715448168,0.0109671715448168,0.0001,0,Bear
2022-07-15,0.0287750673274249,0.0117750673274249,-0.017,1,Bull
2022-07-18,-0.0191722060389993,-0.0087722060389993,0.0104,1,Bull
2022-07-19,0.0016162225285234,-0.0037837774714766,-0.0054,1,Bull
2022-07-20,-0.001169567669589,0.002230432330411,0.0034,1,Bull
2022-07-21,0.0044357190198271,-0.0066642809801729,-0.0111,1,Bull
2022-07-22,-0.0032205652693207,-0.0027205652693207,0.0005,1,Bull
2022-07-25,0.0047088009801261,-0.0012911990198739,-0.006,1,Bull
2022-07-26,-0.0074138125995426,0.0004861874004574,0.0079,1,Bull
2022-07-27,0.0041012225297595,-0.0007987774702405,-0.0049,1,Bull
2022-07-28,-0.0016983105194868,-0.0014983105194868,0.0002,1,Bull
