from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,535,0.9605026929982047,Bear,Bear
0,1,22,0.03949730700179533,Bear,Bull
1,0,21,0.041584158415841586,Bull,Bear
1,1,484,0.9584158415841584,Bull,Bull
