trade_date,growth_return,market_return,market_volatility_21,market_momentum_21,market_volatility_63,market_momentum_63,volatility_ratio_21_63,market_breadth,market_breadth_ma_21,market_breadth_ma_63,active_return,active_nav,ewma_active_return_8,ewma_active_return_21,ewma_active_return_63,rsi_8,rsi_21,rsi_63,macd_8_21,macd_21_63,stoch_k_8,stoch_k_21,stoch_k_63,downside_deviation,active_beta,z_ewma_active_return_8,z_ewma_active_return_21,z_ewma_active_return_63,z_rsi_8,z_rsi_21,z_rsi_63,z_macd_8_21,z_macd_21_63,z_stoch_k_8,z_stoch_k_21,z_stoch_k_63,z_downside_deviation,z_active_beta,z_market_return,z_market_volatility_21,z_market_momentum_21,z_market_volatility_63,z_market_momentum_63,z_volatility_ratio_21_63,z_market_breadth,z_market_breadth_ma_21,z_market_breadth_ma_63
2021-10-12,-0.0064252616791851,-0.0106,0.009181994605929087,0.0032207586123578213,0.011721225199671143,-0.038979685606886916,0.7833647463907358,0.17516136211885155,0.4624667900597632,0.4737267665999446,0.0041747383208149,1.067550609892275,-0.004075720246239515,-0.0021915478667620435,-0.000545697190485197,18.3009651967143,38.6233754670165,53.714977692179055,-0.008726093053120887,-0.010219604806350736,9.493917942865842,8.054137787095147,47.46778796461292,0.007884750784128565,0.09526424172722724,-1.351647176244513,-1.654790279821687,-0.7135340204435698,-1.7154922215065977,-1.8039728996926883,-2.039078566885753,-1.518944939647972,-2.155297146350971,-1.2329447666787372,-1.9496097105342818,-2.018703100960194,0.6601424159426397,0.23425205040744157,-0.8282280548227097,-1.1113220697387647,0.8205136636675247,0.48141993132866184,-0.09476888832806662,-1.4206514465986957,-1.6786709651449698,-0.6667874285339823,-0.24376803829331142
2021-10-13,0.0048047734099522,0.0115,0.009394476594051989,0.02026724043474748,0.01172446411163271,-0.03878962918161355,0.8012712994473693,0.5720008902737592,0.46351712372626525,0.4744778906816528,-0.0066952265900478,1.0604031166627024,-0.0046578327670858,-0.0026009732052425668,-0.0007378699842215283,13.771649749691122,37.02231085792389,53.798279606158005,-0.00948412028024314,-0.011942684344198595,0.0,0.0,36.399291973692044,0.008018969333417867,0.11441675929255345,-1.4685563494140748,-1.8092221504817072,-0.8995643532986272,-1.858320750062675,-1.8750534429060974,-1.8611935245613305,-1.6073537517936485,-2.2614119930396437,-1.4486090617176774,-2.120218322865528,-2.4160364146107183,0.730464351464395,0.5732694289035825,1.0277769565271613,-0.9965717449348248,1.4370203026693225,0.4808430603376859,-0.0891068752295206,-1.2879188779810549,0.5460866179940536,-0.610225804865074,-0.09209828844754793
2021-10-14,0.0044276193684148,-0.0054,0.008600643334055738,-0.0038698367169921477,0.011677063934116362,-0.034128273574493107,0.7365415983488467,0.5284824210057855,0.45573976479922523,0.47780018177393857,0.009827619368414801,1.0708243548703442,-0.001438843403641222,-0.001471101153091897,-0.000407698441951643,27.526756855600155,44.552629649460656,53.636717635793865,-0.008201852907127695,-0.01276104949316258,25.424600656781,18.025435614549494,46.425614636527044,0.007280677605378765,0.06282174396023851,-0.6306509978886785,-1.2091514594245518,-0.5535895812750681,-1.2067557487204947,-1.154637063912602,-1.782830728602988,-1.3585129786887797,-2.2547646214654224,-0.771637320466397,-1.4702703018985694,-1.7176733182614885,0.28399585144646683,-0.3602879024278423,-0.3993947391441387,-1.342578847680462,0.519971657481216,0.4217466710170187,0.03426542772922392,-1.6291403693981048,0.2979470769595411,-0.9713591494578518,0.5750468403587639
2021-10-15,0.0091407101323914,0.0038,0.008217894307428926,-0.011941247130945576,0.011681885333641553,-0.026857333146718898,0.7034732898604125,0.28698553948832034,0.4383112952211412,0.472937470081944,0.0053407101323914,1.0765433173524117,6.772404881047185e-05,-0.0008518455816843246,-0.00022806067400342288,35.988921309669394,49.402131036964256,53.68092969618562,-0.006254884900422471,-0.013078748797411714,39.37710173012333,27.917426177334885,51.927855541049226,0.0069441842077481875,0.07422469700027465,-0.23801232834624242,-0.8820927974419449,-0.3643393346931585,-0.8114078916550792,-0.6986848794217171,-1.6652195125425078,-1.0113275052786765,-2.195769916274446,-0.4007131515308686,-1.1181051542064513,-1.3473873770682037,0.0794222946432898,-0.15028604861660363,0.380956349286223,-1.4868774300558643,0.2117358448000878,0.4238599710825624,0.2267846162658381,-1.7697789159064448,-1.0588272065124626,-1.7587546575305169,-0.41084994628251553
2021-10-18,0.0019210843424975,-0.0116,0.00852226642057797,-0.019382195666459157,0.011648936532928596,-0.050020531439226246,0.7315917977995399,0.6052924171670002,0.4379227000958457,0.47225768962286563,0.013521084342497498,1.0910993503446857,0.003057359669629811,0.00045478441142311385,0.0002016001077622309,43.611980317790604,53.99201546176228,55.57630475172793,-0.0029881749948418336,-0.012468987048130594,80.90055549863888,53.094744868034496,65.93228385978696,0.006935803517263421,0.039350549763669786,0.5379086040604274,-0.2131840559945331,0.08343329975457563,-0.4595288473845542,-0.2714256260677863,-1.072504412812308,-0.4498499915668657,-2.0486280244125097,0.6919760351652768,-0.277087869386772,-0.5561889664909687,0.07367580614247307,-0.783115929764098,-0.9262658558083924,-1.319845533731955,-0.07238156092649844,0.3817503571879158,-0.39292426850196255,-1.56791482273843,0.7409311184763316,-1.7273391150751116,-0.5449918008803768
2021-10-19,0.0034587409426025,0.0098,0.008822045155496755,-0.009375891540606696,0.011719389132230954,-0.04243435081586233,0.7527734642101906,0.5082222222222222,0.4413451196339085,0.47137487585997884,-0.0063412590573975,1.084180406706792,0.000968777730290409,-0.00016303772210603295,-2.864241149010691e-06,41.61134879198525,51.480418183620955,54.98659077054853,-0.0015334225671137323,-0.012305393846204486,77.459959063464,41.127167639630166,55.510273816854905,0.007072496513035153,0.06085993728250481,-0.01020308615406872,-0.5261781550527467,-0.1304987101093411,-0.5460262831674852,-0.50040196540856,-1.2011080037464386,-0.19868711010604365,-1.9619566162081392,0.5945356090463239,-0.6706395972611584,-1.1069357604266061,0.15657635034683254,-0.38128219298753524,0.8975660582948943,-1.162386425409291,0.3106871894438186,0.46183080160921425,-0.18637591890357447,-1.4164765608089753,0.18655526667422007,-1.530873869066536,-0.718959436493866
2021-10-20,-0.000972991273198,-0.0025,0.008585348485459412,-0.02047229561038344,0.01164047010295061,-0.03371599892647692,0.7375431068959328,0.35398623140128804,0.4426235888024214,0.4725443408633389,0.001527008726802,1.085835959649261,0.0010928290628485402,-9.397135841666303e-06,4.494428909945839e-05,64.19677256771014,53.21104412793247,54.12176443885863,-0.0002913683861366723,-0.012028428488077128,82.85330132043543,43.990748950829044,57.25035606561728,0.007013240919699751,0.03383579729307958,0.022428332997904425,-0.4431628319039982,-0.07937467142216634,0.49105216405780894,-0.3348634960661587,-1.3922262879040632,0.015841179247764202,-1.87225236296803,0.7305400727575856,-0.5679397395258505,-0.9821914780516514,0.11878315755203492,-0.8724580493458468,-0.15745145340915936,-1.2490986515808347,-0.11857913595867808,0.36444100153213177,0.050691535102159097,-1.4706219621543608,-0.6910390431175298,-1.440714598585304,-0.47369034841602414
2021-10-21,0.0020977801510634,0.0036,0.008601181166579253,-0.012601442220350423,0.011516902692089031,-0.043154786899469944,0.7468311052491058,0.2967154904571682,0.43039501929718293,0.47204752978238756,-0.0015022198489365998,1.0842047953179867,0.0005161515268962869,-0.00014510829157756935,-3.404590214168429e-06,70.09274563820267,51.40567153545315,54.37951427016943,0.0003768287568175254,-0.011843922648988307,77.53941054095623,41.16935219889855,54.6384704088939,0.007020897977525688,0.042359616303197234,-0.13012595947929992,-0.5093397495723427,-0.1299817901110426,0.7558297891079533,-0.5004453715834936,-1.2708522638459068,0.13119987089991317,-1.799532257278896,0.5824782629990726,-0.6560076041129163,-1.0955164176535672,0.12257845199337593,-0.7047225894627961,0.3669926291621377,-1.2210468908672105,0.18723578044122544,0.21398869038466428,-0.20663982254757202,-1.3902279531513795,-1.0068698520942492,-1.938578164564047,-0.5716166012442018
2021-10-22,-0.0012044659456687,0.0064,0.008091948911616336,0.008748257587492647,0.011473540496258088,-0.026320503069390155,0.7052704362925635,0.30301685891748004,0.43256275509521364,0.4706274336427041,-0.007604465945668701,1.0759599968738605,-0.0012884301336737103,-0.0008232317146767631,-0.00024093775757212256,57.46914338689666,43.1862281472354,52.70292651954429,-9.810537612564389e-05,-0.012113227251412118,50.68009441265404,26.908466827277667,45.79780395531673,0.007214341137280281,0.0833101294520583,-0.6079245162516811,-0.8535306691390071,-0.3817473697092144,0.16744585321401328,-1.2558619905201287,-1.6588418368697098,0.04770306785830275,-1.7770145891841729,-0.14010360271221572,-1.121319965340041,-1.5207637574804898,0.2426383190360882,0.06272529278216821,0.6049076839161144,-1.4243300815493483,1.011960846728165,0.16029272766883063,0.2560649784569376,-1.5851719234937125,-0.9582807505402458,-1.7891836556176195,-0.8575445215926648
2021-10-25,0.0036370097019114,0.004,0.0077673688042083945,0.02311672958666877,0.011475285481013021,-0.026029476020391518,0.6768780451745853,0.5573297848746951,0.43217882322616347,0.4730170569068239,-0.0003629902980885999,1.0755694338338637,-0.001082776836877019,-0.0007813915858960209,-0.00024475189946326247,65.30799076492991,39.78228386039661,53.201868117620464,-0.0003525659663731768,-0.012312998588697239,23.403600605112374,26.232916687206835,45.37901414631101,0.0072147759787768734,0.0884439671757827,-0.5479261590236125,-0.8225429061280544,-0.3829760941854409,0.5297980404637938,-1.5361237983209002,-1.4583560832907876,0.0028233443759071494,-1.7495650663656663,-0.8693345353742536,-1.1241713690536748,-1.4808555633707152,0.2409296587122869,0.15849350638047682,0.39241005924673994,-1.5368144940807162,1.5411867754664568,0.16133751235125468,0.2623056456358824,-1.6981148162522268,0.5017166432775428,-1.757626448226833,-0.3561654715611296
