from_state,to_state,transition_count,transition_prob,from_state_name,to_state_name
0,0,749,0.9281288723667905,Bear,Bear
0,1,58,0.07187112763320942,Bear,Bull
1,0,57,0.0945273631840796,Bull,Bear
1,1,546,0.9054726368159204,Bull,Bull
