trade_date,active_return,momentum_return,market_return,state,state_name,raw_state
2020-08-11,-0.0014892442967294,-0.0105892442967294,-0.0091,0,Bear,0
2020-08-12,-0.0025025661551418,-0.0098025661551418,-0.0073,0,Bear,0
2020-08-13,-0.0018362532859038,-0.0044362532859039,-0.0026,0,Bear,0
2020-08-14,-0.0188897862202848,-0.0039897862202848,0.0149,0,Bear,0
2020-08-17,-0.0130572658038512,0.0104427341961488,0.0235,0,Bear,0
2020-08-18,0.0058280508928401,0.0053280508928401,-0.0005,0,Bear,0
2020-08-19,-0.0072361544225997,-0.0222361544225997,-0.015,0,Bear,0
2020-08-20,0.0056482811174957,-0.0073517188825043,-0.013,0,Bear,0
2020-08-21,-0.0109546571598983,-0.0024546571598983,0.0085,0,Bear,0
2020-08-24,-0.0056025660584164,0.0021974339415836,0.0078,0,Bear,0
2020-08-25,0.0003024716203427,0.0016024716203427,0.0013,0,Bear,0
2020-08-26,-0.0060111031397038,-0.0177111031397038,-0.0116999999999999,0,Bear,0
2020-08-27,0.0003772806538398,0.0057772806538399,0.0054,0,Bear,0
2020-08-28,-0.0251182166192004,-0.0012182166192004,0.0239,0,Bear,0
2020-08-31,0.0136395152001207,0.0078395152001207,-0.0058,0,Bear,0
2020-09-01,0.0003825856693526,0.0057825856693527,0.0054,0,Bear,0
2020-09-02,0.0070577196296024,0.0074577196296024,0.0004,0,Bear,0
2020-09-03,-0.0050362734521272,-0.0105362734521272,-0.0055,0,Bear,0
2020-09-04,0.0192789305001933,0.0095789305001933,-0.0097,1,Bull,1
2020-09-07,0.0272017612882235,0.0061017612882235,-0.0210999999999999,1,Bull,1
2020-09-08,-0.0017703278795099,0.0036296721204901,0.0054,1,Bull,1
2020-09-09,-0.008053933965953,-0.031453933965953,-0.0233999999999999,1,Bull,1
2020-09-10,-0.0478466137235696,-0.0484466137235697,-0.0006,0,Bear,0
2020-09-11,0.0078522674383134,0.0177522674383134,0.0098999999999999,0,Bear,0
2020-09-14,0.0308945666154221,0.0359945666154222,0.0051,1,Bull,1
2020-09-15,-0.0077191102383266,0.0002808897616734,0.008,1,Bull,1
2020-09-16,0.0038434416389217,-0.0027565583610783,-0.0066,1,Bull,1
2020-09-17,0.0118546603790468,0.0065546603790468,-0.0053,1,Bull,1
2020-09-18,-0.0296588560838045,-0.0071588560838045,0.0225,1,Bull,1
2020-09-21,0.01116629305436,0.0015662930543601,-0.0096,1,Bull,1
2020-09-22,0.0065510720135628,-0.0053489279864371,-0.0118999999999999,1,Bull,1
2020-09-23,0.0118245663918972,0.0154245663918972,0.0036,1,Bull,1
2020-09-24,0.0016795296454766,-0.0175204703545233,-0.0192,1,Bull,1
2020-09-25,-0.0099185781018546,-0.0084185781018546,0.0015,1,Bull,1
2020-09-28,-0.0190897018396972,-0.0164897018396972,0.0026,1,Bull,1
2020-09-29,0.0064303583163932,0.0086303583163933,0.0022,1,Bull,1
2020-09-30,0.0005245683773963,-0.0004754316226037,-0.001,1,Bull,1
2020-10-09,0.0050345644524436,0.0254345644524437,0.0204,1,Bull,1
2020-10-12,-0.0055172364019283,0.0247827635980716,0.0302999999999999,1,Bull,1
2020-10-13,0.0091980774904329,0.0124980774904329,0.0033,1,Bull,1
2020-10-14,0.0110329002640309,0.0044329002640309,-0.0066,1,Bull,1
2020-10-15,-0.0103521049849499,-0.0120521049849499,-0.0017,1,Bull,1
2020-10-16,0.005133332347348,0.003633332347348,-0.0015,1,Bull,1
2020-10-19,0.0099674057617994,0.0023674057617994,-0.0076,1,Bull,1
2020-10-20,0.0066423426663153,0.0146423426663154,0.008,1,Bull,1
2020-10-21,-0.0092122386625504,-0.0093122386625504,-0.0001,1,Bull,1
2020-10-22,0.006774007209296,0.003674007209296,-0.0031,1,Bull,1
2020-10-23,-0.0011240761529619,-0.013624076152962,-0.0125,1,Bull,1
2020-10-26,0.0221496702806234,0.0163496702806234,-0.0058,1,Bull,1
2020-10-27,-0.0031758994258271,-0.0014758994258271,0.0017,1,Bull,1
2020-10-28,-0.005668773513902,0.002431226486098,0.0081,1,Bull,1
2020-10-29,-0.0127010367123968,-0.0052010367123968,0.0075,1,Bull,1
2020-10-30,-0.0043773455109113,-0.0206773455109113,-0.0163,1,Bull,1
2020-11-02,0.0124940448565905,0.0178940448565906,0.0054,1,Bull,1
2020-11-03,-0.0049106198660278,0.0070893801339722,0.012,1,Bull,1
2020-11-04,-0.0083628115188204,-0.0007628115188204,0.0076,1,Bull,1
2020-11-05,-0.0064154396923123,0.0083845603076877,0.0148,1,Bull,1
2020-11-06,-0.0218817986260272,-0.0217817986260272,0.0001,0,Bear,0
2020-11-09,-0.002754547374671,0.0168454526253289,0.0196,0,Bear,0
2020-11-10,-0.0092700285278096,-0.0147700285278097,-0.0055,0,Bear,0
2020-11-11,-0.0152810574927308,-0.0251810574927308,-0.0098999999999999,0,Bear,0
2020-11-12,-0.0069866201866936,-0.0062866201866936,0.0007,0,Bear,0
2020-11-13,0.0134367497389213,0.0029367497389213,-0.0105,0,Bear,0
2020-11-16,-0.0226291181964142,-0.0129291181964143,0.0097,0,Bear,0
2020-11-17,-0.0097924513131034,-0.0116924513131035,-0.0019,0,Bear,0
2020-11-18,0.0054597218331528,0.0048597218331528,-0.0006,0,Bear,0
2020-11-19,-0.0044359581299087,0.0029640418700913,0.0074,0,Bear,0
2020-11-20,-0.0025694557192585,0.0005305442807414,0.0031,0,Bear,0
2020-11-23,-0.0161385290895698,-0.0036385290895698,0.0125,0,Bear,0
2020-11-24,0.0073176467803226,0.0012176467803227,-0.0060999999999999,0,Bear,0
2020-11-25,0.0035792524927252,-0.0092207475072748,-0.0128,0,Bear,0
2020-11-26,-0.0111367029783316,-0.0093367029783316,0.0018,0,Bear,0
2020-11-27,-0.0250057031653472,-0.0126057031653472,0.0124,0,Bear,0
2020-11-30,0.0041906082495794,9.06082495794637e-05,-0.0040999999999999,0,Bear,0
2020-12-01,-0.0153502940767617,0.0061497059232382,0.0215,0,Bear,0
2020-12-02,-0.0023687911518214,-0.0023687911518214,0.0,0,Bear,0
2020-12-03,-0.0068950501303715,-0.0088950501303715,-0.002,0,Bear,0
2020-12-04,-0.0011968703983603,0.0006031296016396,0.0018,0,Bear,0
2020-12-07,0.0095524729646844,0.0009524729646844,-0.0086,0,Bear,0
2020-12-08,0.0048692661037403,0.0023692661037403,-0.0025,0,Bear,0
2020-12-09,0.0062508531651785,-0.0071491468348215,-0.0134,0,Bear,0
2020-12-10,-0.001763941834057,-0.002163941834057,-0.0004,0,Bear,0
2020-12-11,0.0055204526788298,-0.0047795473211702,-0.0103,0,Bear,0
2020-12-14,-0.0013399067575108,0.0078600932424891,0.0092,0,Bear,0
2020-12-15,-0.0040745579958269,-0.0019745579958269,0.0021,0,Bear,0
2020-12-16,-0.0123963016293768,-0.0105963016293768,0.0018,0,Bear,0
2020-12-17,-0.0060478056404481,0.0067521943595519,0.0128,0,Bear,0
2020-12-18,0.0001374262825202,-0.0033625737174797,-0.0034999999999999,0,Bear,0
2020-12-21,0.001304056367164,0.010704056367164,0.0093999999999999,0,Bear,0
2020-12-22,0.0070901918757471,-0.0092098081242528,-0.0163,0,Bear,0
2020-12-23,0.0005104073738311,0.0090104073738312,0.0085,0,Bear,0
2020-12-24,-0.008275354722421,-0.009675354722421,-0.0014,0,Bear,0
2020-12-25,-0.0093584462035964,-0.0009584462035964,0.0084,0,Bear,0
2020-12-28,-0.0077540457635831,-0.0033540457635831,0.0044,0,Bear,0
2020-12-29,-0.0156416432025295,-0.0198416432025295,-0.0042,0,Bear,0
2020-12-30,-0.0046543845173285,0.0093456154826714,0.0139999999999999,0,Bear,0
2020-12-31,-0.0142119861647521,0.0048880138352478,0.0191,0,Bear,0
2021-01-04,0.0117007275585327,0.0225007275585327,0.0108,0,Bear,0
2021-01-05,-0.0206873916548945,-0.0015873916548945,0.0191,0,Bear,0
2021-01-06,-0.0221483240379199,-0.0129483240379199,0.0092,0,Bear,0
2021-01-07,-0.0279531215622362,-0.0102531215622362,0.0177,0,Bear,0
2021-01-08,-0.0133071999360245,-0.0166071999360245,-0.0033,0,Bear,0
2021-01-11,-0.0026428386549592,-0.0125428386549592,-0.0098999999999999,0,Bear,0
2021-01-12,-0.0259157013672752,0.0025842986327248,0.0285,0,Bear,0
2021-01-13,-0.0104302157473761,-0.0137302157473761,-0.0033,0,Bear,0
2021-01-14,0.0033357551704482,-0.0159642448295517,-0.0192999999999999,0,Bear,0
2021-01-15,0.0148196734155556,0.0125196734155556,-0.0023,0,Bear,0
2021-01-18,0.0014634198439694,0.0125634198439695,0.0111,0,Bear,0
2021-01-19,0.0080610958933967,-0.0066389041066033,-0.0147,0,Bear,0
2021-01-20,0.0023726253506616,0.0095726253506616,0.0072,0,Bear,0
2021-01-21,-0.0115047177346178,0.0046952822653822,0.0162,0,Bear,0
2021-01-22,-0.0003936103273846,0.0005063896726154,0.0009,0,Bear,0
2021-01-25,-0.005096776256762,0.0050032237432379,0.0101,0,Bear,0
2021-01-26,0.0129229298314877,-0.0071770701685122,-0.0200999999999999,0,Bear,0
2021-01-27,-0.0061115760065979,-0.0034115760065979,0.0027,0,Bear,0
2021-01-28,0.0095484879723114,-0.0177515120276886,-0.0273,0,Bear,0
2021-01-29,-0.0056993949378775,-0.0103993949378775,-0.0046999999999999,0,Bear,0
2021-02-01,-0.0026834685486447,0.0096165314513552,0.0123,0,Bear,0
2021-02-02,-0.0166731288937121,-0.0012731288937121,0.0154,0,Bear,0
2021-02-03,-0.0096222568434877,-0.0125222568434877,-0.0029,0,Bear,0
2021-02-04,-0.0001281183360228,-0.0022281183360228,-0.0021,0,Bear,0
2021-02-05,-0.0296457813579417,-0.0279457813579417,0.0017,0,Bear,0
2021-02-08,-0.0254539987993175,-0.0106539987993175,0.0148,0,Bear,0
2021-02-09,-0.0098587178774057,0.0120412821225942,0.0219,0,Bear,0
2021-02-10,-0.0285448407406708,-0.0071448407406708,0.0214,0,Bear,0
2021-02-18,0.0150615476429626,0.0082615476429626,-0.0068,0,Bear,0
2021-02-19,0.0019448286512648,0.0037448286512648,0.0018,0,Bear,0
2021-02-22,0.0259451124915134,-0.0054548875084866,-0.0314,0,Bear,0
2021-02-23,0.0010495189099254,-0.0021504810900746,-0.0032,0,Bear,0
2021-02-24,0.0231866315450465,-0.0023133684549534,-0.0255,1,Bull,1
2021-02-25,-0.0185100935176287,-0.0126100935176287,0.0059,1,Bull,1
2021-02-26,0.0211028599458193,-0.0031971400541807,-0.0243,1,Bull,1
2021-03-01,0.0046189398220033,0.0200189398220034,0.0154,1,Bull,1
2021-03-02,0.0050533583392014,-0.0077466416607986,-0.0128,1,Bull,1
2021-03-03,-0.0113075252927799,0.00789247470722,0.0192,1,Bull,1
2021-03-04,0.0159981409396955,-0.0155018590603045,-0.0315,1,Bull,1
2021-03-05,-0.0002744988139463,-0.0036744988139464,-0.0034,1,Bull,1
2021-03-08,0.0252274170742606,-0.0094725829257394,-0.0347,1,Bull,1
2021-03-09,-0.0014990012171045,-0.0229990012171045,-0.0215,1,Bull,1
2021-03-10,-0.0048914121866119,0.0017085878133881,0.0066,1,Bull,1
2021-03-11,-0.0127455491486394,0.0121544508513606,0.0249,1,Bull,1
2021-03-12,-0.0145811463124751,-0.0110811463124751,0.0034999999999999,1,Bull,1
2021-03-15,0.0118989926673969,-0.009601007332603,-0.0215,1,Bull,1
2021-03-16,-0.0089857783327453,-0.0002857783327453,0.0087,1,Bull,1
2021-03-17,0.007650648369802,0.011850648369802,0.0042,1,Bull,1
2021-03-18,-0.0074014828085436,0.0005985171914564,0.008,1,Bull,1
2021-03-19,0.0282235210347373,0.0020235210347373,-0.0262,1,Bull,1
2021-03-22,-0.0004557195759894,0.0095442804240106,0.01,1,Bull,1
2021-03-23,-0.0077866199775219,-0.0172866199775219,-0.0095,1,Bull,1
2021-03-24,0.0107859338950276,-0.0053140661049724,-0.0161,1,Bull,1
2021-03-25,-0.0067282625723605,-0.0072282625723605,-0.0005,1,Bull,1
2021-03-26,-0.0153185512883032,0.0073814487116968,0.0227,1,Bull,1
2021-03-29,-0.0008697960725474,0.0009302039274526,0.0018,1,Bull,1
2021-03-30,-0.0160710545577335,-0.0065710545577335,0.0095,0,Bear,0
2021-03-31,0.0035487142897895,-0.0055512857102105,-0.0091,0,Bear,0
2021-04-01,-0.0156467027354832,-0.0032467027354832,0.0124,0,Bear,0
2021-04-02,-0.0043001122344927,0.0055998877655072,0.0098999999999999,0,Bear,0
2021-04-06,0.0140024430878159,0.0099024430878159,-0.0040999999999999,1,Bull,1
2021-04-07,0.0214809746933481,0.0143809746933481,-0.0070999999999999,1,Bull,1
2021-04-08,-0.0100715518201803,-0.0083715518201803,0.0017,1,Bull,1
2021-04-09,0.0137756254997929,-0.0012243745002071,-0.015,1,Bull,1
2021-04-12,0.0087848089829704,-0.0086151910170296,-0.0174,1,Bull,1
2021-04-13,-0.0065735133786192,-0.0081735133786193,-0.0016,1,Bull,1
2021-04-14,-0.0066127617613174,0.0016872382386826,0.0083,1,Bull,1
2021-04-15,-0.0072313388806884,-0.0136313388806885,-0.0064,1,Bull,1
2021-04-16,-0.0016116570857943,0.0018883429142056,0.0034999999999999,1,Bull,1
2021-04-19,-0.0165152544894535,0.0077847455105465,0.0243,0,Bear,0
2021-04-20,-0.002520303108071,-0.003220303108071,-0.0007,0,Bear,0
2021-04-21,-0.0080359404390689,-0.0050359404390689,0.003,0,Bear,0
2021-04-22,0.0046536704689304,0.0027536704689304,-0.0019,0,Bear,0
2021-04-23,-0.0146006461448863,-0.0055006461448863,0.0091,0,Bear,0
2021-04-26,0.0070313644553176,-0.0042686355446824,-0.0113,0,Bear,0
2021-04-27,-0.0124997566589134,-0.0098997566589134,0.0026,0,Bear,0
2021-04-28,-0.0094246548758426,-0.0038246548758426,0.0056,0,Bear,0
2021-04-29,-0.0219171165654198,-0.0131171165654198,0.0088,0,Bear,0
2021-04-30,0.0040632781058153,-0.0038367218941847,-0.0079,0,Bear,0
2021-05-06,0.0186691794318278,0.0064691794318278,-0.0121999999999999,0,Bear,0
2021-05-07,0.0081338952380311,-0.0047661047619689,-0.0129,1,Bull,1
2021-05-10,0.0155079115848973,0.0148079115848973,-0.0007,1,Bull,1
2021-05-11,-0.0100397450930357,-0.0039397450930357,0.0060999999999999,1,Bull,1
2021-05-12,0.0030082607615033,0.0073082607615033,0.0043,1,Bull,1
2021-05-13,0.0057437858083665,-0.0044562141916335,-0.0102,1,Bull,1
2021-05-14,-0.0253908631752893,-0.0017908631752893,0.0236,0,Bear,0
2021-05-17,-0.0183072077205796,-0.0037072077205796,0.0146,0,Bear,0
2021-05-18,0.0083377882139847,0.0088377882139847,0.0005,0,Bear,0
2021-05-19,0.0088988825121257,0.0058988825121257,-0.003,0,Bear,0
2021-05-20,-0.0075137243581743,-0.0048137243581743,0.0027,0,Bear,0
2021-05-21,0.0135757705478305,0.0034757705478305,-0.0101,0,Bear,0
